"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","class","infraspecificEpithet","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:33:13-03","UNESC","CRI","12265","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis","Lam.","Mariana Colle","2017","04","12","Vanilde Citadini-Zanette","2017","04","12","Brasil","Santa Catarina","Criciúma","Horto Medicinal UNESC","-49.412778","-28.705278","49º24'46''W","28º42'19''S","34","34","Habito: Herbácea","CRI010447","CRI010447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:50-03","UNESC","CRI","4975","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis","Lam.","Albertina Brocca","1996","10","02","Albertina Brocca","1996","10","02","Brasil","Santa Catarina","Içara","Balneário Rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","10","10",NA,"CRI000632","CRI000632",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:50-03","UNESC","CRI","12719","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis","Lam.","Renato Colares & Aline V. Guislon","2017","09","18","Alexandre Medeiros","2017","09","18","Brasil","Santa Catarina","Balneário Camboriú","Estaleiro.","-48.6","-27.023333","48º35'60''W","27º1'24''S","2","2","Habito: Herbácea","CRI010933",NA,"426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:24:50-03","UNESC","CRI","6082","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis","Lam.","Vanilde C. Zanette","1997","01","20","Valdemar Boff","1997","01","20","Brasil","Santa Catarina","Içara","Balneário Rincão, Areal Sta Rosa.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","48","48",NA,"CRI000630","CRI000630","537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:24:50-03","UNESC","CRI","4290","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis","Lam.","Vanilde Citadini- Zanette",NA,NA,NA,"V. P. Boff","1995","11","14","Brasil","Santa Catarina","Içara","Balneário Rincão. Sambaqui, Divinéia.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","8","8",NA,"CRI000626","CRI000626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:48-03","UNESC","CRI","12751","PreservedSpecimen","Plantae","Apiaceae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis","Lam.","Vanilde Citadini-Zanette","2017","09","27","Maria Eduarda Ferreira","2017","09","27","Brasil","Santa Catarina","Criciúma","Horto medicinal - UNESC","-49.412778","-28.705278","49º24'46''W","28º42'19''S","34","34","Habito: Herbácea","CRI011015","CRI011015",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:24:50-03","UNESC","CRI","6036","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis","Lam.","Vanilde C. Zanette",NA,NA,NA,"Robson dos Santos; Clair M. Martinello","1996","09","01","Brasil","Santa Catarina","Araranguá","Morro dos Conventos.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","2","2",NA,"CRI000631","CRI000631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:24:50-03","UNESC","CRI","3707","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis","Lam.","Vanilde C. Zanette","1995","06","11","Valdemar Boff","1995","06","11","Brasil","Santa Catarina","Laguna","Cond. Cabo de Sta Marta.","-48.781111","-28.483056","48º46'52''W","28º28'59''S","2","2",NA,"CRI000627","CRI000627","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:24:50-03","UNESC","CRI","1437","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis","Lam.","Eliana Scremim Menegoz","1992","08","29","Eliana Scremim Menegoz","1992","08","29","Brasil","Santa Catarina","Jaguaruna","Praia do Arroio.","-49.025833","-28.615556","49º1'33''W","28º36'56''S","8","8",NA,"CRI000628","CRI000628",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:33:13-03","UNESC","CRI","15358","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis","Lam.","Vanilde Citadini-Zanette","2020","03","12","Beatriz Reiser","2020","09","04","Brasil","Santa Catarina","Criciúma","Horto Medicinal da UNESC","-49.412778","-28.705278","49º24'46''W","28º42'19''S","40","40","Flor amarela. Habito: Herbácea","CRI014775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:24:50-03","UNESC","CRI","4206","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis","Lam.","Vanilde C. Zanette","1995","10","30","Valdemar Boff","1995","10","30","Brasil","Santa Catarina","Araranguá","Arroio do Silva.","-49.486111","-28.935278","49º29'10''W","28º56'7''S","2","2",NA,"CRI000625","CRI000625","191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:24:50-03","UNESC","CRI","3144","PreservedSpecimen","Plantae","Araliaceae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis","Lam.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette","1992","11","26","Brasil","Santa Catarina","Garopaba","Praia do ouvidor.","-48.613611","-28.023889","48º36'49''W","28º1'26''S",NA,NA,NA,"CRI000629","CRI000629","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-09-23 10:44:05-03","E","E","334830","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis",NA,NA,NA,NA,NA,"Gourlay, William Balfour","1905","03","22","AR","Provincia de Mendoza",NA,"endoza",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00334830 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334830",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:361826",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-09-23 10:44:05-03","E","E","334837","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis",NA,NA,NA,NA,NA,"Cuezzo, A.R.","1945","11","14","AR","Provincia de San Juan",NA,"Caucete Pie de Palo",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00334837 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334837",NA,"1057","Temperate South America","herbarium specimen of unspecif","BGBASE:361833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-09-23 10:44:05-03","E","E","334836","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis",NA,NA,NA,NA,NA,"Gillies, John",NA,NA,NA,"AR","Provincia de Mendoza",NA,"Mendoza",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00334836 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334836",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:361832",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-09-23 10:44:05-03","E","E","334838","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis",NA,NA,NA,NA,NA,"Cuezzo, A.R.","1945","12","27","AR","Provincia de San Juan",NA,"Pocitos, Villas Kranse",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00334838 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334838",NA,"2184","Temperate South America","herbarium specimen of unspecif","BGBASE:361834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-09-23 10:44:05-03","E","E","288706","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis",NA,NA,NA,NA,NA,"Werdermann, Erich",NA,NA,NA,"PE","Departamento Tacna",NA,"Dep. Arica, Azapa",NA,NA,NA,NA,"200","200","<a href=http://data.rbge.org.uk/herb/E00288706 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00288706",NA,"712","W. Tropical South America","herbarium specimen of unspecif","BGBASE:303326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-09-23 10:44:05-03","E","E","334834","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis",NA,NA,NA,NA,NA,"Elliott, Clarence","1927","09","03","CL","Región I [Tarapacá]",NA,"Arica",NA,NA,NA,NA,"30","30","Sent erely for botanical interest. No seed<a href=http://data.rbge.org.uk/herb/E00334834 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334834",NA,"14","Temperate South America","herbarium specimen of unspecif","BGBASE:361830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-23 10:44:05-03","E","E","334835","PreservedSpecimen","Plantae","Umbelliferae","Hydrocotyle","bonariensis","Hydrocotyle bonariensis",NA,NA,NA,NA,NA,"Tweedie, John",NA,NA,NA,"AR","Provincia de Buenos Aires",NA,"Buenos Ayres",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00334835 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00334835",NA,NA,"Temperate South America","herbarium specimen of unspecif","BGBASE:361831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
