"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","phylum","class","order","minimumElevationInMeters","maximumElevationInMeters"
"1","2020-12-21 16:18:21-03","MBM","MBM","321236","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","diamantinensis","Handroanthus diamantinensis","F. Esp. Santo & M.M. Silva-Castro","ISOTYPE","Espírito-Santo, F.S.; Siqueira, G.B.; Siqueira, G.B.","189","2011","09","29","Southern America","Brazil","Bahia","Palmeiras","Parque Nacional da Chapada Diamantina, Trilha Vale do Pati (Guiné - Andaraí), próximo a Dona Raquel","-41.455556","-12.788889","-41.455556","-12.788889","Árvore com ca. 30m alt. Folíolos discolores, face adaxial verde-oliva, abaxial creme-amarelada; quando jovens com face adaxial verde-musgo e abaxial creme-ferrugínea. Cápsulas marrom-ferrugíneas, densamente tomentosas.","MBM321236","MBM321236",NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:18:21-03","MBM","MBM","428342","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","diamantinensis","Handroanthus diamantinensis","F. Esp. Santo & M.M. Silva-Castro",NA,"Lozano, E.D.; Daniel, V.A.; Daniel, V.A.","3897","2017","10","09","Southern America","Brazil","Espírito Santo","Montanha","Área de Restauração Natural da Fibria","-40.403167","-17.963167","-40.403167","-17.963167","Arvoreta, 4 m, flores amarelas, em área savânica. Prensada com álcool.; Floresta Estacional Semidecidual.","MBM428342",NA,"Lozano, E.D.","2017",NA,NA,NA,NA,NA
"3","2019-10-07 09:15:37-03","UEFS","HUEFS","207864","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","diamantinensis","Handroanthus diamantinensis","Espírito-Santo & M.M. Silva-Castro","Holótipo","Espírito-Santo, F.S.","189","2011","09","29",NA,"Brasil","Bahia","Palmeiras","PARNA Chapada Diamantina, Trilha Vale do Pati (Guiné - Andaraí), próximo a Dona Raquel.","-41.455556","-12.783889","41W27'20''","12S47'2''",NA,"HUEFS0207864","HUEFS0207864 HUEFS0207864_01",NA,NA,"Angiospermae","Asteranae","Lamiales",NA,NA
"4","2019-10-07 09:15:37-03","UEFS","HUEFS","207814","PreservedSpecimen","Plantae","Bignoniaceae","Handroanthus","diamantinensis","Handroanthus diamantinensis","Espírito-Santo & M.M. Silva-Castro","Epítipo","Espírito-Santo, F.S.","138","2010","08","19",NA,"Brasil","Bahia","Palmeiras","PARNA Chapada Diamantina, Trilha Vale do Pati (Guiné - Andaraí), próximo a Dona Raquel.","-41.455556","-12.783889","41W27'20''","12S47'2''",NA,"HUEFS0207814","HUEFS0207814",NA,NA,"Angiospermae","Asteranae","Lamiales","952","952"
