"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","continentOcean","class","order","individualCount","barcode","imagecode","occurrenceRemarks","typeStatus"
"1","2015-07-02 14:02:16-03","JBP","HPL","3165","S","Plantae","Gesneriaceae","Sinningia","piresiana","Sinningia piresiana","(Hoehne) A. Chautems","H. Lorenzi","1999","12","22","E.R. Salviani & H. Lorenzi","840","1999","12","22","Brasil","SP","Itirapina","Coletada na cachoeira do Saltão.","-47.82","-22.25","22843","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-11 11:36:42-03","UFMG","BHCB","29556","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","piresiana","Sinningia piresiana","(Hoehne) Chautems",NA,NA,NA,NA,"Salino, A","130","1987","09","08","Brasil","São Paulo","Analândia","Sítio Bela Vista, Serra do Cuscuzeiro","-47.6599998474121","-22.1200008392334","14271","auto","Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA
"3","2020-09-12 05:00:02-03","US","US","2222658","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","piresiana","Sinningia piresiana","(Hoehne) Chautems",NA,NA,NA,NA,"F. C. Hoehne","s.n.","1956",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"South America - Neotropics","Dicotyledonae","Scrophulariales","1","US00320817","US00320817_01",NA,NA
"4","2021-03-04 15:46:38-03","IF","SPSF","32154","PreservedSpecimen","Plantae","Gesneriaceae","Sinningia","piresiana","Sinningia piresiana","(Hoehne) Chautems","A.Chautems","2004","03","31","E.E.Macedo","275","1997","11","16","Brasil","SP","Pedregulho","P.E.Furnas do Bom Jesus","-47.4700012207031","-20.25","27552","auto","Magnoliophyta","América do Sul","Magnoliopsida","Scrophulariales",NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Herbácea 30cm; frutos; GEOGRAFIA: solo pedregoso&nf;;",NA
"5","2019-11-21 10:07:00-03","IBt","SP","56345","S","Plantae","Gesneriaceae","Rechsteineria","piresiana","Rechsteineria piresiana","Hoehne","Chautems, A","1989","03",NA,"Pires, AS","s.n.","1954","11","10","Brasil","São Paulo","Descalvado","Em rocha calcárea","-47.6100006103516","-21.8999996185303","24300","auto",NA,NA,NA,NA,NA,"SP000771","SP000771",NA,"Holotype"
"6","2019-11-21 10:07:03-03","IBt","SP","75991","S","Plantae","Gesneriaceae","Sinningia","piresiana","Sinningia piresiana","(Hoehne) Chautems","Chautems, A","1989","03",NA,"Pires, AS","s.n.","1957","10","14","Brasil","São Paulo","Descalvado","cult. em São Paulo","-47.6100006103516","-21.8999996185303","24300","auto",NA,NA,NA,NA,NA,"SP011812","SP011812",NA,NA
