"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","locality","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:38:54-03","E","E","289612","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","guianensis","Sloanea guianensis","Howorth, R.","248","1999","07","01","W. Tropical South America","VE","herbarium specimen of unspecif","BGBASE:298695","<a href=http://data.rbge.org.uk/herb/E00289612 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00289612",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:38:54-03","E","E","162892","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","guianensis","Sloanea guianensis","Kirkbride, J.H., Matsunaga Ono, E.K. & Ferreira, L.M.","3421","1980","02","12","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171124","<a href=http://data.rbge.org.uk/herb/E00162892 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:38:54-03","E","E","314096","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","stipitata","Sloanea stipitata","Spruce, R.","3197","1905","01","26","W. Tropical South America","VE","herbarium specimen of unspecif","BGBASE:361353","<a href=http://data.rbge.org.uk/herb/E00314096 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00314096","isotype","Ad flumina Casiquiari, Vasiva et Pacimone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","540706","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","alnifolia","Sloanea alnifolia","W. W. Thomas","6963","1991","07","01","South America","Brazil","sheet",NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546331' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540706",NA,"7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","Magnoliophyta","Oxalidales","Mart.","W. W. Thomas","Bahia","Uruçuca","-39.0617","-14.4231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","540707","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","alnifolia","Sloanea alnifolia","W. W. Thomas","7291","1991","07","01","South America","Brazil","sheet",NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546332' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540707",NA,"7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest.","Magnoliophyta","Oxalidales","Mart.","W. W. Thomas","Bahia","Uruçuca","-39.0617","-14.4231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","540708","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","alnifolia","Sloanea alnifolia","W. W. Thomas","8437","1994","07","01","South America","Brazil","sheet",NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546333' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540708",NA,"7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz","Magnoliophyta","Oxalidales","Mart.","W. W. Thomas","Bahia","Uruçuca","-39.0617","-14.4231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","517250","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","alnifolia","Sloanea alnifolia","A. M. V. de Carvalho","3611","1991","09","07","South America","Brazil","sheet",NA,"Site: SG <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=546334' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517250",NA,"Distrito de Serra Grande. 7.3 km na estrada Serra Grande/Itacaré, Fazenda Lagoa do Conjunto Fazenda Santa Cruz","Magnoliophyta","Oxalidales","Mart.","A. M. Amorim","Bahia","Uruçuca","-39.0617","-14.4231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","540734","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","guianensis","Sloanea guianensis","G. G. Hatschbach","40489","1977","11","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00540734",NA,"America de Baixo","Magnoliophyta","Oxalidales","(Aubl.) Benth.","G. G. Hatschbach","Paraná","Morretes","-48.8342","-25.4769",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 23:07:00-03","NY","NYBG","00996575","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","guianensis","Sloanea guianensis","R. de Lemos Fróes","1785","1932","07","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1107660' target='other'> <mi>dwc_moreinfo</mi></a>","NY00996575",NA,"Maracassumé River Region. Mata do Gato.","Magnoliophyta","Oxalidales",NA,"C. E. Smith, Jr.","Maranhão",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","476652","PreservedSpecimen","Plantae","Elaeocarpaceae","Sloanea","guianensis","Sloanea guianensis","A. M. V. de Carvalho","4614","1994","09","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=41349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00476652",NA,"Cidade de Ilhéus. Mata da Esperança. Entrada a 2 km a partir da antiga ponte do Rio Fundao","Magnoliophyta","Oxalidales","(Aubl.) Benth.","M. J. E. Coode","Bahia","Ilhéus","-39.0692","-14.7819","NY00476652_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
