"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","recordNumber","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","typeStatus","fieldNumber","individualCount","infraspecificEpithet"
"1","2021-04-05 14:24:48-03","UNESC","CRI","7339","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","sellowii","Mandevilla sellowii","(Müll.Arg.) Woodson","Vanilde C. Zanette; Robson dos Santos & Alecsandro S. Klein","2001","11","19","Brasil","Santa Catarina","Praia Grande","Canion do itaimbezinho.","-49.950556","-29.197222","49º57'2''W","29º11'50''S","Habito: liana","CRI000351","CRI000351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:36:11-03","E","E","105105","PreservedSpecimen","Plantae","Apocynaceae","Dipladenia","sellowii","Dipladenia sellowii",NA,"Glaziou, M.A.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00105105 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00105105",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:114234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","971102","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","sellowii","Mandevilla sellowii","(Müll.Arg.) Woodson","A. F. M. Glaziou","1884","02","09","Brazil","Minas Gerais",NA,"Haute de l' Itacolumy.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971102","NY00971102_01","South America","sheet",NA,"Magnoliophyta","Gentianales","15215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1183169","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","sellowii","Mandevilla sellowii","(Müll.Arg.) Woodson","A. F. M. Glaziou","1884","02","09","Brazil","Minas Gerais",NA,"Haut de L'Itacolumy.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1419393' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183169","NY01183169_01","South America","sheet",NA,"Magnoliophyta","Gentianales","15215","M. F. de Sales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1183021","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","sellowii","Mandevilla sellowii","(Müll.Arg.) Woodson","G. Eiten","1965","11","30","Brazil","Minas Gerais","Mariana","But along boundary with Mun. de Ouro Preto: 6 Km due SE of city of Ouro Preto, on top (Planalto) of the mountain Itacolomi. Southeast-facing rocky slope (on SW side of immense sandstone).","-43.45","-20.43",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1417044' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183021","NY01183021_01","South America","sheet",NA,"Magnoliophyta","Gentianales","7033","F. Markgraf","1600","1600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1183137","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","sellowii","Mandevilla sellowii","(Müll.Arg.) Woodson","P. Clausen",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1418856' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183137","NY01183137_01","South America","sheet",NA,"Magnoliophyta","Gentianales","s.n.","M. F. de Sales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1183226","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","sellowii","Mandevilla sellowii","(Müll.Arg.) Woodson","W. R. Anderson","1972","02","12","Brazil","Minas Gerais",NA,"Serra do Espinhaço, eastern slopes of Pico do Itambé","-43.392","-18.43185",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1420120' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183226","NY01183226_01","South America","sheet",NA,"Magnoliophyta","Gentianales","35845","F. Markgraf","1550","1550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","95184","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","sellowii","Mandevilla sellowii","(Müll.Arg.) Woodson","W. W. Thomas","1992","05","14","Brazil","Bahia","Wenceslau Guimaraes","Ca. 3 km W of Nova Esperança, W edge of Reserva Estadual Wenceslau Guimarães.","-39.7222222","-13.5972222",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=79043' target='other'> <mi>dwc_moreinfo</mi></a>","NY00095184",NA,"South America","sheet",NA,"Magnoliophyta","Gentianales","9310","A. J. M. Leeuwenberg","500","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","971101","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","sellowii","Mandevilla sellowii","(Müll.Arg.) Woodson","Y. E. J. Mexia","1930","02","01","Brazil","Minas Gerais","Carangola","Top of Serra da Gramma.","-42.478219","-20.753455",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1064584' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971101","NY00971101_01","South America","sheet",NA,"Magnoliophyta","Gentianales","4277","J. F. Morales Quirós",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:18:08-03","NBC","NL-BOTANY","L.2707042","PreservedSpecimen","Plantae","Apocynaceae","Mandevilla","sellowii","Mandevilla sellowii","(Müll.Arg.) Woodson","Reitz R; Klein RM","1960","02","04","Brazil",NA,NA,"Santa Catarina - Brasil. Morro do campo Alegre, Garuva. Sobre pedra.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2707042 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2707042","NL-L2707042","Southern America",NA,NA,NA,"Gentianales",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
