"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","533380","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colletia","exserta","Colletia exserta","Klotzsch ex Reissek","G. G. Hatschbach","G. G. Hatschbach","55320","1991","04","07","South America","Brazil","Santa Catarina","Urubici","Vacas Gordas","-49.5917","-28.015","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533380","NY00533380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","533381","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colletia","exserta","Colletia exserta","Klotzsch ex Reissek","M. C. Johnston","L. B. Smith","14301","1965","01","05","South America","Brazil","Santa Catarina","Sao Joaquim","10 km south of Sao Joaquim.","-49.93","-28.35","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533381","NY00533381_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00533379","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colletia","exserta","Colletia exserta","Klotzsch ex Reissek","S. F. Smith","M. Rossato","13378","1998","02","13","South America","Brazil","Rio Grande do Sul","Bom Jesus","Fazenda do Boqueirao","-50.4167","-28.6681","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760685' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533379","NY00533379_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","533382","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Rhamnaceae","Colletia","exserta","Colletia exserta","Klotzsch ex Reissek","L. B. Smith","R. Reitz","7941","1958","12","15","South America","Brazil","Santa Catarina","Sao Joaquim","Bom Jardim, S. Joaquim","-49.9317","-28.2942","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00533382","NY00533382_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:09:58-03","UNESP-IBB","BOTU","28720","PreservedSpecimen","Plantae",NA,NA,"Rhamnaceae","Colletia","exserta","Colletia exserta","Klotzsch ex Reissek","Wasum, R.","Marchett, C.A.","106","2011","10",NA,NA,"Brasil","Rio Grande do Sul","São Francisco de Paula",NA,"-52.538056","-28.962222","900","900",NA,"na borda da mata","BOTU028720",NA,"2012","05","22","52°32'17w","28°57'44 s",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:47:27-03","EAO","IAN","5564","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rhamnaceae","Colletia","exserta","Colletia exserta","Klotzsch ex Reiss.",NA,"Sellow, F","4268",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN005564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:25:48-03","NBC","NL-BOTANY","L.2323785","PreservedSpecimen","Plantae",NA,"Rosales","Rhamnaceae","Colletia","exserta","Colletia exserta","Klotzsch ex Reissek",NA,"Reitz R; Klein RM",NA,"1958","12","15","Southern America","Brazil","Santa Catarina",NA,"Brasil, Santa Catarina, Bom Jardim, S. Joaquim",NA,NA,NA,NA,NA,"Beira rio<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2323785 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2323785","NL-L2323785",NA,NA,NA,NA,NA,"Magnoliopsidae","L 0384290",NA,NA,NA,NA,NA
"8","2020-11-04 11:17:56-03","ESALQ","ESA","80871","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rhamnaceae","Colletia","exserta","Colletia exserta","Klotzsch ex Reissek","Hatschbach, G.","Hatschbach, G. et al.","72549.0","2001","11","10",NA,"Brasil","Santa Catarina","São Joaquim",NA,"-49.9317016601562","-28.2938995361328",NA,NA,NA,NA,"ESA080871","ESA080871",NA,NA,NA,NA,NA,NA,NA,"48290","auto",NA,NA,NA
"9","2019-08-27 13:32:04-03","IAP","PACA-AGP","109701","PreservedSpecimen","Plantae","Magnoliophyta","Rhamnales","Rhamnaceae","Colletia","exserta","Colletia exserta","Klotzsch ex Reissek","N. R. Bastos-Záchia","N. R. Bastos-Záchia","445","1997","07","29",NA,"Brasil","RS","Cambará do Sul","Passo da Ilha (divisa com São Francisco).","-50.1446990966797","-29.0478000640869",NA,NA,NA,"DAP 4 cm, caule sem espinhos Habitat: peq. Mata à margem do rio tainhas, ca. 3,5 m altura","PACA109701",NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,"30776","auto",NA,NA,NA
"10","2019-08-27 13:32:04-03","IAP","PACA-AGP","109689","PreservedSpecimen","Plantae","Magnoliophyta","Rhamnales","Rhamnaceae","Colletia","exserta","Colletia exserta","Klotzsch ex Reissek","N. R. Bastos","N. R. Bastos-Záchia","447","1997","07","30",NA,"Brasil","RS","Cambará do Sul","Faz. Campo Bom (Sr. Portácio Titoni).","-50.1446990966797","-29.0478000640869",NA,NA,NA,"árvore ca. 7 m alt., estéril Habitat: próx. À corrego peq., mata campestre bem iluminada","PACA109689",NA,NA,NA,NA,NA,NA,"Magnoliatae",NA,"30776","auto",NA,NA,NA
