"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:24:48-03","UNESC","CRI","11536","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","M. Verdi","2009","03","02","M. Verdi; R. P. Hasckel & G. Klemz","1644","2009","02","17","Brasil","Santa Catarina","Tunápolis","Canaleta.","-53.595278","-26.954722","53º35'43''W","26º57'17''S","452","452","Ecótono Floresta Estacional Decidual/Floresta Ombrófila Mista","CRI000438","CRI000438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-21 20:59:00-02","NY","NYBG","297949","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","argenteum","Aspidosperma argenteum",NA,NA,NA,NA,NA,"J. E. B. Warming",NA,NA,NA,NA,"Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,NA,NA,"Comm. ipse 1870 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699616' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297949","NY00297949_01","Magnoliophyta","Gentianales","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1921482","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","W. Marcondes-Ferreira",NA,NA,NA,"L. B. Smith","12682","1964","10","17","Brazil","Santa Catarina","Itapiranga","Laranjeira","-53.75","-27.17",NA,NA,"150","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281539' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921482","NY01921482_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","297950","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe estrellense","Hassl.",NA,NA,NA,NA,"E. Hassler","10á651",NA,NA,NA,"Paraguay",NA,NA,"Orillas mont. Estrella (Enurcion á Estrella)",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=753259' target='other'> <mi>dwc_moreinfo</mi></a>","NY00297950","NY00297950_01","Magnoliophyta","Gentianales","isotype","South America","sheet","estrellense",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1921481","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","W. Marcondes-Ferreira",NA,NA,NA,"A. P. Duarte","6446","1962","04",NA,"Brazil","Rio de Janeiro","Rio de Janeiro","Estado da Guanabara, Estrada do Redentor, próximo à Pedra da Onça","-43.2075","-22.9031",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281537' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921481","NY01921481_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","440236","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","M. E. Endress",NA,NA,NA,"E. Hassler","2329","1903","10",NA,"Paraguay",NA,NA,"Gran Chaco: Ad. ripam occidentalem flum. Paraguay",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440236",NA,"Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","440233","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","W. Marcondes-Ferreira",NA,NA,NA,"G. G. Hatschbach","13034","1965","10","14","Brazil","Paraná","Campo Mourao","Rio da Vargem","-52.3831","-24.0458",NA,NA,"515","515","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484036' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440233","NY00440233_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-10-21 20:59:00-02","NY","NYBG","970538","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe",NA,"W. Marcondes-Ferreira",NA,NA,NA,"E. P. Heringer","s.n.","1960","10","15","Brazil","Minas Gerais",NA,"Punil Dr. Guilherme.",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1051325' target='other'> <mi>dwc_moreinfo</mi></a>","NY00970538","NY00970538_01 NY00970538_02","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","440232","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","F. Markgraf",NA,NA,NA,"A. P. Duarte","3365","1950","12","08","Brazil","Santa Catarina","Florianópolis","Ilha de Sta. Catarina. Lagôa de Conceiçao","-48.443021","-27.570082",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=484026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440232","NY00440232_01","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1921480","PreservedSpecimen","Plantae","Apocynaceae","Aspidosperma","australe","Aspidosperma australe","Müll.Arg.","W. Marcondes-Ferreira",NA,NA,NA,"J. E. Leite","2327","1942","11",NA,"Brazil","Rio Grande do Sul","Sao Leopoldo",NA,"-51.1469","-29.7606",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2281536' target='other'> <mi>dwc_moreinfo</mi></a>","NY01921480","NY01921480_01 NY01921480_02","Magnoliophyta","Gentianales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
