"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","maximumElevationInMeters","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount","infraspecificEpithet","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","02703875","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","grammica","Calyptranthes grammica","(Spreng.) D.Legrand","T. N. da C. Vasconcelos","483","2014","11","03","South America","Brazil","Minas Gerais","Parque Nacional Serra Do cipó; perto da estátua do  Juquinha ","-43.5075","-19.1642","1290","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2989177' target='other'> <mi>dwc_moreinfo</mi></a>","NY02703875","NY02703875_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00906969","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","grammica","Calyptranthes grammica","(Spreng.) D.Legrand","H. S. Irwin","29013","1971","01","24","South America","Brazil","Minas Gerais","Serra do Espinhaço, ca. 10 km W. of Barão de Cocais","-43.4927778","-20.1263","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983380' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906969","NY00906969_01","M. L. Kawasaki","1500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01059949","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","grammica","Calyptranthes grammica","(Spreng.) D.Legrand","J. R. Pirani","5136","2004","01","19","South America","Brazil","Minas Gerais","Serra Talhada (braço norte da Serra do Cipó) 6,8 km SW da estrada Congonhas do Norte- Gouveia, entrada a 3,7 km NW de Congonhas do Norte, estrada pelo alto da serra denominada localmente como Serra do Jõao Camilo","-43.7525","-18.8111","1333","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1201571' target='other'> <mi>dwc_moreinfo</mi></a>","NY01059949","NY01059949_01","J. R. Pirani","1333","Congonhas do Norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02705665","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","grammica","Calyptranthes grammica","(Spreng.) D.Legrand","M. F. Santos","714","2011","10","20","South America","Brazil","Minas Gerais","Serra do Cipó. Córrego Vitalino, próximo ao km 112 da rodovia MG-10. Fazenda Serra do Cipó. No leito do corrego, sobre pedras.","-43.58314","-19.2815","1045","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3005051' target='other'> <mi>dwc_moreinfo</mi></a>","NY02705665","NY02705665_01",NA,NA,"Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00906944","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","grammica","Calyptranthes grammica","(Spreng.) D.Legrand","H. S. Irwin","20085","1968","02","14","South America","Brazil","Minas Gerais","Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).","-43.4","-18.87","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983379' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906944","NY00906944_01","M. L. Kawasaki","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00906993","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calyptranthes","grammica","Calyptranthes grammica","(Spreng.) D.Legrand","L. Rossi","CFSC7001","1981","01","12","South America","Brazil","Minas Gerais","Santana do Riacho, ao longo da Rodovia Belo Horizonte-Conceiçao do Mato Dentro. Mae D'Agua","-43.7142","-19.1692",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=983378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906993","NY00906993_01","M. L. Kawasaki",NA,"Santana do Riacho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:21-03","ESALQ","ESA","97634","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Calyptranthes","grammica","Calyptranthes grammica",NA,"Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","32532.0","2007","02","17",NA,"Brasil","Minas Gerais","Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Captação da Fazenda Toucan Cipó. Campo rupestre com afloramentos e árvores esparsas. 680 m.s.m.",NA,NA,"680",NA,"Arbusto, ca. 1m alt.; frutos imaturos verdes.","ESA097634","ESA097634","Jennings, L.","680","Santana do Pirapama.","2007","02","17","-43,756,944","-19,005,556",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:14:21-03","ESALQ","ESA","97738","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Calyptranthes","grammica","Calyptranthes grammica","(Spreng) D. Legrand","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","32636.0","2007","02","18",NA,"Brasil","Minas Gerais","Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha para a Cachoeira Bonita. Beira de córrego pedregoso em área de cerrado. 680 m.s.m.",NA,NA,"680",NA,"Arbusto, ca. 2 m alt.; frutos negros. Foto.","ESA097738","ESA097738","M.Sobral","680","Santana do Pirapama.","2010",NA,NA,"-43,776,389","-18,977,778",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:14:21-03","ESALQ","ESA","97710","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Calyptranthes","grammica","Calyptranthes grammica","(Spreng) D. Legrand","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","32608.0","2007","02","18",NA,"Brasil","Minas Gerais","Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha para a Cachoeira Bonita. Beira de córrego pedregoso em área de cerrado. 680 m.s.m.",NA,NA,"680",NA,"Arbusto, ca. 2,5 m alt.; botões e frutos imaturos vináceos.","ESA097710","ESA097710","M.Sobral","680","Santana do Pirapama.","2010",NA,NA,"-43,776,389","-18,977,778",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:21-03","ESALQ","ESA","108663","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Calyptranthes","grammica","Calyptranthes grammica",NA,"Ivanauskas, N.M.","5182.0","2005","02","11",NA,"Brasil","São Paulo",NA,"-44.9599990844727","-23.0699996948242",NA,NA,NA,"ESA108663","ESA108663","Mazine, F.F.",NA,"Cunha","2011",NA,NA,NA,NA,"38855","auto",NA,NA,NA,NA,NA,NA
