"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:41:40-03","E","E","40301","PreservedSpecimen","Plantae","Moraceae","Ficus","crocata","Ficus crocata","Bridgewater, S. & García, A. Ibáñez","1996","10","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:48543","<a href=http://data.rbge.org.uk/herb/E00040301 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00040301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:40-03","E","E","57707","PreservedSpecimen","Plantae","Moraceae","Ficus","crocata","Ficus crocata","Dubs, B.","1995","10","21","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:65969","<a href=http://data.rbge.org.uk/herb/E00057707 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00057707","1872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","886776","PreservedSpecimen","Plantae","Moraceae","Ficus","crocata","Ficus crocata","A. P. Duarte","1961","01","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061322' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886776","5816","Magnoliophyta","Rosales","(Miq.) Miq.","C. C. Berg","Rio de Janeiro","Centro da Cidade, junto ao Ministério da Educação.","NY00886776_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02172398","PreservedSpecimen","Plantae","Moraceae","Ficus","crocata","Ficus crocata","B. V. Rabelo","1983","05","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2321800' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172398","2175","Magnoliophyta","Rosales","(Miq.) Miq.",NA,"Amapá","Alto Rio Maracá.","NY02172398_01","Mazagão","-51.2894","-0.115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02172393","PreservedSpecimen","Plantae","Moraceae","Ficus","crocata","Ficus crocata","J. Revilla","1983","08","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2321791' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172393","8390","Magnoliophyta","Rosales","(Miq.) Miq.",NA,"Pará",NA,"NY02172393_01","Tucuruí","-49.6735668","-3.764569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","787121","PreservedSpecimen","Plantae","Moraceae","Ficus","crocata","Ficus crocata","D. S. D. de Araújo","1979","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=530310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00787121","3329","Magnoliophyta","Rosales","(Miq.) Miq.","C. C. Berg","Rio de Janeiro","Barra de Itabapoana, à beira da estrada","NY00787121_01","Sao Joao da Barra","-41.0508","-21.6406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2172396","PreservedSpecimen","Plantae","Moraceae","Ficus","crocata","Ficus crocata","C. A. Cid Ferreira","1980","07","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2321795' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172396","1382","Magnoliophyta","Rosales","(Miq.) Miq.",NA,"Pará","Rio Trombetas, margem esquerda, ao longo do rio.","NY02172396_01","Oriximiná","-57.0284843","-1.1004856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","886780","PreservedSpecimen","Plantae","Moraceae","Ficus","crocata","Ficus crocata","D. S. D. de Araújo","1980","10","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886780","4059","Magnoliophyta","Rosales","(Miq.) Miq.","C. C. Berg","Rio de Janeiro","Restinga da Praia Barra do Açu.","NY00886780_01","Campos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","869368","PreservedSpecimen","Plantae","Moraceae","Ficus","crocata","Ficus crocata","G. T. Prance","1966","10","26","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869368","2830","Magnoliophyta","Rosales","(Miq.) Miq.","C. C. Berg","Acre","Road from Cruzeiro do Sul to Japiim [Japim?], km 18",NA,"Mâncio Lima","-72.8956","-7.6144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02172392","PreservedSpecimen","Plantae","Moraceae","Ficus","crocata","Ficus crocata","W. Milliken","1987","06","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2321785' target='other'> <mi>dwc_moreinfo</mi></a>","NY02172392","M.386","Magnoliophyta","Rosales","(Miq.) Miq.",NA,"Roraima","SEMA Ecological Reserve, Ilha de Maracá. Paraná do Firmino.","NY02172392_01",NA,"-61.5","3.35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
