"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","recordNumber","typeStatus","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","infraspecificEpithet","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-04-05 14:24:50-03","UNESC","CRI","6639","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.","J. P. Fontella","R. Klein","1962","08","11","Brasil","Santa Catarina","Mafra","Campo novo.","-49.805556","-26.111944","49º48'20''W","26º6'43''S","849","849","CRI000398","CRI000398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:24:50-03","UNESC","CRI","1794","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.","J. P. Fontella","Klein","1962","12","11","Brasil","Santa Catarina","Mafra","Campo Novo.","-49.805556","-26.111944","49º48'20''W","26º6'43''S","750","750","CRI000395","CRI000395","3805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:50-03","UNESC","CRI","6904","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.","J. P. Fontella","R. Klein","1962","08","11","Brasil","Santa Catarina","Mafra","Campo novo.","-49.805556","-26.111944","49º48'20''W","26º6'43''S","856","856","CRI000397","CRI000397","3805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:36:12-03","E","E","245578","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum",NA,NA,"Bang, Miguel","1905","03","04","BO","Departamento La Paz",NA,"Yungas",NA,NA,NA,NA,NA,NA,"E00245578",NA,"425","isosyntype","W. Tropical South America","herbarium specimen of unspecif","BGBASE:258182","<a href=http://data.rbge.org.uk/herb/E00245578 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","440042","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum capitatum","Mart.","N. M. F. da Silva","F. C. Hoehne","1936","10","20","Brazil","São Paulo","Sao Paulo","Itaim","-46.63","-23.54",NA,NA,NA,NA,"NY00440042","NY00440042_01","36550",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426951' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales","capitatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1187581","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.","D. J. Goyder","D. C. Daly","1989","11","21","Bolivia","Santa Cruz","Chiquitos","Serrania de Santiago, near Santiago de Chiquitos. 5 km ENE of Santiago","-59.58","-18.32",NA,NA,"700","900","NY01187581",NA,"6284",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1311275' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","440044","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum angustum","Malme","G. O. A. Malme","P. K. H. Dusén","1908","11","26","Brazil","Paraná","Ponta Grossa","Villa Velha","-50.012929","-25.234872",NA,NA,NA,NA,"NY00440044","NY00440044_01","7199",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=516321' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales","angustum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","971909","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.","A. Rapini","E. P. Heringer",NA,NA,NA,"Brazil","Distrito Federal","Brasília","J. zoológico.","-47.9294","-15.7797",NA,NA,NA,NA,"NY00971909","NY00971909_01","s.n.",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095124' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","440045","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.","A. Rapini","L. B. Smith","1964","12","08","Brazil","Santa Catarina","Abelardo Luz","12 km north of Abelardo Luz","-52.33","-26.53",NA,NA,"900","1000","NY00440045","NY00440045_01","13851",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426954' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","440047","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.",NA,"J. S. Blanchet","1841",NA,NA,"Brazil","Bahia","Jacobina","Igreja Velha","-40.5181","-11.1808",NA,NA,NA,NA,"NY00440047","NY00440047_01","3438",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426955' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","4200483","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.",NA,"J. R. I. Wood","1999","11","02","Bolivia","Santa Cruz","Ñuflo de Chávez","c. 15 km W of San Javier on road to San Ramon",NA,NA,NA,NA,"600",NA,"NY04200483",NA,"15154",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4524602' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","971912","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.","J. van Rooden","H. S. Irwin","1964","10","29","Brazil","Goiás","Caiapônia","Ca. 35 km. S. of Caiapônia on rd. to Jataí. Serra do Caiapó.","-51.82","-17.22",NA,NA,"800","1000","NY00971912","NY00971912_01","7555",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095145' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","971913","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.","A. Rapini","H. S. Irwin","1965","09","15","Brazil","Distrito Federal","Brasília","Ca. 10 km E. of Brasília, near Rio Torto.","-47.87","-15.72",NA,NA,"1000","1000","NY00971913","NY00971913_01","8324",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095147' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","971910","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.",NA,"R. M. Harley","1968","10","05","Brazil","Mato Grosso",NA,"Expedition Base Camp. C. 12 km south south west of base camp.","-51.77","-12.82",NA,NA,NA,NA,"NY00971910","NY00971910_01","10481",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095142' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","4200484","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.",NA,"J. R. I. Wood","1999","11","28","Bolivia","La Paz","Nor Yungas","On side road going from Yolosa towards Rio Selva Resort",NA,NA,NA,NA,"1350",NA,"NY04200484",NA,"15231",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4524603' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","440043","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.","A. Rapini","L. B. Smith","1956","12","08","Brazil","Santa Catarina","Mafra","3 km e of Mafra. On the road to Tinguí","-49.8053","-26.1117",NA,NA,"800","800","NY00440043","NY00440043_01","8453",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426952' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","971911","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.","J. van Rooden","H. S. Irwin","1964","10","24","Brazil","Goiás","Jataí","Ca. 30 km. N. of Jataí, on rd. to Caiapônia. Serra do Caiapó.","-51.7","-17.3",NA,NA,"800","1000","NY00971911","NY00971911_01","7291",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095144' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","971914","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.","A. Rapini","H. S. Irwin","1965","11","16","Brazil","Goiás","Cabeceiras","Serra do Rio Preto, ca.10 km E. of Cabeceiras","-46.89","-15.8",NA,NA,"1000","1000","NY00971914","NY00971914_01","10328",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1095149' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01092886","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart.","A. Rapini","S. M. de Campos",NA,NA,NA,"Brazil","São Paulo","Angatuba","Estação Engo. Hermilo. Beira de estrada (mais 100-200 m da estação).","-48.446634","-23.604448",NA,NA,NA,NA,"NY01092886","NY01092886_01","117",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1242463' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","440046","PreservedSpecimen","Plantae","Apocynaceae","Oxypetalum","capitatum","Oxypetalum capitatum capitatum","Mart.","N. M. F. da Silva","S. M. de Campos","1959","11","23","Brazil","São Paulo","Angatuba","Estaçao Eng° Hermilo","-48.446634","-23.604448",NA,NA,"100","200","NY00440046","NY00440046_01","117",NA,"South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426953' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Gentianales","capitatum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:34:25-03","EAO","IAN","101133","PreservedSpecimen","Plantae","Asclepiadaceae","Oxypetalum","capitatum","Oxypetalum capitatum","Mart. & Zucc.",NA,"Lanjouw, J; Lindeman, JC","1949","01","05","Suriname",NA,NA,"In savanna near km 1.","-56.5","3.6","-56.5","3.6",NA,NA,"IAN101133",NA,"1593",NA,"Southern America",NA,NA,"Herb; calyx yellowish-green, corolla pale greyish-yellow, purplish at the base, corona white, filaments and ovary yellow.","Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
