"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:41:32-03","E","E","270697","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chamissois","Miconia chamissois","Proenca, C., Franca, F., Melo, E., Cardoso, C.F.Rozendo","56","1997","05","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:282659","<a href=http://data.rbge.org.uk/herb/E00270697 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00270697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:32-03","E","E","84483","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chamissois","Miconia chamissois","Munhoz, C.","247","1995","04","26","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:93658","<a href=http://data.rbge.org.uk/herb/E00084483 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00084483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00916955","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chamissois","Miconia chamissois","W. R. Anderson","9661","1973","05","02","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988388' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916955","Magnoliophyta","Myrtales","Naudin","J. J. Wurdack","Goiás","Caiapônia","Serra do Caiapó, ca. 12 km (straight line) S of Caiapônia","-51.81666667","-17.0566","840","840","NY00916955_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00916974","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chamissois","Miconia chamissois","G. G. Hatschbach","29614","1972","04","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=989430' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916974","Magnoliophyta","Myrtales","Naudin","J. J. Wurdack","Mato Grosso do Sul","Rio Brilhante","Rio Sta. Luzia.","-54.5464","-21.8019",NA,NA,"NY00916974_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","521325","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chamissois","Miconia chamissois","A. F. M. Glaziou","13838",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=515957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521325","Magnoliophyta","Myrtales","Naudin",NA,"São Paulo",NA,NA,NA,NA,NA,NA,"NY00521325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00916938","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chamissois","Miconia chamissois","H. S. Irwin","18055","1966","07","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916938","Magnoliophyta","Myrtales","Naudin","J. J. Wurdack","Distrito Federal","Brasília","Sobradinho, ca. 20 km. E. of Brasília.","-47.8167","-15.6333","1000","1000","NY00916938_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1184217","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chamissois","Miconia chamissois","E. Foresto","274","2006","04","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1466751' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184217","Magnoliophyta","Myrtales","Naudin","R. Goldenberg","Minas Gerais","São Gonçalo do Rio Preto","Parque Estadual do Rio Preto. Mata ciliar do córrego do Capão Azul.","-43.3908","-18.0042","1000","1000","NY01184217_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00916957","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chamissois","Miconia chamissois","M. C. D. Macedo","5833A. Macedo","2003","05","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=988390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916957","Magnoliophyta","Myrtales","Naudin","S. F. Smith","Minas Gerais","Ituiutaba","Faz. Baus do Vinícius Carvahi.","-49.465","-18.9692",NA,NA,"NY00916957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","521316","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chamissois","Miconia chamissois","I. Mimura","478","1962","07","27","South America","Brazil","sheet",NA,"de planta 2 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=515946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00521316","Magnoliophyta","Myrtales","Naudin","G. Eiten","São Paulo","Sao José dos Campos","Parte inferior da encosta leste do vale do Cúrrego da Ressaca, 6.5 km ao SW (ao longo da Rodovia Pres. Dutra) da saída para Sao José dos Campos, e dentro de 500 m ao SE da rodovia. Ca. 200 m da estrada","-45.88","-23.1703","560","590","NY00521316_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3270837","PreservedSpecimen","Plantae","Melastomataceae","Miconia","chamissois","Miconia chamissois","G. Coimbra S.","821","1989","10","15","South America","Bolivia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3584105' target='other'> <mi>dwc_moreinfo</mi></a>","NY03270837","Magnoliophyta","Myrtales","Naudin",NA,"Santa Cruz","Andrés Ibáñez","Terebinto Canton. Arubay.",NA,NA,"420","420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
