"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:55-03","E","E","312803","PreservedSpecimen","Plantae","Leguminosae","Swartzia","acutifolia","Swartzia acutifolia","Harley, R.M.; Nic Lughadha, E. & Queiroz, R.F.","50764","1992","01","11","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:314847","<a href=http://data.rbge.org.uk/herb/E00312803 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312803",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","625532","PreservedSpecimen","Plantae","Fabaceae","Swartzia","acutifolia","Swartzia acutifolia","R. M. Harley","H50764","1992","01","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497495' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625532","Magnoliophyta","Fabales","Vogel","L. P. de Queiroz","Bahia","Abaíra","Salao, 9km de Catolés na estrada para Inúbia.","-41.87","-13.27","1100","1200","NY00625532_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","625534","PreservedSpecimen","Plantae","Fabaceae","Swartzia","acutifolia","Swartzia acutifolia ynesiana","J. P. Lanna Sobrinho","699","1965","01","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=699357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625534","Magnoliophyta","Fabales","R.S.Cowan","R. C. Barneby","Bahia",NA,"De Jaguaquara a Cruz das Almas.",NA,NA,NA,NA,"NY00625534_01","ynesiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","777426","PreservedSpecimen","Plantae","Fabaceae","Swartzia","acutifolia","Swartzia acutifolia acutifolia","R. M. Harley","50764","1992","01","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=592976' target='other'> <mi>dwc_moreinfo</mi></a>","NY00777426","Magnoliophyta","Fabales","Vogel","G. P. Lewis","Bahia","Abaíra","Salao, 9 km de Catolés na estrada para Inúbia","-41.87","-13.27","1100","1200","NY00777426_01","acutifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","684759","PreservedSpecimen","Plantae","Fabaceae","Swartzia","acutifolia","Swartzia acutifolia submarginata","M. Kuhlmann","2762","1952","06","26","South America","Brazil","sheet",NA,"Numbering problem: There are two different collections both numbered M. Kuhlmann 2762. They have different dates and localities but the same collection number. See NY barcode 684759 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=880899' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684759","Magnoliophyta","Fabales","Benth.","V. de F. Mansano","São Paulo","Igaratá","Minas de Santa Isabel","-46.15","-23.2003",NA,NA,"NY00684759_01","submarginata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","634333","PreservedSpecimen","Plantae","Fabaceae","Swartzia","acutifolia","Swartzia acutifolia","J. G. Jardim","3155","2000","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00634333","Magnoliophyta","Fabales","Vogel","B. M. Torke","Bahia","Itambé","Entrada para a sede municipal de Caatiba ca. 11 km de Itapetinga, rod. para Caatiba 20 km da BA-415. Margem da Estrada - 423","-40.3683","-15.0831",NA,NA,"NY00634333_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","32004","PreservedSpecimen","Plantae","Fabaceae","Swartzia","acutifolia","Swartzia acutifolia parvipetala","B. A. Krukoff","2061","1933","04","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127531' target='other'> <mi>dwc_moreinfo</mi></a>","NY00032004","Magnoliophyta","Fabales","R.S.Cowan",NA,"Goiás",NA,"Near Boa Vista.; along the upper Rio Tocantins.",NA,NA,NA,NA,"NY00032004_01","parvipetala","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","585662","PreservedSpecimen","Plantae","Fabaceae","Swartzia","acutifolia","Swartzia acutifolia","W. W. Thomas","12296","2000","10","15","South America","Brazil","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=497490' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585662","Magnoliophyta","Fabales","Vogel","B. M. Torke","Bahia","Boa Nova","3.3 km east of Boa Nova on road to Dario Meira; Mata de Cipó","-40.186283","-14.38305","850","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01048281","PreservedSpecimen","Plantae","Fabaceae","Swartzia","acutifolia","Swartzia acutifolia","R. P. Belém","1596","1965","08","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1190332' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048281","Magnoliophyta","Fabales","Vogel","V. de F. Mansano","Minas Gerais",NA,"Margem da Rodovia Nanuque-Teófilo Otoni",NA,NA,NA,NA,"NY01048281_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","623338","PreservedSpecimen","Plantae","Fabaceae","Swartzia","acutifolia","Swartzia acutifolia parvipetala","L. Riedel","117",NA,NA,NA,"South America","Brazil","sheet",NA,"Duplicate <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=127530' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623338","Magnoliophyta","Fabales","R.S.Cowan","R. C. Barneby",NA,NA,"Brasilia",NA,NA,NA,NA,"NY00623338_01","parvipetala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
