"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","individualCount","coordinatePrecision","geoFlag"
"1","2021-03-15 16:37:00-03","NY","NYBG","1365094","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proença","isoparatype","L. R. Landrum","4104","1982","01","07","South America","Brazil","Paraná","Cerro Azul, along toad to Rio Branco do Sul","-49.33","-25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1650680' target='other'> <mi>dwc_moreinfo</mi></a>","NY01365094","NY01365094_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0005381","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proenca",NA,"Hatschbach","40353","1977","10","6",NA,"Brazil","Parana","Rio S'Ana","-49.25","-24.8333",NA,"Arvore 8m, flores alvas.",NA,NA,"Cerro Azul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0005382","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proenca",NA,"Silva et al.","2881","1999","2","19",NA,"Brazil","Parana","Parque Estadual de Campinhos (Mun. Tunas do Parana).","-49.08361","-24.977653",NA,"Arvore, 8 m, frutos imaturos.",NA,NA,NA,"L. R. Landrum, 2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:36:57-03","UNICAMP","UEC","98124","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Psidium","araucanum","Psidium araucanum",NA,NA,"Elias, SI; Silva, MMR; Amador, DB; Freitas, FO; Rodrigues, RR; et al.","163","1997","12","15",NA,"Brazil","São Paulo","Estrada de Bom Sucesso de Itararé, 2km antes da mineração São Judas.","-49.259722","-24.270556",NA,"Arvoreta de 2m. Pecíolos vermelhos, frutos verdes imaturos.; Floresta Ombrófila Mista; Beira do Rio","UEC109989","UEC109989","Bom Sucesso de Itararé",NA,"-49.259722","-24.270556",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-10 08:20:57-03","UTFPR","HCF","30432","S","Plantae",NA,NA,"Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proença",NA,"F. Marinero","975",NA,NA,NA,NA,"Brasil","PR","Estrada para Morro da Palha","-49.4725","-25.286944",NA,"árvore 8 m. Frutos verdes.",NA,NA,"Campo Magro","F. Marinero","49°28'21 W","25°17'13 S","2019","03","777","777",NA,NA,NA,NA
"6","2021-03-21 19:37:42-03","UFC","EAC","53186","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proença",NA,"Costa, I.R.; Soares, C.","837","2008","03","20","Southern America","Brasil","São Paulo","Almas, na divisa dos municípios Itararé e Bom Sucesso de Itararé, na propriedade do Sr. Celso Soares, mata de araucária, na beira do Rio do Forno","-49.250694","-24.325556",NA,"Árvore, 8-9m; frutos maduros esverdeados; caule avermelhado","EAC0053186",NA,"Itararé","Costa, I.R.","-49.250694","-24.325556","2008","04","800","800",NA,NA,NA,NA
"7","2020-12-21 16:37:38-03","MBM","MBM","423549","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proença",NA,"Marinero, F.; Ariati, V.; Roher, D.; Ariati, V.; Roher, D.","942","2018","11","02","Southern America","Brazil","Paraná","Estrada para Morro da Palha","-49.4725","-25.287011",NA,"Árvore 8 m; flores alvas.; Floresta Ombrófila Mista Montana","MBM423549",NA,"Campo Magro","Marinero, F.; Roher, D.","-49.4725","-25.287011","2018","11","777","777","04",NA,NA,NA
"8","2020-12-21 16:37:38-03","MBM","MBM","423550","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proença",NA,"Marinero, F.; Ariati, V.; Roher, D.; Ariati, V.; Roher, D.","975","2019","03",NA,"Southern America","Brazil","Paraná","Estrada para Morro da Palha","-49.4725","-25.287011",NA,"Árvore 8 m; frutos verdes.; Floresta Ombrófila Mista Montana","MBM423550",NA,"Campo Magro","Marinero, F.","-49.4725","-25.287011","2019","03","777","777",NA,NA,NA,NA
"9","2020-12-11 11:39:39-03","UFMG","BHCB","128966","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proença","Isotypus","Soares-Silva, LH; Soares, C","2535","1999","10","10","Southern America","Brasil","Itararé","Sítio Soares","-49.55","-24.166667",NA,"Árvore, 15m. Flor branca. Casca lisa, variegada de cinza, alaranjado e verde, escamante, em placas quebradiças com margens revolutas súver verde, córtex rosa com estrias laranja.; Floresta de galeria.","BHCB000344","BHCB000344","Região de Almas",NA,"-49.55","-24.166667",NA,NA,NA,NA,NA,NA,NA,NA
"10","2014-09-12 10:12:00-03","MO","MOBOT","100382111","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proença","Paratype","Leslie R. Landrum","Landrum 4104","1982","1","7","South America","Brazil","Paraná","Cerro Azul, along road to Rio Branco do Sul.","-49.3333333","-25",NA,NA,NA,NA,NA,"L.R. Landrum",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"11","2009-01-09 11:01:00-02","MO","MOBOT","3216071","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proença",NA,"Gert G. Hatschbach","Hatschbach 40353","1977","10","6","South America","Brazil","Paraná","Rio S'Ana. (mun. Cerro Azul).",NA,NA,NA,NA,NA,NA,NA,"C. Proença",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"12","2019-11-01 15:06:46-03","UnB","UB","17922","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proença",NA,"Soares-Silva, LH; Soares, C","2535","1999","10","10","Southern America","Brasil","Paraná","Região de Almas. Sítio Soares","-49.55","-24.183333",NA,"Casca lisa, variegada de cinza, alaranjado e verde, escamante, em placas quebradiças com margens revolutas súber verde, cortex rosa com estrias laranjas.; Árvore 15m. Flor branca; Floresta de galeria.",NA,NA,"Itararé","Proença, CEB; Soares-Silva, LH","-49.55","-24.183333",NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-11-01 15:06:46-03","UnB","UB","179884","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proença",NA,"Costa, IR; Soares, C","837","2008","03","20","Southern America","Brasil","São Paulo","Almas, na divisão entre os municípios Itararé e Bom Sucesso de Itararé, propriedade de Celso Soares. Rio do Forno, mata de Araucaria","-49.25","-24.316667",NA,"Árvore com 8-9m, caule avermelhado, frutos maduros esverdeados,",NA,NA,"Itararé","Proença, CEB","-49.25","-24.316667","2009","01","800","800",NA,NA,NA,NA
"14","2019-11-01 15:06:46-03","UnB","UB","144802","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Myrtaceae","Psidium","araucanum","Psidium araucanum","Soares-Silva & Proença",NA,"Costa, IR; et al.;","837","2008","03","20","Southern America","Brasil","São Paulo","Na divida dos municípios Itararé e Bom Sucesso de Itraré. Na propriedade do senhor Celso Soares. Mata de Araucaria na beira do Rio do Forno.","-49.3400001525879","-24.1100006103516",NA,"Nome popular: araca.; Árvore com 8 a 9 metros, frutos maduros esverdeados, caule avermelhado.; Mata de Araucaria.",NA,NA,"Itararé","Costa, IR",NA,NA,"2008","04",NA,NA,NA,NA,"27729","auto"
