"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2017-05-17 10:20:00-03","NY","NYBG","02578899","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","jurujubensis","Eugenia jurujubensis","J. M. A. Braga","1196","1994","05","02","South America","Brazil","Rio de Janeiro","Parque Estadual da Pedra Branca, Camorim, represa Lagoa do Camorim.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2846397' target='other'> <mi>dwc_moreinfo</mi></a>","NY02578899","NY02578899_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","580119","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","prasina","Eugenia prasina","L. Riedel","204",NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,"sheet","ex. 76 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605261' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580119","NY00580119_01","O.Berg","J. F. Pruski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","580116","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","prasina","Eugenia prasina","G. Martinelli","9963","1984","10","04","South America","Brazil","Rio de Janeiro","III Distrito, Paraiso, Centro de Primatologia do RJ-FEEMA","sheet","Quadrat II, árvore no. 84 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605265' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580116","NY00580116_01","O.Berg",NA,"Magé","-43.0406","-22.6531","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","580114","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","prasina","Eugenia prasina","S. R. Sodré","20","1988","12","09","South America","Brazil","Rio de Janeiro","Rio de Janeiro, Alto Boa Vista, Morro Queimado. Vertente Sul","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605263' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580114","NY00580114_01","O.Berg",NA,"Rio de Janeiro","-43.27","-22.97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","557842","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","prasina","Eugenia prasina","G. G. Hatschbach","18654","1968","02","27","South America","Brazil","Paraná","Serra de Araraquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479449' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557842","NY00557842_01","O.Berg","M. Sobral","Guaratuba","-48.5744","-25.8831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","557952","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","prasina","Eugenia prasina","J. Mattos","9196","1961","10","01","South America","Brazil","São Paulo","Registro, 5 km da Reserva Florestal de Xiririca, na estrada de Registro-Sao Miguel Arcanjo","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479592' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557952","NY00557952_01","O.Berg","A. Giaretta","Registro","-47.84","-24.48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1198423","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","prasina","Eugenia prasina","A. M. Amorim","6499","2006","10","21","South America","Brazil","Bahia","RPPN Serra Bonita. 9,7 km de Camacan na estrada para Jacarecí. Daí 6 km SW na estrada para a RPPN e torre da Embratel","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1489500' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198423","NY01198423_01","O.Berg","M. Sobral","Camacan","-39.5653","-15.3917","900","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","580115","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","prasina","Eugenia prasina","G. Martinelli","10009","1984","10","11","South America","Brazil","Rio de Janeiro","III Distrito, Paraiso, Centro de Primatologia do RJ-FEEMA","sheet","Quadrat II, árvore no. 197 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605264' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580115","NY00580115_01","O.Berg",NA,"Magé","-43.0406","-22.6531","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","557984","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","prasina","Eugenia prasina","G. G. Hatschbach","18654","1968","02","27","South America","Brazil","Paraná","Serra de Araraquara","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479610' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557984","NY00557984_01","O.Berg","M. Sobral","Guaratuba","-48.5744","-25.8831",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","580113","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","prasina","Eugenia prasina","C. Angeli","s.n.","1965","06","25","South America","Brazil","Rio de Janeiro","Guanabara, Tijuca, Estr. da Vista Chinesa, pr. Estaçao Biológica","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=605262' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580113","NY00580113_01","O.Berg","G. M. Barroso",NA,"-43.273873","-22.971901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
