"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","yearIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","monthIdentified","dayIdentified","recordNumber","individualCount","typeStatus","fieldNumber","preparationType","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude"
"1","2020-02-08 10:14:56-03","NBC","NL-BOTANY","L.3775353","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Cyperaceae","Scleria","balansae","Scleria balansae","Maury ex Micheli","Pedersen TM","1971","11","25","Southern America","Argentina","Estancia ''La Pastoril''. Dep. Lavalle. Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3775353 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3775353","NL-L3775353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:14:56-03","NBC","NL-BOTANY","WAG.1776466","PreservedSpecimen","Plantae","Magnoliopsidae","Poales","Cyperaceae","Scleria","balansae","Scleria balansae","Maury ex Micheli","Pedersen TM","1971","11","25","Southern America","Argentina","Estancia ''La Pastoril''. Dep. Lavalle. Prov. Corrientes.","<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1776466 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1776466","NL-WAG1776466",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:25:38-03","IAP","PACA-AGP","54528","PreservedSpecimen","Plantae","Liliatae","Cyperales","Cyperaceae","Scleria","balansae","Scleria balansae","Maury ex Micheli","Rambo, B.","1953","11","13",NA,"Brasil","Taimbezinho","Habitat: In humidis graminosis. Fenofase: fruto","PACA054528",NA,"Magnoliophyta","A. C. Araújo","2008","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:25:41-03","IAP","PACA-AGP","56447","PreservedSpecimen","Plantae","Liliatae","Cyperales","Cyperaceae","Scleria","sellowiana","Scleria sellowiana balansae","(Maury) C. B. Clarke","Rambo, B.","1955","01","02",NA,"Brasil","Fazenda Englert","Habitat: In paludosis.","PACA056447",NA,"Magnoliophyta","Emrich-Rambo","1955","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525","76715","auto","balansae","04","04",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-01 16:19:44-03","UNICAMP","UEC","158050","S","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Freitas, L","1999","10","23",NA,"Brazil","São José do Barreiro, Fazenda Mariana próximo a divísa do parque.","Erva cespitosa, 70cm.; Campo de altitude.","UEC015428","UEC015428","Liliopsida","Muniz, CFS","2000","Minas Gerais","São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","auto",NA,"05",NA,"734",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:19:44-03","UNICAMP","UEC","109451","S","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Freitas, L",NA,NA,NA,NA,"Brazil","Campo de altitude, Divisa entre Fazenda Flora Mariana e o Parque.","erva ca. 50cm.","UEC098064","UEC098064","Liliopsida","Muniz, CFS","2000","São Paulo","São José do Barreiro","-44.5699996948242","-22.6399993896484","30784","auto",NA,"05",NA,"763",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-01-17 11:23:12-02","PUCRS","MPUC","22146","S","Plantae","Liliopsida","Poales","Cyperaceae","Scleria","balansae","Scleria balansae","Maury",NA,"2016","11","22","South America","Brasil","Morro do Osso","Fitossociologia",NA,NA,NA,"C. Vogel Ely","2017","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","auto",NA,"01","01",NA,"1",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:22:36-03","MBM","MBM","260015","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Tramujas, A.P.; Roderjan, C.V.; Roderjan, C.V.","1997","10","23","Southern America","Brazil","Serra Capivari",NA,"MBM260015","MBM260015",NA,"Kozera, C.",NA,"Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465","55154","auto",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:22:36-03","MBM","MBM","11728","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Hatschbach, G.","1969","09","30","Southern America","Brazil","Rio Passa Dois","Do campo limpo, seco","MBM011728","MBM011728",NA,"Pedersen, T.M.","1970","Paraná","Lapa","-49.7158012390137","-25.7696990966797","49965","auto",NA,NA,NA,"22262",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:22:36-03","MBM","MBM","109364","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Sobral, M.; et al.; et al.","1986","01",NA,"Southern America","Brazil","Desfiladeiro do Funil","Erva em campo seco; frutos brancos","MBM109364","MBM109364",NA,"Sobral, M.","1986","Santa Catarina","Bom Jardim da Serra","-49.624698638916","-28.3369007110596","32577","auto",NA,NA,NA,"4787",NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-12-21 16:22:36-03","MBM","MBM","147876","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Pedersen, T.M.","1991","02","25","Southern America","Argentina",NA,NA,"MBM147876","MBM147876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:22:36-03","MBM","MBM","55753","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Fernandez, J.G.","1977","10","05","Southern America","Argentina",NA,NA,"MBM055753","MBM055753",NA,"Muniz, C.F.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"473",NA,NA,NA,NA,NA,NA,NA,NA
"13","2015-09-19 18:41:38-03","MNHN","RECOLNAT_MNHN_P","P00266856","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Balansa, B.","1874","9","14",NA,"Paraguay","Plaine de Dona Juana, près de Villa Rica","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00266856' target='other'> <mi>dwc_moreinfo</mi></a>","P00266856","P00266856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","459","hb",NA,NA,NA,NA
"14","2015-09-03 22:10:41-03","MNHN","RECOLNAT_MNHN_P","P00266857","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Balansa, B.","1874","9","14",NA,"Paraguay","Plaine de Dona Juana, près de Villa Rica","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00266857' target='other'> <mi>dwc_moreinfo</mi></a>","P00266857","P00266857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"isotype","459","hb",NA,NA,NA,NA
"15","2015-09-03 22:10:41-03","MNHN","RECOLNAT_MNHN_P","P00266858","PreservedSpecimen",NA,NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Balansa, B.","1874","11","12",NA,"Paraguay","Caaguazu, dans les campos","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00266858' target='other'> <mi>dwc_moreinfo</mi></a>","P00266858","P00266858_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"459 a","hb",NA,NA,NA,NA
"16","2021-02-11 17:18:42-03","UFPR","UPCB","39172","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Tramujas, A.P.","1997","10","23",NA,"Brasil","Serra do Capivari","Herbácea 50cm, frutos maduros. Refúgio vegetacional altomontano herbáceo. Abundante em campo de altitude a 1500m s.n.m..",NA,NA,NA,"Kozera, C.","1999","Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465","55154","auto",NA,"07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2017-02-07 12:22:00-02","MO","MOBOT","1307174","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Elsa M. Zardini|Leongino Guerrero","1998","7","24","South America","Paraguay","Near J.E. Estigarribia. Cerrado scrub; collecting area around one hectare of removed soil.",NA,NA,NA,NA,"K. Bauters (GENT)",NA,"Caaguazú",NA,"-55.8202778","-25.4069444",NA,NA,NA,NA,NA,"Zardini 49148","4",NA,"1152",NA,"400.00000000",NA,NA,NA
"18","2017-08-22 08:01:00-03","MO","MOBOT","1542481","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Elsa M. Zardini|B. Ojeda","2000","12","3","South America","Paraguay","Around Yabebiry. Savannas and inundated savannas on sandy soil.",NA,NA,NA,NA,"K. Bauters (GENT)",NA,"Misiones",NA,"-57.1627778","-27.3844444",NA,NA,NA,NA,NA,"Zardini 55747","5",NA,"1223",NA,NA,NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","2065597","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Stephan G. Beck","1990","12","19","South America","Bolivia",NA,NA,NA,NA,NA,"K. Camelbeke",NA,"La Paz",NA,NA,NA,NA,NA,NA,NA,NA,"Beck 17863",NA,NA,NA,NA,"1900.00000000","1900.00000000",NA,NA
"20","2013-06-25 13:16:00-03","MO","MOBOT","2190550","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Troels M. Pedersen","1971","11","25","South America","Argentina","Estancia La Pastoril; steep, grassy banks of the R. Paraná.",NA,NA,NA,NA,"Pedersen, T. M.",NA,"Corrientes","Lavalle",NA,NA,NA,NA,NA,NA,NA,"Pedersen 10013","1",NA,NA,NA,NA,NA,NA,NA
"21","2015-09-16 06:16:00-03","MO","MOBOT","2490431","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Benedict (Benjamin) Balansa",NA,NA,NA,"South America","Paraguay","Plaine de Doña Juana, pres de Villa Rica, dans les prairies",NA,NA,NA,NA,NA,NA,"Guairá",NA,NA,NA,NA,NA,NA,NA,NA,"Balansa 459",NA,NA,NA,NA,NA,NA,NA,NA
"22","2009-08-18 12:10:00-03","MO","MOBOT","3132366","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Erik L. Ekman","1907","11","29","South America","Argentina","Locis graminosis prope La Granja praedium.",NA,NA,NA,NA,NA,NA,"Misiones",NA,NA,NA,NA,NA,NA,NA,NA,"Ekman 1282",NA,NA,NA,NA,NA,NA,NA,NA
"23","2008-05-27 22:02:00-03","MO","MOBOT","3132368","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","Gert G. Hatschbach","1969","9","30","South America","Brazil","Rio Passa 2 (mun. Lapa). Do campo sêco, limpo.",NA,NA,NA,NA,"T.M. Pedersen",NA,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"Hatschbach 22262",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","1545926","PreservedSpecimen","Plantae","Monocotyledonae","Cyperales","Cyperaceae","Scleria","balansae","Scleria balansae",NA,"S. Venturi","1922","12","20","South America","Argentina","(R.A.) Departamento Famailla, Villa Nogues.",NA,"US02238443","US02238443_01",NA,NA,NA,"Tucuman",NA,NA,NA,NA,NA,NA,NA,NA,"1963","1",NA,NA,NA,"1100",NA,NA,NA
"25","2020-09-12 05:00:02-03","US","US","3203854","PreservedSpecimen","Plantae","Monocotyledonae","Cyperales","Cyperaceae","Scleria","balansae","Scleria balansae",NA,"J. Arechavaleta",NA,"2",NA,"South America","Uruguay",NA,NA,"US02238442",NA,NA,NA,NA,"Montevideo",NA,NA,NA,NA,NA,NA,NA,NA,"262","1",NA,NA,NA,NA,NA,NA,NA
"26","2020-09-12 05:00:02-03","US","US","3709097","PreservedSpecimen","Plantae","Monocotyledonae","Cyperales","Cyperaceae","Scleria","balansae","Scleria balansae",NA,"E. Zardini & B. Ojeda","2000","12","3","South America","Paraguay","Around Yabebiry.",NA,"US01921543",NA,NA,"Bauters, K.",NA,"Misiones",NA,"-57.1628","-27.3844",NA,NA,NA,NA,NA,"55747","1",NA,NA,NA,NA,NA,"57 09 46 W","27 23 4 S"
"27","2019-12-09 17:29:46-03","UFPR","EFC","8049","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury ex Micheli","Tramujas, A.P.; Roderjan, C.V.","1997","10","23",NA,"Brasil","Serra do Capivari","Herbácea 50 cm, abundante em campo de altitude a 1500m s.n.m. Frutos maduros.","EFC008049",NA,NA,"Kozera, C.","1999","Paraná","Campina Grande do Sul","-48.8215","-25.1377",NA,NA,NA,"07","01",NA,NA,NA,NA,NA,NA,NA,"-48.8215","-25.1377"
"28","2019-12-09 17:29:46-03","UFPR","EFC","8251","PreservedSpecimen","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury ex Micheli","Roderjan, C.V.; Serathiuk, R.E.","1998","11","30",NA,"Brasil","Serra do Capivari","Erva 60 cm, co-dominante em campo de altitude, 1400 m s.n.m. Frutos arroxeados, em formação.","EFC008251",NA,NA,"Kozera, C.","1999","Paraná","Campina Grande do Sul","-48.8215","-25.1377",NA,NA,NA,"07","01","1541",NA,NA,NA,NA,NA,NA,"-48.8215","-25.1377"
"29","2019-10-03 14:20:40-03","IAC","IAC","24686","S","Plantae",NA,NA,"Cyperaceae","Scleria","balansae","Scleria balansae","Maury","A. Schinini","1978","09","27",NA,"Argentina","Estação Experimental do INTA. El. S.",NA,NA,NA,NA,"A. Schinini","1978","Corrientes","Empedrado","-58.7833","-27.9833",NA,NA,NA,"09","27","16065",NA,NA,NA,NA,NA,NA,"-58.7833","-27.9833"
