"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","locality","verbatimLongitude","verbatimLatitude","relationshipType","relatedCatalogItem","continentOcean","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","preparationType"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","3739","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Pleurothallis","pectinata","Pleurothallis pectinata","Lindl.","Maria Guadalupe","2016","05","30","2","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:31-03","FZB-BH","CVJBFZB","3938","S","Plantae","Magnoliophyta",NA,"Asparagales","Orchidaceae","Pleurothallis","pectinata","Pleurothallis pectinata",NA,"Carlos Alberto","2016","11","11","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:31-03","PUCPR","HUCP","23907","S","Plantae","Monocotiledonea",NA,NA,"Orchidaceae","Acianthera","pectinata","Acianthera pectinata","(Lindl.) Pridgeon & M.W. Chase.","Smidt, EC",NA,NA,NA,NA,NA,"Almeida, ABR","006","2015","11","21","Brasil","Paraná","Paranaguá","-48.5092010498047","-25.5200004577637","24916","HUCP00002786","HUCP00002786","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:39-03","ESALQ","ESA","101936","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Orchidaceae","Pleurothallis","pectinata","Pleurothallis pectinata",NA,"Forster, W.","2005",NA,NA,NA,NA,"Destefani, A.C.C.","210.0","2005","03","30","Brasil","São Paulo","Barra do Turvo","-48.5046997070312","-24.7563991546631","38172","ESA101936","ESA101936","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:41:14-03","MN","R","24834","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","pectinata","Pleurothallis pectinata","Lindl.","Brade, A.C.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-01-28 09:15:00-03","MN","R","2745","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","pectinata","Pleurothallis pectinata","Lindl.","Rodrigues, J.B.","1881","04",NA,NA,NA,"Freire Allemão, F.; Cysneiros, M.","1498",NA,NA,NA,"Brasil","Ceará",NA,NA,NA,NA,"R000002745","R000002745_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:14-03","MN","R","43892","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","pectinata","Pleurothallis pectinata","Lindl.","Pabst, G.F.J.","1966","08","29",NA,NA,"Rosa, M.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442",NA,NA,"auto","Jacarepaguá",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-12-19 08:08:17-03","FPS","FPS","4029","MachineObservation","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","pectinata","Acianthera pectinata","(Lindl.) Pridgeon & M.W.Chase","Júnior, C.A.F.","2019","06","29",NA,NA,"Schwirkowski, P.","3452","2019","06","29","Brasil","Santa Catarina","São Bento do Sul","-49.280211","-26.32889",NA,"FPS04029,FURB65382","FPS04029_v01 FPS04029_v02 FPS04029_v03 FPS04029_v04 FPS04029_v05 FPS04029_v06 FPS04029_v07 FPS04029_v08 FPS04029_v09 FURB65382",NA,"Rio Natal","-49.280211","-26.32889","voucher","FURB 65382",NA,NA,NA,NA,NA
"9","2020-12-20 21:18:46-03","UFV","VIC","12658","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Pleurothallis","pectinata","Pleurothallis pectinata",NA,NA,NA,NA,NA,NA,"Epífita, encontrada agarrada no caule de árvores.","Gomes, V.","s.n.","1969","08","05","Brasil","Minas Gerais","Juiz de Fora","-43.3502998352051","-21.7642002105713","36144","VIC012658","VIC012658","auto","Fazenda São Mateus",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:40:58-03","UFJF","CESJ","60749","PreservedSpecimen","Plantae","Angiosperma",NA,NA,"Orchidaceae","Pleurothallis","pectinata","Pleurothallis pectinata","Lindl.","L. Menini Neto","2012","06","13",NA,"Interior de floresta, próximo ao curso d'água. Epífita a 8m de altura, cespitosa, sépalas e pétalas verde claro, base da sépala e labelo pintalgados de roxo, labelo com bordas fimbrias.","D.E.F. Barbosa; L. Menini Neto; F.R. Silva","91","2012","06","13","Brasil","Minas Gerais","Chácara","-43.182222","-21.655833",NA,"CESJ060749",NA,NA,"Fazenda Fortaleza de Santana, Interior de Floresta Estacional Semidecidual, próximo ao curso d'água.","-43.182222","-21.655833",NA,NA,"América do Sul","750","800",NA,NA
