"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","month","day","locality","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","infraspecificEpithet","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","413901","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","bahiensis","Inga bahiensis","Benth.","isolectotype","J. S. Blanchet","3016","1840","South America","Brazil","Bahia","Ilhéus","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=252653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00413901","NY00413901_01 NY00413901_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1280295","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","bahiensis","Inga bahiensis","Benth.",NA,"M. G. A. Lobo","311","1983","South America","Brazil","Maranhão","Santa Luzia","-47.205","-7.6322","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1599720' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280295","NY01280295_01","03","27","Margens da estrada da Fazenda Cacique já próximo a ferrovia Carajás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00932286","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","ingoides","Inga ingoides","(Rich.) Willd.",NA,"H. S. Irwin","18338","1966","South America","Brazil","Distrito Federal","Brasília","-47.6928","-15.5801","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004527' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932286","NY00932286_01","07","23","Near Lagõa Mestre d'Armas, ca. 5km N.W. of Planaltina, D.F.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00932267","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","ingoides","Inga ingoides","(Rich.) Willd.",NA,"G. T. Prance","59075","1964","South America","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004576' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932267","NY00932267_01","09","19","Vicinity of Sobradinho","M. J. Jansen-Jacobs; T. Baretta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00932285","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","ingoides","Inga ingoides","(Rich.) Willd.",NA,"H. S. Irwin","18329","1966","South America","Brazil","Distrito Federal","Brasília","-47.66666667","-15.61666667","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004526' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932285","NY00932285_01","07","22","Planaltina.","J. W. Grimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02852656","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","ingoides","Inga ingoides","(Rich.) Willd.",NA,"A. L. Pires da Silveira","522","2013","South America","Brazil","Rondônia","Porto Velho","-63.5628","-8.495","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3120792' target='other'> <mi>dwc_moreinfo</mi></a>","NY02852656","NY02852656_01","12","13","Parna Mapinguari.","F. Bonadeu da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-28 15:08:00-02","NY","NYBG","00932268","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","ingoides","Inga ingoides",NA,NA,"R. P. Belém","615","1965","South America","Brazil","Bahia",NA,"-39.2273659","-14.771874","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932268","NY00932268_01","03","31","Centro de Pesquisas do Cacau. CEPLAC, CEPEC. Ilhéus","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-30 01:32:00-03","NY","NYBG","01171618","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Inga","ingoides","Inga ingoides",NA,NA,"B. V. Rabelo","3750","1987","South America","Brazil","Pará","Anajás","-49.62","-0.6","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1313758' target='other'> <mi>dwc_moreinfo</mi></a>","NY01171618","NY01171618_01","11","09","Ilha de Marajó, rio Mucuons, região dos Campos, Fazenda Fura-Olho.","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-11-02 14:43:00-02","NY","NYBG","01048767","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","ingoides","Inga ingoides",NA,NA,"F. M. O. Villarouco","162","1996","South America","Brazil","Pernambuco","Sao Vicente Ferrer","-35.5","-7.5833","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1194341' target='other'> <mi>dwc_moreinfo</mi></a>","NY01048767","NY01048767_01","01","08","Mata do Estado.","F. Bonadeu da Silva","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","709220","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","ingoides","Inga ingoides","(Rich.) Willd.",NA,"A. R. S. de Oliveira","653","1995","South America","Brazil","Acre","Sena Madureira","-69.22","-10.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=686498' target='other'> <mi>dwc_moreinfo</mi></a>","NY00709220","NY00709220_01","09","09","Fazenda Nova Olinda","T. D. Pennington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
