"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","396295","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Hybanthus","velutinus","Hybanthus velutinus","Schulze-Menz","J. d. Paula-Souza","P. K. H. Dusén","15721","1914","10","22","South America","Brazil","Paraná","Ponta Grossa","23. Turma","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=301220' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396295","NY00396295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","396184","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Hybanthus","velutinus","Hybanthus velutinus","Schulze-Menz","J. d. Paula-Souza","A. C. Cervi","6326","1997","09","10","South America","Brazil","Paraná","Ponta Grossa","Fumas","-49.97","-25.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396184","NY00396184_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","396188","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Hybanthus","velutinus","Hybanthus velutinus","Schulze-Menz","J. d. Paula-Souza","P. K. H. Dusén","10430","1910","01","11","South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=381347' target='other'> <mi>dwc_moreinfo</mi></a>","NY00396188","NY00396188_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 07:31:00-03","NY","NYBG","1043235","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Hybanthus","velutinus","Hybanthus velutinus",NA,NA,"E. Hassler","9514","1905","10",NA,"South America","Paraguay","Caaguazú",NA,"In regione fluminis Yhú",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193009' target='other'> <mi>dwc_moreinfo</mi></a>","NY01043235","NY01043235_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:57:53-03","NBC","NL-BOTANY","U.1754467","PreservedSpecimen","Plantae",NA,"Malpighiales","Violaceae","Hybanthus","velutinus","Hybanthus velutinus","Schulze-Menz",NA,"Lindeman JC; Haas JH de",NA,"1966","10","17","Southern America","Brazil",NA,NA,"Brasilae Australis, Est. Paraná, sandy roadside on hill 1 km N of Jaguariaíva.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1754467 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1754467","NL-U1754467","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:57:53-03","NBC","NL-BOTANY","U.1754468","PreservedSpecimen","Plantae",NA,"Malpighiales","Violaceae","Hybanthus","velutinus","Hybanthus velutinus","Schulze-Menz",NA,"Lindeman JC; Haas JH de",NA,"1966","09","16","Southern America","Brazil",NA,NA,"Brasilae Australis, Est. Paraná, burned campo on second planalto near Vila Velha.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1754468 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1754468","NL-U1754468","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:20:45-03","ESALQ","ESA","114928","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","velutina","Pombalia velutina","(Schulze-Menz) Paula-Souza","Lindeman, J.C.","Lindeman, J.C.","2490.0","1966","09","16",NA,"Brasil","Paraná","Ponta Grossa",NA,"-50.1618995666504","-25.0949993133545",NA,NA,"ESA114928","ESA114928",NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:20:45-03","ESALQ","ESA","85433","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","velutina","Pombalia velutina","(Schulze-Menz) Paula-Souza","Paula-Souza, J.","Paula-Souza, J.; Souza, V.C.; Mazine, F.F.; Lucas, E.; Romão, G.O.","3645.0","2003","11","13",NA,"Brasil","São Paulo","Itararé","9km de Itararé para Bom Sucesso de Itararé. Beira de estrada","-49.3400001525879","-24.1100006103516",NA,"Erva, ca. 30 cm alt. Vegetativo.","ESA085433","ESA085433",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:20:45-03","ESALQ","ESA","93599","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","velutina","Pombalia velutina","(Schulze-Menz) Paula-Souza","Schinini, A.","Seijo, J.G. ; Neffa, S.V.G.","3206.0","2004","04","05",NA,"Bolívia","Santa Cruz","Ñuflo de Chavez",NA,NA,NA,NA,NA,"ESA093599","ESA093599",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:20:45-03","ESALQ","ESA","22604","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","velutina","Pombalia velutina","(Schulze-Menz) Paula-Souza","Souza, J.P.","Barreto, K.D. et al.","3212.0","1994","11","10",NA,"Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,"ESA022604","ESA022604",NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:20:45-03","ESALQ","ESA","16224","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","velutina","Pombalia velutina","(Schulze-Menz) Paula-Souza","Souza, J.P.","Hatschbach, G.","59430.0","1993","09","19",NA,"Brasil","Paraná","Jaguariaíva",NA,"-49.7057991027832","-24.2511005401611",NA,NA,"ESA016224","ESA016224",NA,"44368","auto","2002","01","01",NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:20:45-03","ESALQ","ESA","64106","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","velutina","Pombalia velutina","(Schulze-Menz) Paula-Souza","Souza, J.P.","Hatschbach, G.","37073.0","1975","09","18",NA,"Brasil","Paraná","Jaguariaíva",NA,"-49.7057991027832","-24.2511005401611",NA,NA,"ESA064106","ESA064106",NA,"44368","auto","2002","01","01",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:20:45-03","ESALQ","ESA","114923","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","velutina","Pombalia velutina","(Schulze-Menz) Paula-Souza","Paula-Souza, J.","Hatschbach, G.","6377.0","1959","10","12",NA,"Brasil","Paraná","Tibagi",NA,"-50.4136009216309","-24.5093994140625",NA,NA,"ESA114923","ESA114923",NA,"56988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:20:45-03","ESALQ","ESA","96314","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Violaceae","Pombalia","velutina","Pombalia velutina","(Schulze-Menz) Paula-Souza","Paula-Souza, J","Chagas e Silva, F. ; Soares-Silva, L.H.","2035.0","1996","10","15",NA,"Brasil","Paraná","Ventania",NA,"-50.2428016662598","-24.2458000183105",NA,NA,"ESA096314","ESA096314",NA,"32424","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-02-15 11:51:59-02","IPA","IPA","51808","S","Plantae","Plantae",NA,"Violaceae","Hybanthus","velutinus","Hybanthus velutinus","Schulze-Menz","Fernández, A.","Ramesh Bedi","205","1986",NA,NA,"Southern America","Brasil","Distrito Federal","Brasília",NA,"-47.9296989440918","-15.7797002792358",NA,NA,"IPA0051808",NA,NA,"70570","auto","2008","08","12",NA,NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:47:26-03","MBM","MBM","162413","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Hybanthus","velutinus","Hybanthus velutinus","G.K. Schulze","Schinini, A.","Toledo, C.S.; et al.; et al.","11454","1993","04","07","Southern America","Bolivia",NA,NA,NA,NA,NA,NA,NA,"MBM162413","MBM162413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:47:26-03","MBM","MBM","70013","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Hybanthus","velutinus","Hybanthus velutinus","G.K. Schulze","Luz, M.C.M.","Hatschbach, G.","43375","1980","11","24","Southern America","Brazil","Paraná","Jaguariaíva","Fazenda Cajuru","-49.7057991027832","-24.2511005401611",NA,NA,"MBM070013","MBM070013",NA,"44368","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
