"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","class","order","individualCount","phylum","typeStatus"
"1","2021-03-26 10:43:28-03","UDESC","LUSC","7239","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neotristis","Eugenia neotristis","Sobral","M. Sobral","F.C.S. Vieira","2132","2009","02","06","Brasil","Santa Catarina","Joinville","Mata da pista de atletismo da UNIVILLE.","-48.8456001281738","-26.3043994903564","37150","LUSC007056","LUSC007056","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-10-14 10:03:22-03","FURB","FURB","17770","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neotristis","Eugenia neotristis","Sobral","Sobral, M","Gasper, A.L. de; Cadorin, T.J. & Schmitt, J.","2425","2009","09","30","Brasil","Santa Catarina","Garuva","Sol Nascente.","-48.7272223","-26.055",NA,"FURB02459","FURB02459",NA,"2010","01","25","-48.7272223","-26.0550000","13","13","Florística IFFSC e8000a (Arbusto) Habitat: Floresta Ombrófila Densa de Terras Baixas; Estágio médio de regeneração; beira de arrozeira abandonada Habito: arbustiva; Fruto vinho;",NA,NA,NA,NA,NA,NA
"3","2020-10-14 10:03:22-03","FURB","FURB","48761","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neotristis","Eugenia neotristis","Sobral","Oliveira, AA de","Oliveira, A.A. de","2705","2015","11","03","Brasil","Santa Catarina","São Francisco do Sul","Bairro Tapera.","-48.6","-26.28",NA,"FURB48761","FURB48761",NA,"2015","11","03","-48.6000000","-26.2800000","28","28",NA,NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:36:36-03","MBM","MBM","140601","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neotristis","Eugenia neotristis","Sobral","Sobral, M.","Ziller, S.R.; Kuniyoshi, Y.S.; Kuniyoshi, Y.S.","76","1989","08","16","Brazil","Paraná","Matinhos","Rodovia Alexandra - Matinhos, km 28","-48.5428009033203","-25.8174991607666","15275","MBM140601","MBM140601","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA
"5","2021-02-11 17:20:40-03","UFPR","UPCB","21803","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neotristis","Eugenia neotristis","Sobral","Sobral, M.","Negrelle, R.R.B.","A171","1992","03","14","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha","-48.6161003112793","-26.1168994903564","18121",NA,NA,"auto","2000","01","01",NA,NA,NA,NA,"Arvoreta ±2m, com flores brancas (solo hidromórfico)..",NA,NA,NA,NA,NA,NA
"6","2014-12-27 14:20:00-02","MO","MOBOT","2483452","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neotristis","Eugenia neotristis","Sobral",NA,"Anonymous","Anonymous s.n.11",NA,NA,NA,"Brazil","Santa Catarina",NA,"Itajaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA
"7","2021-03-04 11:05:52-03","UFRB","HURB","5257","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neotristis","Eugenia neotristis","Sobral","M. Sobral","Gasper, A.L. de; et al.","2425","2009","09","30","Brasil","Santa Catarina","Garuva","Sol Nascente; beira de arrozeira abandonada","-48.727225","-26.055025",NA,"HURB000005257",NA,NA,"2010","01","25","48°43'38,01 W","26°03'18,09 S","13","13",NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2535463","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","tristis","Eugenia tristis","Kurz",NA,"R. M. Klein","1447","1955","7","12","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6618995666504","-26.9078006744385","27253","US01898837","US01898837_01 US01898837_02","auto",NA,NA,NA,NA,NA,"150",NA,NA,"South America - Neotropics","Dicotyledonae","Myrtales","1",NA,NA
"9","2019-12-09 17:30:21-03","UFPR","EFC","2005","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neotristis","Eugenia neotristis","Sobral","Sobral, M.","Ziller, S.R.; Kuniyoshi, Y.S.","76","1989","08","16","Brasil","Paraná","Matinhos","Rod. Alexandra Matinhos Km 28","-48.5428009033203","-25.8174991607666","15275","EFC002005",NA,"auto","2015","05","08",NA,NA,NA,NA,"Arvoreta frequente. Caxetal, solo orgânico. Ramo frutífero. __COMMOM_NAME__: Gaumirim-miúdo",NA,NA,NA,NA,NA,NA
"10","2021-03-25 13:52:50-03","UNIVILLE","JOI","18428","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","neotristis","Eugenia neotristis","Sobral","Vieira, F.C.S.","Vieira, F.C.S.","2622","2019","06","15","Brasil","Santa Catarina","Joinville","UNIVILLE.","-48.858333","-26.251667",NA,"JOI018428",NA,NA,"2019","06","21","48º51'30''W","26º15'6''S","12","12",NA,NA,NA,NA,NA,NA,NA
