"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","typeStatus","stateProvince","locality","imagecode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","individualCount","fieldNumber","relatedCatalogItem","sex"
"1","2020-09-23 10:37:51-03","E","E","162872","PreservedSpecimen","Plantae","Compositae","Melanthera","latifolia","Melanthera latifolia","Dubs, Balthasar","2114","1996","03","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:171085","<a href=http://data.rbge.org.uk/herb/E00162872 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00162872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-10-19 10:31:00-02","NY","NYBG","168294","PreservedSpecimen","Plantae","Asteraceae","Echinocephalum","latifolium","Echinocephalum latifolium","G. Gardner","1728",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=660439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00168294","Magnoliophyta","Asterales","syntype","Ceará","Ceará","NY00168294_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-19 10:31:00-02","NY","NYBG","168296","PreservedSpecimen","Plantae","Asteraceae","Echinocephalum","latifolium","Echinocephalum latifolium","G. Gardner","3848",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=660441' target='other'> <mi>dwc_moreinfo</mi></a>","NY00168296","Magnoliophyta","Asterales","syntype","Goiás",NA,"NY00168296_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-19 10:31:00-02","NY","NYBG","168295","PreservedSpecimen","Plantae","Asteraceae","Echinocephalum","latifolium","Echinocephalum latifolium","G. Gardner","1728",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=660440' target='other'> <mi>dwc_moreinfo</mi></a>","NY00168295","Magnoliophyta","Asterales","syntype","Ceará","Ceará","NY00168295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","168297","PreservedSpecimen","Plantae","Asteraceae","Echinocephalum","latifolium","Echinocephalum latifolium","G. Gardner","3848","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=660442' target='other'> <mi>dwc_moreinfo</mi></a>","NY00168297","Magnoliophyta","Asterales","syntype",NA,"Brasilia","NY00168297_01","Gardner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 21:20:00-03","NY","NYBG","894856","PreservedSpecimen","Plantae","Asteraceae","Melanthera","latifolia","Melanthera latifolia","M. dos R. Cordeiro","1261","1976","11","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966800' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894856","Magnoliophyta","Asterales",NA,"Mato Grosso","Fazenda Cachimbo, sub. Base Projeto RADAM. Estrada BR.165 km, 688 PT.02.","NY00894856_01",NA,"Matupá","-54.9328","-10.0575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-10-19 10:31:00-02","NY","NYBG","894857","PreservedSpecimen","Plantae","Asteraceae","Melanthera","latifolia","Melanthera latifolia","C. E. F. von Glocker","528",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894857","Magnoliophyta","Asterales",NA,NA,"Brazil.","NY00894857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1419164","PreservedSpecimen","Plantae","Asteraceae","Melanthera","latifolia","Melanthera latifolia","A. M. Amorim","3831","2003","11","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1534256' target='other'> <mi>dwc_moreinfo</mi></a>","NY01419164","Magnoliophyta","Asterales",NA,"Bahia","Barragem de Bananeiras. Vale dos Rios, Paraguaçu e Jacuípe.","NY01419164_01","(Gardner) Cabrera","Cachoeira","-39.08","-12.53","H. E. Robinson","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","894855","PreservedSpecimen","Plantae","Asteraceae","Melanthera","latifolia","Melanthera latifolia","C. de Almeida","1043","1981","08","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=966788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00894855","Magnoliophyta","Asterales",NA,"Mato Grosso do Sul","Margem direita do Rio Paraguai (Porto).","NY00894855_01","(Gardner) Cabrera","Ladário","-57.6017","-19.0047","J. U. M. dos Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","798868","PreservedSpecimen","Plantae","Asteraceae","Melanthera","latifolia","Melanthera latifolia","G. G. Hatschbach","56408","1992","02","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=455783' target='other'> <mi>dwc_moreinfo</mi></a>","NY00798868","Magnoliophyta","Asterales",NA,"Santa Catarina","Rio Pipiri-Gauçu, próximo a barra","NY00798868_01","(Gardner) Cabrera","Itapiranga","-53.7119","-27.1694","J. F. Pruski","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
