"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","251735","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","sampaioi","Piper sampaioi","Yunck.","holotype fragment","A. J. de Sampaio","858","1908","10","22","South America","Brazil","Minas Gerais","Teixeira Soares","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=447119' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251735","NY00251735_01",NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-02-18 13:21:00-02","MO","MOBOT","100895297","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","sampaioi","Piper sampaioi","Yunck.",NA,"M. Alejandra Jaramillo|M.A. Ferreira|C. Ramos","Jaramillo 916","2005","5","28","South America","Brazil","Rio de Janeiro","Colecciones en los barrios Pimenteiras y Quebre Frascos. Areas de bosque secundario.",NA,NA,NA,NA,"M.A. Jaramillo","Teresópolis","-42.9655990600586","-22.4122009277344","38539","1","auto",NA
"3","2020-07-23 12:18:13-03","CEPLAC","CEPEC","94876","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","sampaioi","Piper sampaioi",NA,NA,"E. F. Guimarães","123","1989","10","17",NA,"Brasil","Rio de Janeiro","Pimenteiras, Ruas Grotão e Estrada do Guandu.",NA,NA,NA,NA,"E. F. Guimarães","TERESÓPOLIS","-42.9655990600586","-22.4122009277344","38539",NA,"auto","30/12/1993"
"4","2020-07-23 12:18:13-03","CEPLAC","CEPEC","120490","PreservedSpecimen","Plantae",NA,NA,"Piperaceae","Piper","sampaioi","Piper sampaioi",NA,NA,"M. A. Jaramillo","916","2005","05","28",NA,"Brasil","Rio de Janeiro","Coleta nos bairros Pimenteiras e Quebra Frascos. Área de bosque.",NA,NA,NA,NA,"E. F. Guimarães","TERESÓPOLIS","-42.9655990600586","-22.4122009277344","38539",NA,"auto","30/06/2005"
