"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","448043","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","zanthoxyloides","Cupania zanthoxyloides","Cambess.","T. D. Pennington","F. C. Hoehne","30847","1933","08","17","South America","Brazil","São Paulo","Sao Paulo","Jardim Botânico.","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451935' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448043","NY00448043_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1181424","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","zanthoxyloides","Cupania zanthoxyloides","Cambess.","D. C. Zappi","B. R. Silva","1374","2004","10","27","South America","Brazil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca. Mata de grotão na gruta dos 3 Arcos.","-43.8833","-21.6775","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1369999' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181424","NY01181424_01","1637","1637",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","685945","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","zanthoxyloides","Cupania zanthoxyloides","Cambess.","F. de Barros; M. A. V. da Cruz-Barros","J. de S. Silva","333","1974","07","23","South America","Brazil","São Paulo","Sao Paulo","São Paulo, capital, nativa no Jardim Botânico e Parque do Estado. Área 15.","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685945","NY00685945_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","448041","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","zanthoxyloides","Cupania zanthoxyloides","Cambess.","O. Handro","F. C. Hoehne","s.n.","1934","10","08","South America","Brazil","São Paulo","Sao Paulo","Nativa no Jardim Botânico.","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451928' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448041","NY00448041_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","448040","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","zanthoxyloides","Cupania zanthoxyloides","Cambess.","L. A. T. Radlkofer","A. Löfgren","10464","1893","04","23","South America","Brazil","São Paulo","Sao Paulo","Pinheiros","-46.63","-23.5403","sheet","Ex. Herv. Comm. Geogr. e Geol. de S. Paulo. no. 1559. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448040","NY00448040_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","448042","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","zanthoxyloides","Cupania zanthoxyloides","Cambess.","T. D. Pennington","F. C. Hoehne","30847","1933","08","17","South America","Brazil","São Paulo","Sao Paulo","Jardim Botânico.","-46.618358","-23.646109","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451936' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448042","NY00448042_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","448044","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","zanthoxyloides","Cupania zanthoxyloides","Cambess.","T. D. Pennington","R. Reitz","4814","1957","09","05","South America","Brazil","Santa Catarina","Campo Alegre","Morro do Iquererim.","-49.2656","-26.1925","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451933' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448044","NY00448044_01","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","685946","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","zanthoxyloides","Cupania zanthoxyloides","Cambess.","G. M. Barroso","S. L. Jung-Mendaçolli","291A","1979","09","08","South America","Brazil","São Paulo","Sao Paulo","São Paulo, capital, Reserva Biológica do Parque Estadual das Fontes do Ipiranga.","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=822680' target='other'> <mi>dwc_moreinfo</mi></a>","NY00685946","NY00685946_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","448045","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","zanthoxyloides","Cupania zanthoxyloides","Cambess.",NA,"R. Reitz","4611","1957","07","25","South America","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca.","-48.8456","-26.3044","sheet","Vouchers for wood samples deposited at Syracuse University. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451934' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448045","NY00448045_01","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","448037","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","zanthoxyloides","Cupania zanthoxyloides","Cambess.","W. Hoehne","W. Hoehne","SPF13414","1945","08","06","South America","Brazil","São Paulo","Sao Paulo","Parque Estadual.","-46.621883","-23.654505","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451932' target='other'> <mi>dwc_moreinfo</mi></a>","NY00448037","NY00448037_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
