"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","decimalLongitude","decimalLatitude","imagecode","fieldNumber","identifiedBy","individualCount","class","verbatimLongitude","verbatimLatitude","sex","yearIdentified","monthIdentified","dayIdentified"
"1","2020-09-23 10:43:19-03","E","E","208025","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","retusa","Micropholis retusa","isotype","Spruce, Richard","2735","E. Tropical South America","BR","Amazonas","Prope [near] Panurè [Ipanore], Rio Uaupes.","herbarium specimen of unspecif","BGBASE:218202","<a href=http://data.rbge.org.uk/herb/E00208025 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00208025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","273519","PreservedSpecimen","Plantae","Sapotaceae","Lucuma","retusa","Lucuma retusa","isotype","R. Spruce","2735","South America","Brazil","Amazonas","Prope Panaré ad Rio Vaupés","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=65585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00273519","Magnoliophyta","Ericales","Spruce ex Miq.","1852","10","-68.5121369","0.2251762","NY00273519_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-09-25 22:32:53-03","MNHN","RECOLNAT_MNHN_P","P00649253","PreservedSpecimen",NA,"Sapotaceae","Micropholis","retusa","Micropholis retusa",NA,"Spruce, R.",NA,NA,"Brésil",NA,"Prope Panure ad Rio Maupès","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649253' target='other'> <mi>dwc_moreinfo</mi></a>","P00649253",NA,NA,"(Spruce ex Miq.) Eyma","1852","10",NA,NA,"P00649253_01","2735",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-06-07 10:23:13-03","MNHN","RECOLNAT_MNHN_P","P00649254","PreservedSpecimen",NA,"Sapotaceae","Micropholis","retusa","Micropholis retusa",NA,"Spruce, R.",NA,NA,"Brésil",NA,"Prope Panure ad Rio Maupès","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00649254' target='other'> <mi>dwc_moreinfo</mi></a>","P00649254",NA,NA,"(Spruce ex Miq.) Eyma","1852","10",NA,NA,"P00649254_01 P00649254_02","2735",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-03 11:34:00-03","MO","MOBOT","1971088","PreservedSpecimen","Plantae","Sapotaceae","Micropholis","retusa","Micropholis retusa","Lectotype","Richard Spruce","Spruce 2735","South America","Brazil","Amazonas","Prope Panuró ad Rio Vaupès.",NA,NA,NA,NA,NA,NA,"(Spruce ex Miq.) Eyma","1852","10",NA,NA,NA,NA,"T.D. Pennington","1",NA,NA,NA,NA,NA,NA,NA
"6","2019-09-04 17:56:19-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Sapotaceae","Lucuma","retusa","Lucuma retusa","Isotype","R. Spruce","2735","South America","Brazil","Amazonas",NA,NA,NA,NA,NA,"Spermatophyta",NA,NA,"1852","10","-63","-5",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"7","2019-01-23 11:22:56-02","F","FMNH-SEEDPLANTS","V0072059F","PreservedSpecimen","Plantae","Sapotaceae","Lucuma","retusa","Lucuma retusa","Isotype","R. Spruce","2735","South America","Brazil","Amazonas",NA,NA,NA,NA,"V0072059F","Spermatophyta",NA,NA,NA,NA,"-63","-5","V0072059F_01",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"8","2019-01-23 12:14:16-02","F","FMNH-SEEDPLANTS","V0072060F","PreservedSpecimen","Plantae","Sapotaceae","Lucuma","retusa","Lucuma retusa","Isotype","R. Spruce","2735","South America","Brazil","Amazonas","prope Panure ad Rio Vaupes",NA,NA,NA,"V0072060F","Spermatophyta",NA,NA,"1852","10",NA,NA,"V0072060F_01",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA
"9","2015-02-26 09:30:29-03","NHMLondon","NHM-LONDON-BOT","BM000952608","S","Plantae","Sapotaceae","Micropholis","retusa","Micropholis retusa","Isotype","Richard Spruce; b.1817; d.1893; Spruce","2735",NA,"Brasil",NA,NA,NA,"NHMUK:ecatalogue:605111",NA,NA,NA,NA,"(Spruce ex Miq.) Eyma","1852","10","-53.08982","-10.773109",NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,NA
"10","2017-09-11 17:14:02-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Sapotaceae","Lucuma","retusa","Lucuma retusa",NA,"Spruce, R","2736","Southern America","Brazil",NA,"Crescit prope Panuré da Rio Uapés.",NA,NA,"Pl. Najas; HABITAT: Pl. Najas",NA,NA,NA,"Spruce",NA,NA,NA,NA,"P07P0N0037",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2010-08-16 16:35:59-03","GH","HU-HERB","GH 00075649","PreservedSpecimen","Plantae","Sapotaceae","Lucuma","retusa","Lucuma retusa","Isotype","R. Spruce","2735","South America","Brazil",NA,"Prope Panurè ad Rio Uaupès","Sheet",NA,NA,NA,NA,NA,"Spruce ex Miquel","1852","10",NA,NA,NA,"2735",NA,NA,NA,NA,NA,"undetermined",NA,NA,NA
"12","2014-09-23 10:59:41-03","G","G","G00237367","S","Plantae","Sapotaceae","Micropholis","retusa","Micropholis retusa","ISOTYPUS of Lucuma retusa Miq.","Spruce, R.","2735","AMERIQUE DU SUD","Brazil",NA,NA,NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=189491&base=img&lang=en","G00237367",NA,NA,"(Miq.) Eyma",NA,NA,"-53.08972222","-10.77305556","G00237367",NA,"Gautier, L.",NA,NA,"-53.08972222","-10.77305556",NA,"1992","01","01"
"13","2014-09-23 10:59:41-03","G","G","G00237368","S","Plantae","Sapotaceae","Micropholis","retusa","Micropholis retusa","ISOTYPUS of Lucuma retusa Miq.","Spruce, R.","2735","AMERIQUE DU SUD","Brazil",NA,NA,NA,NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=189492&base=img&lang=en","G00237368",NA,NA,"(Miq.) Eyma",NA,NA,"-53.08972222","-10.77305556","G00237368",NA,"Gautier, L.",NA,NA,"-53.08972222","-10.77305556",NA,"1992","01","01"
