"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","561514","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","acutatus","Calycorectes acutatus","(Miq.) Toledo","J. F. de Toledo","E. Kuehn","1189","1942","05","08","South America","Brazil","São Paulo","Amparo","Amparo, Monte Alegre, Fazenda N.S. da Encarnaçao.","-46.7597","-22.7003","sheet","Date on label mis-typed as 1842 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=685026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561514","NY00561514_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1182707","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","acutatus","Calycorectes acutatus","(Miq.) Toledo","M. C. H. Mamede","J. Mattos","9633","1961","12","28","South America","Brazil","São Paulo","Moji-Guaçu","Perto de Padua Sales, Fazenda Campininha","-47.164784","-22.242395","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408075' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182707","NY01182707_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1182709","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","acutatus","Calycorectes acutatus","(Miq.) Toledo","M. C. H. Mamede","J. de C. Novaes","1321",NA,NA,NA,"South America","Brazil","São Paulo",NA,"Funil.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1408081' target='other'> <mi>dwc_moreinfo</mi></a>","NY01182709","NY01182709_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","558100","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","acutatus","Calycorectes acutatus","(Miq.) Toledo","M. Sobral","P. E. Gibbs","3554","1976","11","26","South America","Brazil","São Paulo","Moji-Guaçu","25 km NW de Mogi-Guaçú. Estaçao Experimental de Mogi-Guaçú (Fazenda Campininha)","-47.164784","-22.242395","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479664' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558100","NY00558100_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00906791","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","heringerianus","Calycorectes heringerianus","Mattos",NA,"E. P. Heringer","5808","1957","10","30","South America","Brazil","Minas Gerais",NA,"Lagoa Preta- Margem do Rio Paraopeba",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982680' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906791","NY00906791_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","561504","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","martianus","Calycorectes martianus","O.Berg","G. Martinelli; G. Banoso; H. C. de Lima","H. C. de Lima","2244","1984","10","18","South America","Brazil","Rio de Janeiro","Magé","Paraiso, área do Centro de Primatologia do RJ.","-43.0406","-22.6531","sheet","Quadrat II, árvore no. 159 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=569972' target='other'> <mi>dwc_moreinfo</mi></a>","NY00561504","NY00561504_01",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1279919","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Calycorectes","martianus","Calycorectes martianus","O.Berg","G. M. Barroso","H. C. de Lima","2273","1984","04","22","South America","Brazil","Rio de Janeiro","Magé","Paraiso, área do Centro de Primatología do RJ","-43.0406","-22.6531","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1514590' target='other'> <mi>dwc_moreinfo</mi></a>","NY01279919","NY01279919_01",NA,"200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","579765","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","acutata","Eugenia acutata","Miq.","M. Sobral","G. G. Hatschbach","50792","1986","10","02","South America","Brazil","Paraná","Antonina","Porto das Moças.","-48.7117","-25.4286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=160859' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579765","NY00579765_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","558012","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","acutata","Eugenia acutata","Miq.","M. Sobral","G. G. Hatschbach","13073","1965","11","02","South America","Brazil","Paraná","Paranaguá","Taboleiro do Guarany","-48.5092","-25.5203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479260' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558012",NA,NA,"3","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01806164","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","acutata","Eugenia acutata","Miq.","M. Sobral","L. A. Mattos Silva","892","1980","06","18","South America","Brazil","Bahia","Santa Cruz Cabrália","Antiga rodovia que liga a Estaçao Ecológica do Pau - brasil à S. C. Cabrália, km 2 a 9. Folha SE-24 (16-39c).","-39.0638664","-16.302668","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2139667' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806164","NY01806164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
