"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","previousCatalogNumber","typeStatus","coordinatePrecision","geoFlag","individualCount","fieldNumber","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","01806802","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","santosii","Solanum santosii","S.Knapp","M. H. Nee","A. M. Amorim","6608","2006","11","26","South America","Brazil","Bahia","Arataca","RPPN Caminho das Pedras. Serra do-Peito-de-Moça, entrada a 9,5 km no Assent. Santo Antonio, mais 8,9 km ate a sede de RPPN. Trilha do acesso ao Mormaço.","-39.3394","-15.1742","900","936","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2219378' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806802","NY01806802_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","669764","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","santosii","Solanum santosii","S.Knapp","S. D. Knapp","L. R. Noblick","4413","1985","07","05","South America","Brazil","Bahia","Salvador","Mata dos Oitis, perto do Centro Administrativo da Bahia.","-38.45","-12.95","10","30","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669764","NY00669764_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00852456","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","santosii","Solanum santosii","S.Knapp","S. D. Knapp","A. M. Amorim","2621","1998","11","07","South America","Brazil","Bahia","Jussari","Rod. Jussari-Palmira, entrada ca. 7.5 km de Jussari, Fazenda Teimoso, RPPN Serra do Teimoso","-39.5286","-15.1581",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=566412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00852456","NY00852456_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","669766","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","santosii","Solanum santosii","S.Knapp","M. H. Nee","S. A. Mori","9299","1978","02","26","South America","Brazil","Bahia","Una","Rodovia BA-265, a 23km de Una.","-39.0753","-15.2933","50","75","sheet","Colheita de duas plantas. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542252' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669766","NY00669766_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","669765","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","santosii","Solanum santosii","S.Knapp","M. H. Nee","R. Callejas Posada","1538","1983","10","27","South America","Brazil","Bahia","Ilhéus","Area do CEPEC (Centro de Pesquisas do Cacau) km 22 da Rodovia Ilhéus/Itabuna (BR 415). Quadra D.","-39.2263","-14.7583","50","50","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542251' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669765","NY00669765_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00684445","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","santosii","Solanum santosii","S.Knapp","M. H. Nee","J. G. Jardim","2595","2000","01","30","South America","Brazil","Bahia","Ilhéus","Mata da Esperança, parte W, acesso Rod. Ilhéus/Itabuna, Banco da Vitória.","-39.08333333","-14.775",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=825840' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684445","NY00684445_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","669763","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","santosii","Solanum santosii","S.Knapp","S. D. Knapp","T. S. dos Santos","3405","1978","12","05","South America","Brazil","Bahia","Ilhéus","Area do CEPEC, quadra D.","-39.2264","-14.7583333",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=542255' target='other'> <mi>dwc_moreinfo</mi></a>","NY00669763","NY00669763_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01806813","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","santosii","Solanum santosii","S.Knapp","M. H. Nee","J. L. Paixão","858","2006","03","19","South America","Brazil","Bahia","Almadina","Serra do Corcovado, Rod. Almadina/Coaraci, ca. 5 km","-39.6025","-14.7036","300","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2219552' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806813","NY01806813_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","684609","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","santosii","Solanum santosii","S.Knapp","M. H. Nee","W. W. Thomas","12521","2001","05","19","South America","Brazil","Bahia","Jequié","Serra do Castanhão, 14.5 km S of Jequié on BR 116 to paved road (at Churrascaria Corujao); then 7.3 km W of BR 116","-40.191133","-13.942033","775","775","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=119339' target='other'> <mi>dwc_moreinfo</mi></a>","NY00684609","NY00684609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01806800","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Solanum","santosii","Solanum santosii","S.Knapp","M. H. Nee","A. M. Amorim","6730","2007","01","20","South America","Brazil","Bahia","Arataca","Serra do Peito-de-Moça. Estrada que liga Arataca a Una, ramal ca. 22,4 km de Arataca, com entrada no Assentamento Santo Antônio. RPPN Caminho das Pedras.","-39.3417","-15.1736","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2219375' target='other'> <mi>dwc_moreinfo</mi></a>","NY01806800","NY01806800_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
