"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus","class","verbatimLongitude","verbatimLatitude","previousCatalogNumber","sex","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","886281","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Yolanda","restrepioides","Yolanda restrepioides","Hoehne","F. C. Hoehne","F. C. Hoehne","2152","1918","07","02","South America","Brazil","São Paulo","Alto da Serra. Da mata da Estação Biologica.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015506' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886281","NY00886281_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 12:17:23-03","ESALQ","ESA","34219","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Brachionidium","restrepioides","Brachionidium restrepioides",NA,"Smidt, E.C.","Bertoncini, A.P. et al.","757.0","1996","11","13",NA,"Brasil","São Paulo",NA,NA,NA,"ESA034219","ESA034219","2000","07","07","Cunha","-44.9599990844727","-23.0699996948242","38855","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:41:19-03","MN","R","43889","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Yolanda","restrepioides","Yolanda restrepioides","Hoehne","Hoehne, F.C.","Dusén, P.K.H.",NA,"1904","03","19",NA,"Brasil","Paraná","Itaiacoca",NA,NA,NA,NA,NA,NA,NA,"Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-08 08:54:13-03","FURB","FURB","14852","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brachionidium","restrepioides","Brachionidium restrepioides","(Hoehne) Pabst","Mancinelli, WS","Mancinelli, W.S.","848","2009","03","06",NA,"Brasil","Santa Catarina","Pico Garuva.",NA,NA,"FURB02693","FURB02693","2009","03","06","Garuva","-48.8549995422363","-26.0266990661621","22441","auto","800","800",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-11 11:44:19-03","UFMG","BHCB","92248","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Brachionidium","restrepioides","Brachionidium restrepioides","(Hoehne) Pabst",NA,"Mota, RC da","2369","2005","01","05","Southern America","Brasil","Minas Gerais","Serra do Caraça",NA,"Planta coletada em mata nebular; terrestre; pétalas e sépalas rosa-pálidas, labelo vináceo.",NA,NA,NA,NA,NA,"Catas Altas","-43.4075012207031","-20.0746994018555","11966","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-11 11:44:19-03","UFMG","BHCB","52831","PreservedSpecimen","Plantae","Monocotyledon",NA,"Orchidaceae","Brachionidium","restrepioides","Brachionidium restrepioides","(Hoehne) Pabst",NA,"Vasconcelos, MF de","s.n.","1999","12","20","Southern America","Brasil","Minas Gerais","Serra do Caraça, Pico do Inconfinado.",NA,"terrestre; Mata nebular","BHCB001024","BHCB001024","2001","03","14","Catas Altas","-43.4075012207031","-20.0746994018555","11966","auto","2020","2020",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-11 17:20:53-03","UFPR","UPCB","70069","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brachionidium","restrepioides","Brachionidium restrepioides","(Hoehne) Pabst","Mancinelli, W.S.","Mancinelli, W.S.","1249","2010","07","09",NA,"Brasil","Santa Catarina","Pico Garuva",NA,"Epífita, flores translúcidas, ocorrente em Floresta Ombrófila Densa Montana..",NA,NA,"2010","07","09","Garuva","-48.8549995422363","-26.0266990661621","22441","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2009-12-03 14:09:00-02","MO","MOBOT","100232622","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brachionidium","restrepioides","Brachionidium restrepioides","(Hoehne) Pabst","C.a. Luer","F.C. Hoehne","Hoehne 2152","1920","12",NA,"South America","Brazil",NA,"Estacae Biologica de Alto da Serra S. Paule, Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 18:29:06-03","USP","SPF","207686","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brachionidium","restrepioides","Brachionidium restrepioides","(Hoehne) Pabst","Handro, W","Hoehne, FC","s.n.","1918","06","11",NA,"Brasil","São Paulo","REBIO do Alto da Serra de Paranapiacaba, Antiga Estação Biológica do Alto da Serra.",NA,"Epiphyta entre musgos sobre tronco de árvores dos logares húmidos. Flor amarello-esverdeada.","SPF00207686",NA,NA,NA,NA,"Santo André","-46.5299987792969","-23.6599998474121","27258","auto",NA,NA,NA,"phototype",NA,NA,NA,NA,NA,NA
"10","2021-03-25 13:53:02-03","UNIVILLE","JOI","8815","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Brachionidium","restrepioides","Brachionidium restrepioides","(Hoehne) Pabst","Mancinelli, W. S.","Mancinelli, W.S.","848","2009","03","06",NA,"Brasil","Santa Catarina","Rio Garuva.",NA,"Crescendo exclusivamente sobre musgos; HABITO: Epífita; TIPO VEGETACIONAL: Floresta Ombrófila Densa Montana","JOI008815",NA,"2009","03","06","Garuva","-48.8549995422363","-26.0266990661621","22441","auto","800","800",NA,NA,NA,NA,NA,NA,NA,NA
