"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","580012","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","oxyphylla","Eugenia oxyphylla","O.Berg","C. M. D. E. Legrand","R. Reitz","5578","1957","11","06","South America","Brazil","Santa Catarina","Joinville","Estrada Dona Francisca, Joinville.","-48.8456","-26.3044","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=191302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00580012","NY00580012_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00906779","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","rostrata","Eugenia rostrata","O.Berg","M. Sobral","M. M. M. Lopes","810","2006","06","06","South America","Brazil","Bahia","Camacan","RPPN Serra Bonita, 9,7 km W de Camacá na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel. Trilha do mirante, até a Torre","-39.55","-15.38","850","850","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=982589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00906779","NY00906779_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","557610","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","rostrata","Eugenia rostrata","Berg","M. Sobral","S. A. Mori","12996","1979","11","10","South America","Brazil","Bahia","Ilhéus","Estrada entre Sururú e Vila Brasil, a 6-14 km de Sururú. A 12-20 km ao Se de Buerarema","-39.0492","-14.7892","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557610","NY00557610_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","557900","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","rostrata","Eugenia rostrata","O.Berg","M. Sobral","S. A. Mori","11031","1978","10","29","South America","Brazil","Bahia","Una","Km. 17 da estrada que liga a Rod. BR-101 (Sao José) à Rod. BA-215. Folha SE-24 (15-39c)","-39.2540887","-15.1469363",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479291' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557900","NY00557900_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","547734","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","rostrata","Eugenia rostrata","O.Berg","M. Sobral","W. W. Thomas","11773","1998","02","09","South America","Brazil","Bahia","Jussari","Serra do Teimoso, 7.5 km N of Jussari on road to Palmira, then 2 km W to Fazenda Teimoso, then 45 min. walk W to Reserva da Fazenda Teimoso, Transect Quadrat 2","-39.58","-15.17","300","450","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00547734","NY00547734_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","565224","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","rostrata","Eugenia rostrata","O.Berg","M. Sobral","L. A. Mattos Silva","3620","1997","10","30","South America","Brazil","Bahia","Una","Fazenda Sao Rafael (antiga Fazenda Dendhevea). Ramal à esquerda, aproximadamente a 1 km da Séde, rumo ao Córrego do Tucum","-39.2481074","-15.2189248",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479684' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565224","NY00565224_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","557971","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","rostrata","Eugenia rostrata","O.Berg","M. Sobral","S. A. Mori","11877","1979","05","17","South America","Brazil","Bahia","Santa Cruz Cabrália","Estrada velha para Sta. Cruz de Cabrália, entre a Estaçao Ecologica Pau-brasil e Sta. Cruz de Cabrália. Cerca de 15 km a NW de Porto Seguro","-39.1332364","-16.3567685",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479307' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557971","NY00557971_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","557609","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","rostrata","Eugenia rostrata","Berg","C. M. D. E. Legrand","R. Reitz","5813","1957","12","21","South America","Brazil","Santa Catarina","Sao Francisco do Sul","Pôrto do Palmital, Garuva, Sao Francisco do Sul","-48.6381","-26.2433","10","10","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337439' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557609","NY00557609_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01840203","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","rostrata","Eugenia rostrata","O.Berg","M. Sobral","S. A. Mori","12869","1979","10","27","South America","Brazil","Bahia","Ilhéus","Estrada entre Sururú e Vila Brasil, a 6-14 km de Sururú. A 12-20 km ao SE de Buerarema","-39.0492","-14.7892","100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479332' target='other'> <mi>dwc_moreinfo</mi></a>","NY01840203","NY01840203_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","557934","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","rostrata","Eugenia rostrata","O.Berg","M. Sobral","S. A. Mori","10859","1978","10","19","South America","Brazil","Bahia","Santa Cruz Cabrália","Arredores da Est. Ecológica do Pau-brasil (Ca. 17 km a W de Porto Seguro), estrada velha de Santa Cruz da Cabralia, 4-6 km a E da sede da Estaçao. Folha SE-24 (16-39c)","-39.1441852","-16.3681257",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557934","NY00557934_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
