"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount","typeStatus","fieldNumber","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","594903","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","bunchosiifolia","Eugenia bunchosiifolia","Nied.","M. Sobral","G. G. Hatschbach","HH17524","1967","10","20","South America","Brazil","Paraná","Antonina","Cab. Rio do Cedro","-48.7117","-25.4286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479273' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594903","NY00594903_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1017324","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","santensis","Eugenia santensis","Kiaersk.","D. Martins","D. Martins","59","1982","12","01","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Alto da Boa Vista, Floresta da Tijuca, Estr. Major Acher, em frente à Gruta Paulo e Virgínia.","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1205925' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017324","NY01017324_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-10-19 09:39:00-02","NY","NYBG","885944","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","santensis","Eugenia santensis",NA,"F. F. Mazine","G. Martinelli","9575","1983","10","01","South America","Brazil","São Paulo","Ubatuba","Ubatumirim, Reserva Flroestal da CEESP.","-45.0697","-23.4303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1010633' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885944","NY00885944_01","5","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00981716","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Eugenia","santensis","Eugenia santensis","Kiaersk.","G. M. Barroso","R. C. Vieira","46","1980","09","24","South America","Brazil","Minas Gerais","Uberlândia","Fazenda do Glória, Uberlândia","-48.2769","-18.9186","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1100253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00981716","NY00981716_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-13 09:20:21-03","UFRJ","RFA","12355","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","brunoi","Eugenia brunoi","Mattos","M. Sobral","G.G. Hatschbach","17524","2012","10","20",NA,"Brasil","Paraná","Antonina","Cab. Rio do Cedro","-48.7118988037109","-25.4286003112793",NA,"Arvoreta 6 m de altura; flor alva. Margem das folhas onduladas","RFA46608",NA,"50","50","2012","38300","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:45:53-03","EAO","IAN","137547","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Myrtaceae","Eugenia","santensis","Eugenia santensis","Kiaersk.","Barroso, GM","Lanna Sobrinho, JP","1778","1968","10","02","Southern America","Brasil","Rio de Janeiro","Rio de Janeiro","Guanabara, Tijuca, Floresta, próximo do Açude Solidão.","-43.2075004577637","-22.9027996063232",NA,NA,"IAN137547",NA,NA,NA,"1970","57442","auto","04",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:14:28-03","ESALQ","ESA","11369","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","brunoi","Eugenia brunoi","Mattos","Sobral, M.","Souza, V.C. et al.","56.0","1988","07","23",NA,"Brasil","São Paulo","Peruíbe",NA,"-46.9900016784668","-24.3199996948242",NA,NA,"ESA011369","ESA011369",NA,NA,NA,"21922","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-04 11:14:28-03","ESALQ","ESA","52005","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","bunchosifolia","Eugenia bunchosifolia","Nied.",NA,"Lima, R.A.F.","436.0",NA,NA,NA,NA,"Brasil","São Paulo","Sete Barras","Parcela permanente - Parque Estadual de Carlos Botelho","-47.9199981689453","-24.3799991607666",NA,"em clareira","ESA052005","ESA052005","400","400",NA,"34059","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 10:56:23-03","ESALQ","ESA","141841","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Eugenia","bunchosifolia","Eugenia bunchosifolia","Nied.","Bunger, M.; Gomes, M.P.","T.B. Flores, P.E. Antonio, P.M.L.A. Santos, C.H. Almeida","2226.0","2015","11","28",NA,"Brasil","Rio de Janeiro","Paraty","Parque Nacional da Serra da Bocaina - Pedra da Macela - Transição entre campo de altitude e floresta - Beira da estrada.","-44.7131004333496","-23.2178001403809",NA,"Árvoreta ca. 3m de alt. Frutos imaturos verdes.","ESA141841",NA,NA,NA,"2016","34470","auto","07","18",NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:14:28-03","ESALQ","ESA","109460","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Eugenia","bunchosiifolia","Eugenia bunchosiifolia",NA,NA,"Duarte, A.R.","508.0",NA,NA,NA,NA,"Brasil","São Paulo","Sete Barras",NA,"-47.9199981689453","-24.3799991607666",NA,NA,"ESA109460","ESA109460",NA,NA,NA,"34059","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
