"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","relatedCatalogItem","infraspecificEpithet","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","442063","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","canescens","Sinningia canescens","(Mart.) H.E.Moore","G. G. Hatschbach","O. dos S. Ribas","897","1995","10","27","South America","Brazil","Paraná","Ponta Grossa","Buraco do Padre.","-50.1617","-25.095","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=348927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442063","NY00442063_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","442062","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","canescens","Sinningia canescens","(Mart.) H.E.Moore","S. M. Silva","D. J. Carriao","55","1995","10","21","South America","Brazil","Paraná","Jaguariaíva","Parque Estadual do Cerrado","-49.68","-24.23","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=348926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442062","NY00442062_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","442061","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Gesneriaceae","Sinningia","canescens","Sinningia canescens","(Mart.) H.E.Moore","L. E. Skog","P. K. H. Dusén","6873","1908","10","10","South America","Brazil","Paraná","Contenda","Serrinha","-49.5344","-25.6758","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=348925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00442061","NY00442061_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-02-08 11:09:02-03","UNESP-IBB","BOTU","31098","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","canescens","Sinningia canescens","(Mart.) Wiehler",NA,"Tozin, L.R.S.","12","2014","11","26",NA,"Brasil","São Paulo","Pardinho","Fazenda Águas de Janeiro","-48.345","-23.051111",NA,NA,"BOTU031098",NA,"48°20'42w","23°03'04s",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-12-04 15:25:17-03","PUCPR","HUCP","19070-B","S","Plantae","Eudicotiledonea",NA,"Gesneriaceae","Sinningia","canescens","Sinningia canescens","(Mart.) Wiehler.","Selusniaki, M","Selusniaki, M","1285","2007","06","30",NA,"Brasil","Paraná","Balsa Nova","Tamanduá, Torre dos Arcos.","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-12-04 15:25:17-03","PUCPR","HUCP","17676","S","Plantae","Eudicotiledonea",NA,"Gesneriaceae","Sinningia","canescens","Sinningia canescens","(Mart.) Wiehler.","Beltrami, L","Beltrami, L","069","2006","10","21",NA,"Brasil","Paraná","Balsa Nova",NA,"-49.6356010437012","-25.5839004516602",NA,NA,"HUCP00012166","HUCP00012166",NA,NA,"27346","auto","2006","10","29",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-11-26 18:08:27-03","CPAN-UFMS","COR","12594","PreservedSpecimen","Plantae",NA,NA,"Gesneriaceae","Sinningia","canescens","Sinningia canescens","(Mart.) Wiehler","G. Hatschbach","O.S. Ribas; J.A.N. Batista & P.R. Silva","3720","2001","10","28",NA,"Brasil","Paraná","Ponta Grossa","Rio São Jorge - Cachoeira do Sapeli.","-50.1618995666504","-25.0949993133545",NA,"Rupícula, nas fendas das formações areníticas, folhas subescentes e prateadas.; Com Flor: Vermelha com máculas punctiformes.",NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1826474","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Rechsteineria","canescens","Rechsteineria canescens","(Mart.) Kuntze",NA,"Kummrow R",NA,"1975","11","03","Southern America","Brazil",NA,NA,"Rod. do Café (mun. Palmeira) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1826474 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1826474","NL-WAG1826474",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:32:00-03","NBC","NL-BOTANY","WAG.1827053","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Sinningia","canescens","Sinningia canescens","(Mart.) Wiehler",NA,"Hatschbach GG",NA,"1970","07","21","Southern America","Brazil",NA,NA,"Rio de Turve (mun. Cerro Azul) Paraná.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1827053 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1827053","NL-WAG1827053",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:32:00-03","NBC","NL-BOTANY","L.2819328","PreservedSpecimen","Plantae",NA,"Lamiales","Gesneriaceae","Sinningia","canescens","Sinningia canescens","(Mart.) Wiehler",NA,"Hatschbach GG",NA,"1967","10","10","Southern America","Brazil",NA,NA,"Est. Paraná, Mun. Ponta Grossa, Passo do Pupo.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2819328 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2819328","NL-L2819328",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
