"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","locality","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","class","sex"
"1","2020-09-23 10:38:15-03","E","E","295054","PreservedSpecimen","Plantae","Compositae","Viguiera","linearifolia","Viguiera linearifolia","Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Rizzo, J.A.; Diaz Ferreira, H.","8","1988","04","07","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:303193","<a href=http://data.rbge.org.uk/herb/E00295054 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00295054",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","846300","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","A. F. M. Glaziou","21560",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846300","Magnoliophyta","Asterales","Chodat","Goiás","(Goyaz)","NY00846300_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","856001","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","R. R. Brooks","BRASPEX #8","1988","04","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930456' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856001","Magnoliophyta","Asterales","Chodat","Goiás","Morro Feio, 5 km N de Hidrolandia.","NY00856001_01","J. F. Pruski","Hidrolândia","-49.23","-16.9","950","950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","846298","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","J. H. Kirkbride Jr.","5210a","1983","04","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930426' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846298","Magnoliophyta","Asterales","Chodat","Distrito Federal","Perto da Represa Saia Velha,","NY00846298_01","H. Robinson","Brasília","-47.93","-16.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","856002","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","R. Kral","75797","1988","12","01","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856002","Magnoliophyta","Asterales","Chodat","Goiás","8 kms S. Teresina de Goiás","NY00856002_01","H. Robinson","Teresina de Goiás","-47.2644","-13.7767","1000","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","277971","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","E. Hassler","4959",NA,NA,NA,"South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=514624' target='other'> <mi>dwc_moreinfo</mi></a>","NY00277971","Magnoliophyta","Asterales","Chodat",NA,NA,"NY00277971_01",NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","856012","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","H. S. Irwin","15401","1966","04","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930523' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856012","Magnoliophyta","Asterales","Chodat","Distrito Federal","Near Côrrego Taquari, E. of Lagôa Paranoá","NY00856012_01","H. Robinson","Brasília","-47.82","-15.87","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","846299","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","A. F. M. Glaziou","21560","1896",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930429' target='other'> <mi>dwc_moreinfo</mi></a>","NY00846299","Magnoliophyta","Asterales","Chodat",NA,NA,"NY00846299_01","J. F. Pruski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","856011","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","H. S. Irwin","13390","1966","03","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930516' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856011","Magnoliophyta","Asterales","Chodat","Goiás","Serra dos Cristais, ca. 3 km E. of Cristalina.","NY00856011_01","J. F. Pruski","Cristalina","-48","-17","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","856014","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","H. S. Irwin","13564","1966","03","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930532' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856014","Magnoliophyta","Asterales","Chodat","Goiás","Serra dos Cristais, ca. 3 km E. of Cristalina.","NY00856014_01","H. Robinson","Cristalina","-48","-17","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:35:18-03","EAO","IAN","34760","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Hassler, E","7959",NA,NA,NA,NA,"Paraguai",NA,NA,NA,"IAN034760","Dicotiledônea",NA,"Chodat & Hassl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:02:45-03","ESALQ","ESA","113164","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Bombo, A.B.","62.0","2010","10","30",NA,"Brasil",NA,NA,NA,"ESA113164","Magnoliophyta",NA,NA,"Mato Grosso do Sul",NA,"ESA113164",NA,"Ponta Porã","-55.7256011962891","-22.5361003875732",NA,NA,NA,"102608","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:02:45-03","ESALQ","ESA","113166","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Bombo, A.B.","61.0","2010","10","30",NA,"Brasil",NA,NA,NA,"ESA113166","Magnoliophyta",NA,NA,"Mato Grosso do Sul",NA,"ESA113166",NA,"Ponta Porã","-55.7256011962891","-22.5361003875732",NA,NA,NA,"102608","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:02:45-03","ESALQ","ESA","113165","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","Bombo, A.B.","60.0","2010","10","30",NA,"Brasil",NA,NA,NA,"ESA113165","Magnoliophyta",NA,NA,"Mato Grosso do Sul",NA,"ESA113165",NA,"Ponta Porã","-55.7256011962891","-22.5361003875732",NA,NA,NA,"102608","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0040720","PreservedSpecimen","Plantae","Asteraceae","Viguiera","linearifolia","Viguiera linearifolia","G. Hatschbach; M. Hatschbach, V. Nicolack","53753","1990","2","10",NA,"Brazil",NA,NA,NA,NA,"Magnoliophyta","Asterales","Chodat","Goias","Estr. p/ Salto do Arrojado (Mun. Cristalina).",NA,"G. Hatschbach",NA,"-47.606903","-16.768171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
