"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","country","stateProvince","individualCount","occurrenceRemarks","identifiedBy","year","month","day","continentOcean","county","locality","decimalLongitude","decimalLatitude","preparationType","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber"
"1","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","1040","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Dieffenbachia","aglaonematifolia","Dieffenbachia aglaonematifolia","Engl.","Eduardo G. Gonçalves;","EGG1024","Brasil","Góias","2","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","495383","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Dieffenbachia","aglaonematifolia","Dieffenbachia aglaonematifolia","Engl.","G. G. Hatschbach","40596","Brazil","Paraná",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510674' target='other'> <mi>dwc_moreinfo</mi></a>","S. J. Mayo","1977","12","12","South America","Guairá","7 Quedas","-54.2556","-24.08","sheet","NY00495383",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","873062","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Dieffenbachia","aglaonematifolia","Dieffenbachia aglaonematifolia","Engl.","T. C. Plowman","8387","Brazil","Tocantins",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=951485' target='other'> <mi>dwc_moreinfo</mi></a>","T. B. Croat","1980","02","04","South America","Presidente Kennedy","Road from highway BR-153 to Itaporã, 12 km. west of village of Presidente Kennedy. Fazenda Primavera along Ribeirão Feínho.","-48.6008","-8.5006","sheet","NY00873062","400","500","NY00873062_01 NY00873062_02",NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-21 18:44:00-02","NY","NYBG","497994","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Alismatales","Araceae","Dieffenbachia","aglaonematifolia","Dieffenbachia aglaonematifolia",NA,"E. R. Guaglianone","3022","Argentina","Misiones",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=510675' target='other'> <mi>dwc_moreinfo</mi></a>","E. R. Guaglianone","1995","11","23","South America","San Ignacio","Parque Prov. Teyú Cuaré, Peñon de la Sierra Victoria","-55.58","-27.27","sheet","NY00497994","120","120",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-02-08 11:07:10-03","UNESP-IBB","BOTU","22881","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Dieffenbachia","aglaonematifolia","Dieffenbachia aglaonematifolia","Engl.","Amaral Jr., A.","407","Brasil","São Paulo",NA,"Herbácea.",NA,"1999","04","13",NA,"Panorama",NA,"-51.951917","-21.53",NA,"BOTU022881",NA,NA,NA,"51°57'06.9w","21°31'48s",NA,NA,NA,NA,NA,NA
"6","2019-09-10 21:42:11-03","UNEMAT","TANG","5202","S","Plantae",NA,NA,NA,"Araceae","Dieffenbachia","aglaonematifolia","Dieffenbachia aglaonematifolia","Engl.","Engels, ME; Lautert, M","4048","Brasil","Mato Grosso",NA,NA,"Engels, ME","2015","11","20",NA,"Nova Canaã do Norte","Resgate de flora da UHE Colíder., Floresta do Planalto dos Parecis, região de ecótono entre a Floresta Amazônica e Cerrado. Lote C de supressão.","-55.729428","-10.999167",NA,"TANG000005202","264","264",NA,"-55.729428","-10.999167","2015","11","20",NA,NA,NA
"7","2021-03-30 12:51:17-03","EAO","IAN","178808a","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Dieffenbachia","aglaonematifolia","Dieffenbachia aglaonematifolia","Engl.","Silva, JBF da","1171","Brasil","Pará",NA,"Planta terrestre de 0,8 m de altura por 4 cm de diâmetro; velocidade exudato rápida, exsudação fina; flores verdes.","Croat, TB","2002","09","13","Southern America","Bragança","Localidade infarrusca, vegetação secundária, solo alagado.","-46.7655982971191","-1.05360996723175",NA,"IAN178808a",NA,NA,NA,NA,NA,"2011","08",NA,"56429","auto",NA
"8","2021-03-30 12:51:17-03","EAO","IAN","178808","PreservedSpecimen","Plantae","Monocotiledônea",NA,NA,"Araceae","Dieffenbachia","aglaonematifolia","Dieffenbachia aglaonematifolia","Engl.","Silva, JBF da","1171","Brasil","Pará",NA,"Planta terrestre de 0,8m de alt. por 4cm de diâm.; velocidade do exudato rápida, exsudação fina.; flores verdes.","Croat, TB","2002","09","13","Southern America","Bragança","Localidade infarrusca, vegetação secundária, solo alagado.","-46.7655982971191","-1.05360996723175",NA,"IAN178808",NA,NA,NA,NA,NA,"2011","08",NA,"56429","auto",NA
"9","2020-11-19 10:22:41-03","CPAP","CPAP","12022","PreserverdSpecimen","Plantae",NA,NA,NA,"Araceae","Dieffenbachia","aglaonematifolia","Dieffenbachia aglaonematifolia","Engl.","Pott, V. J.","2156","Brasil","MS",NA,"Erva 1m de altura. FLOR: não visto. FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Borda de caapão, próximo a vazante. SUBSTRATO: solo arenoso. RELEVO: plano. <ll>dwc_commonname:</ll> Banana-Do-",NA,"1993","10","01",NA,"Corumbá","Fazenda Campo Dora; Sub-região da Nhecolândia; Pantanal - próximo a vazante do Riozinho","-56.716667","-18.95",NA,NA,"90","90",NA,"56°43' W","18°57' S",NA,NA,NA,NA,NA,NA
"10","2020-11-19 10:22:41-03","CPAP","CPAP","5998","PreserverdSpecimen","Plantae",NA,NA,NA,"Araceae","Dieffenbachia","aglaonematifolia","Dieffenbachia aglaonematifolia","Engl.","Pott, A.","4684","Brasil","MS",NA,"Erva 06-13 m de altura, caule com látex verde e raízes adventícias. Caule 5cm diâmetro, com nós, decumbente, verde. Odor desagradável, sem sinal de herbivoria. FLOR: não vista. FRUTO: não visto. INTERESSE: Potencial ornamental.. FREQUÊNCIA: Abundante. AM",NA,"1989","03","20",NA,"Corumbá","Fazenda Campo Dora; Sub-região da Nhecolândia; Pantanal - Caapâo do Mamão","-56.716667","-18.916667",NA,NA,"90","90",NA,"56°43' W","18°55' S",NA,NA,NA,NA,NA,NA
