"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","imagecode","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:26-03","UNESC","CRI","13787","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","tricolor","Utricularia tricolor","A.St.-Hil.","Alexandre Medeiros","2018","06","07","Alexandre Medeiros","1019","2018","06","07","Brasil","Santa Catarina","Balneário Camboriú","Estaleirinho","-48.592778","-27.0525","48º35'34''W","27º3'9''S","Flor lilás Habitat: Terrestre Habito: Herbácea","CRI012398",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:37-03","UNESC","CRI","4972","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","tricolor","Utricularia tricolor","A.St.-Hil.","Albertina Brocca",NA,NA,NA,"Albertina Brocca",NA,"1996","11","06","Brasil","Santa Catarina","Içara","Balneário Rincão.","-49.300278","-28.713889","49º18'1''W","28º42'50''S","Habitat: solo arenoso, úmido e pobre em nutrientes Habito: herbácea","CRI003807","52","52","CRI003807",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:33:37-03","UNESC","CRI","7864","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","tricolor","Utricularia tricolor","A.St.-Hil.","Tais B. Guimarães","2005","10","19","Daniel B. Falkenberg; Tais B. Guimarães",NA,"2004","10","19","Brasil","Santa Catarina","Florianópolis",NA,"-48.467222","-27.510833","48º28'2''W","27º30'39''S",NA,"CRI003806",NA,NA,"CRI003806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:57-03","E","E","312921","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","tricolor","Utricularia tricolor",NA,NA,NA,NA,NA,"Laessoe, T.; Sano, P T","50888","1992","03","06","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00312921 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312921",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:315285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:57-03","E","E","259144","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","tricolor","Utricularia tricolor",NA,NA,NA,NA,NA,"Gardner, George","590","1905","01","10","BR","Rio de Janeiro",NA,"Organ Mountains",NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259144 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259144",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:266366","unspecified kind of",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:57-03","E","E","310858","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","tricolor","Utricularia tricolor",NA,NA,NA,NA,NA,"Hind, D.J.N.; Queiroz, R.F.",NA,"1992","01","22","BR","Bahia",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00310858 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00310858",NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:316834",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","778368","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","globulariifolia","Utricularia globulariifolia","Mart. ex Benj.","W. Koch",NA,NA,NA,"R. Reitz","5542","1954","02","05","Brazil","Santa Catarina","Palhoça","Campo do Massiambú","-48.62515","-27.834087",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793272' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778368","5","5","NY00778368_01","South America","sheet",NA,NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","778365","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","tricolor","Utricularia tricolor","A.St.-Hil.",NA,NA,NA,NA,"S. Halloy","4337","1995","08","09","Bolivia","Santa Cruz","José Miguel de Velasco","Campos de San Ramón. Yomomal al márgen del bosque alto y laguna Sicurí. Yomomo, borde del lago Sicurí","-61.35027778","-14.12",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=793256' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778365","230","230",NA,"South America","sheet",NA,NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","929730","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","tricolor","Utricularia tricolor","A.St.-Hil.","P. C. Baleeiro S.",NA,NA,NA,"E. P. Heringer","606","1978","08","22","Brazil","Distrito Federal","Brasília","RECOR- Picada R-2, Brasília","-47.9294","-15.7797",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929730",NA,NA,"NY00929730_01","South America","sheet",NA,NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3857896","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","tricolor","Utricularia tricolor","A.St.-Hil.",NA,NA,NA,NA,"B. Maguire","30139","1950","12","11","Venezuela","Amazonas",NA,"Cerro Huachamacari, Río Cunucunuma, southeast escarpment",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4136459' target='other'> <mi>dwc_moreinfo</mi></a>","NY03857896","1800",NA,NA,"South America","sheet",NA,NA,"Magnoliophyta","Lamiales",NA,NA,NA,NA,NA,NA,NA
