"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2020-09-23 10:41:18-03","E","E","197454","PreservedSpecimen","Plantae","Malpighiaceae","Pterandra","pyroidea","Pterandra pyroidea","Ratter, J.A.; Da Fonsêca, S.G. & Fonsêca Filho, J.","1976","08","09","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:203475","<a href=http://data.rbge.org.uk/herb/E00197454 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00197454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:18-03","E","E","197456","PreservedSpecimen","Plantae","Malpighiaceae","Pterandra","pyroidea","Pterandra pyroidea","Sellow, F.",NA,NA,NA,"E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:203478","<a href=http://data.rbge.org.uk/herb/E00197456 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00197456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:41:18-03","E","E","197455","PreservedSpecimen","Plantae","Malpighiaceae","Pterandra","pyroidea","Pterandra pyroidea","Ratter, J.A.","1976","08","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:203477","<a href=http://data.rbge.org.uk/herb/E00197455 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00197455",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1146602","PreservedSpecimen","Plantae","Malpighiaceae","Pterandra","pyroidea","Pterandra pyroidea","P. G. Delprete","2007","05","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1353186' target='other'> <mi>dwc_moreinfo</mi></a>","NY01146602","Magnoliophyta","Malpighiales","A.Juss.","P. G. Delprete","10120","Goiás","Aparecida de Goiânia","Serra das Areias. Serra das Areias. Trilha perto do córrego das Areias.","-49.3225","-16.8372","900","900","NY01146602_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00916368","PreservedSpecimen","Plantae","Malpighiaceae","Pterandra","pyroidea","Pterandra pyroidea","L. Riedel",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916368","Magnoliophyta","Malpighiales","A.Juss.","F. J. Niedenzu","633",NA,NA,NA,NA,NA,NA,NA,"NY00916368_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00916351","PreservedSpecimen","Plantae","Malpighiaceae","Pterandra","pyroidea","Pterandra pyroidea","W. R. Anderson","1973","04","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987356' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916351","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","8762","Minas Gerais",NA,"5 km by road NE of Rio Manso and Couto de Magalhães.","-43.3833","-18.03476","960","1000","NY00916351_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00916367","PreservedSpecimen","Plantae","Malpighiaceae","Pterandra","pyroidea","Pterandra pyroidea","P. Clausen","1840",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916367","Magnoliophyta","Malpighiales","A.Juss.","B. MacBryde","95A","Minas Gerais",NA,NA,NA,NA,NA,NA,"NY00916367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00916347","PreservedSpecimen","Plantae","Malpighiaceae","Pterandra","pyroidea","Pterandra pyroidea","R. S. Santos","1963","09","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987345' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916347","Magnoliophyta","Malpighiales","A.Juss.","C. E. Anderson","24193","Minas Gerais",NA,"Entre Patos de Minas e Pirapora.",NA,NA,NA,NA,"NY00916347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00916340","PreservedSpecimen","Plantae","Malpighiaceae","Pterandra","pyroidea","Pterandra pyroidea","H. S. Irwin","1965","09","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987296' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916340","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","8342","Distrito Federal","Brasília","Ca. 10 km E. of Brasília, near Rio Torto.","-47.87","-15.72","1000","1000","NY00916340_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00916338","PreservedSpecimen","Plantae","Malpighiaceae","Pterandra","pyroidea","Pterandra pyroidea","H. S. Irwin","1964","09","05","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=987292' target='other'> <mi>dwc_moreinfo</mi></a>","NY00916338","Magnoliophyta","Malpighiales","A.Juss.","W. R. Anderson","6032","Distrito Federal","Brasília","Ca. 35 km. S.W. of Brasília, rd. to Anápolis.","-48.23","-15.98","700","1000","NY00916338_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
