"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","221845","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Malvastrum","bullatum","Malvastrum bullatum","Ekman","isotype","P. K. H. Dusén","9331","1910","03","15","South America","Brazil","Paraná","Calmao","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=193916' target='other'> <mi>dwc_moreinfo</mi></a>","NY00221845","NY00221845_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-29 16:19:00-03","NY","NYBG","406955","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata",NA,NA,"L. B. Smith","9010","1956","12","21","South America","Brazil","Santa Catarina","Fazenda Carneiros, northeast of Caçador","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628988' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406955","NY00406955_01","L. B. Smith","Caçador","-51.0147","-26.7756","950","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","406957","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"G. G. Hatschbach","13751","1966","02","12","South America","Brazil","Paraná","Rio Lageado","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628987' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406957","NY00406957_01","S. J. Smith; L. B. Smith","General Carneiro","-51.3156","-26.4275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 16:19:00-03","NY","NYBG","406953","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata",NA,NA,"A. Krapovickas","43703","1990","12","22","South America","Brazil","Santa Catarina","Rio Castelhano","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628989' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406953","NY00406953_01",NA,"Caçador","-51.0147","-26.7756",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-30 13:35:00-03","NY","NYBG","02099762","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata",NA,NA,"A. Krapovickas","38373","1982","12","27","South America","Brazil","Santa Catarina",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2243975' target='other'> <mi>dwc_moreinfo</mi></a>","NY02099762","NY02099762_01",NA,"Urupema","-49.8731002807617","-27.9528007507324",NA,NA,"23096","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","406954","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"A. Krapovickas","42018","1988","01","14","South America","Brazil","Santa Catarina","Cerro Negro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406954",NA,NA,"Cerro Negro","-50.8756","-27.7956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","406956","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"G. G. Hatschbach","28345","1971","12","07","South America","Brazil","Paraná","Faxinal dos Souzas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=628986' target='other'> <mi>dwc_moreinfo</mi></a>","NY00406956","NY00406956_01","A. Krapovickas","General Carneiro","-51.3156","-26.4275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:12-03","UFRJ","RFA","14431","PreservedSpecimen","Plantae",NA,NA,"Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"G.G. Hatschbach","28345","1971","12","07",NA,"Brasil","Paraná","Faxianal dos Souzas",NA,"Arbusto de 1,25 m de altura; flor rosada, anteras amarelas","RFA45043",NA,"A. Krapovickas","General Carneiro","-51.315601348877","-26.4274997711182",NA,NA,"33284","auto","1975",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:59:32-03","NBC","NL-BOTANY","L.2364196","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"Hatschbach GG",NA,"1966","12","11","Southern America","Brazil",NA,"Uniã da Vitória- Paraná.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2364196 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2364196","NL-L2364196",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:59:32-03","NBC","NL-BOTANY","L.3916106","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"Krapovickas A; Schinini A",NA,"1982","12","27","Southern America","Brazil","Santa Catarina","Brasil, Santa Catarina, Mun. Lajes. 14km E de Painel, camino a Urupema.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3916106 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3916106","NL-L3916106",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:59:32-03","NBC","NL-BOTANY","U.1390104","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"Hatschbach GG; Lindeman JC; Haas JH de",NA,NA,NA,NA,"Southern America","Brazil",NA,"Brasiliae Australis, Est. Parana, Maeshy valley near Rio Lageado, mun. Gal, Carneiro.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1390104 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1390104","NL-U1390104",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:59:32-03","NBC","NL-BOTANY","WAG.1079229","PreservedSpecimen","Plantae",NA,"Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"Hatschbach GG; Haas H; Lindeman JC",NA,"1966","02","12","Southern America","Brazil",NA,"Parana. Mun. Gal. Carneiro. Rio Lageado.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1079229 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1079229","NL-WAG1079229",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"13","2019-08-27 13:30:54-03","IAP","PACA-AGP","8504","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"Rambo, B.",NA,"1942","01","13",NA,"Brasil","RS","Rio dos Touros",NA,"Habitat: In paludosis alte dumetosis Fenofase: estéril","PACA008504",NA,"Emrich-Rambo","Bom Jesus","-50.4166984558105","-28.6678009033203",NA,NA,"55856","auto","1954","Magnoliatae","08","22",NA,NA,NA,NA
"14","2019-08-27 13:30:54-03","IAP","PACA-AGP","8638","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"Rambo, B.",NA,"1942","01","14",NA,"Brasil","RS",NA,NA,"Habitat: In humidis dumetosis Fenofase: flor","PACA008638",NA,"A. Krapovickas","Bom Jesus","-50.4166984558105","-28.6678009033203",NA,NA,"55856","auto","1954","Magnoliatae","08","22",NA,NA,NA,NA
"15","2019-08-27 13:30:54-03","IAP","PACA-AGP","8515","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"Rambo, B.",NA,"1942","01","13",NA,"Brasil","RS","Rio dos Touros",NA,"Habitat: In paludosis alte dumetosis Fenofase: flor e fruto","PACA008515",NA,"Eemrich-Rambo","Bom Jesus","-50.4166984558105","-28.6678009033203",NA,NA,"55856","auto","1954","Magnoliatae","08","22",NA,NA,NA,NA
"16","2019-08-27 13:30:54-03","IAP","PACA-AGP","63653","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"Camargo, O. R.",NA,"1958","05","15",NA,"Brasil","RS",NA,NA,"Habitat: In paludosis dumetosis Fenofase: flor","PACA063653",NA,"Emrich-Rambo","Farroupilha","-51.3478012084961","-29.2250003814697",NA,NA,"19545","auto","1958","Magnoliatae","09","16",NA,NA,NA,NA
"17","2019-08-27 13:30:54-03","IAP","PACA-AGP","54540","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"Rambo, B.",NA,"1953","11","13",NA,"Brasil","RS","Taimbezinho",NA,"Habitat: In paludosis dumetosis Fenofase: flor","PACA054540",NA,"B. Rambo SJ","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"76715","auto","1954","Magnoliatae","08","22",NA,NA,NA,NA
"18","2019-08-27 13:30:54-03","IAP","PACA-AGP","84740","PreservedSpecimen","Plantae","Magnoliophyta","Malvales","Malvaceae","Monteiroa","bullata","Monteiroa bullata","(Ekman) Krapov.",NA,"Sehnem, A.",NA,"1950","12","19",NA,"Brasil","RS","Taimbezinho",NA,"Assl 5157 Habitat: ad rivum","PACA084740",NA,"B. Rambo","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"76715","auto",NA,"Magnoliatae",NA,NA,NA,NA,NA,NA
