"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","continentOcean","preparationType","previousCatalogNumber","occurrenceRemarks","phylum","order","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","typeStatus","infraspecificEpithet","individualCount","fieldNumber"
"1","2021-04-05 14:34:11-03","UNESC","CRI","3861","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","J. A. Jarenkow","1988","05","24","J. A. Jarenkow; J. L. Warchter","1988","04","24","Brasil","Rio Grande do Sul","Santa Vitória do Palmar","-53.359167","-33.518333","53º21'33''W","33º31'6''S","CRI008726","CRI008726",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:34:11-03","UNESC","CRI","3666","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","R. Záchia",NA,NA,NA,"R. Záchia; J. L. Reck","1993","10","03","Brasil","Rio Grande do Sul","São Borja","-56.004722","-28.661111","56º0'17''W","28º39'40''S","CRI007301","CRI007301","1457","Mata ciliar do rio Butuí.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:43:26-03","E","E","277727","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia",NA,NA,NA,NA,NA,"Christison, David (Dr.)",NA,NA,NA,"UY","Departamento de Montevideo","Guayabo",NA,NA,NA,NA,"E00277727",NA,NA,"St. Jorge","Temperate South America","herbarium specimen of unspecif","BGBASE:327269","<a href=http://data.rbge.org.uk/herb/E00277727 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:43:26-03","E","E","277728","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia",NA,NA,NA,NA,NA,"Lorentz, P.G.",NA,NA,NA,"AR",NA,NA,NA,NA,NA,NA,"E00277728",NA,NA,"oncepcion del Uruguay","Temperate South America","herbarium specimen of unspecif","BGBASE:327268","<a href=http://data.rbge.org.uk/herb/E00277728 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","375546","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","R. Reitz",NA,NA,NA,"R. Reitz","1962","12","21","Brazil","Santa Catarina","Campos Novos","-51.2247","-27.4019",NA,NA,"NY00375546","NY00375546_01","14396","Tupitinga","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209032' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales","800","800",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","375547","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","G. G. Hatschbach",NA,NA,NA,"J. M. Silva","1997","10","17","Brazil","Paraná","Três Barras do Paraná","-53.1806","-25.4192",NA,NA,"NY00375547","NY00375547_01","2141","Canion do Rio Guarani","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209040' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","375710","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","T. D. Pennington",NA,NA,NA,"N. Dubugnon","1956","12","31","Uruguay","Colonia",NA,NA,NA,NA,NA,"NY00375710",NA,"214","Loc. Colonia Valdense","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209041' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-28 16:26:00-03","NY","NYBG","375709","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia",NA,NA,NA,NA,NA,"S. A. Renvoize","1978","10","14","Argentina","Misiones",NA,NA,NA,NA,NA,"NY00375709",NA,"3094","Apostoles. San Jose, Escuela Agrotecnico Don Bosco","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209044' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales","200","200",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","375704","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.","T. D. Pennington",NA,NA,NA,"P. K. H. Dusén","1911","06","01","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"NY00375704","NY00375704_01",NA,"Rio Uruguay. illegible.","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209031' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","375711","PreservedSpecimen","Plantae","Sapotaceae","Pouteria","salicifolia","Pouteria salicifolia","(Spreng.) Radlk.",NA,NA,NA,NA,"P. K. H. Dusén","1916","11","23","Brazil","Santa Catarina","Concórdia","-52.0278","-27.2344",NA,NA,"NY00375711","NY00375711_01","17732","Rio Uruguay, ad ripians flum. Rio do Peixe","South America","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209042' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Ericales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
