"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","year","month","day","recordNumber","phylum","order","scientificNameAuthorship","locality","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","maximumElevationInMeters","minimumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2020-09-23 10:40:11-03","E","E","276312","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","Scouler, Dr.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:286838","<a href=http://data.rbge.org.uk/herb/E00276312 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00276312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:11-03","E","E","276311","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","Gomes, A","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:286837","<a href=http://data.rbge.org.uk/herb/E00276311 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00276311","1905","01","09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:11-03","E","E","276313","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","Spruce, Richard","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:286835","<a href=http://data.rbge.org.uk/herb/E00276313 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00276313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:11-03","E","E","276310","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","Plowman, T., Rosa, N.A., Rosario, C.S. & Dos Santos, M.R.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:286839","<a href=http://data.rbge.org.uk/herb/E00276310 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00276310","1980","01","24","8060",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:11-03","E","E","276309","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","Spruce, Richard","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:286840","<a href=http://data.rbge.org.uk/herb/E00276309 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00276309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00896966","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","H. L. de M. Barreto","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=969839' target='other'> <mi>dwc_moreinfo</mi></a>","NY00896966","1936","07","05","17689","Magnoliophyta","Malpighiales","Mart.","Bemfica - Repreza.","NY00896966_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2017-05-17 10:21:00-03","NY","NYBG","02681757","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","S. J. da Silva Neto","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2943107' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681757","1997","08","26","944","Magnoliophyta","Malpighiales",NA,"Trilha do Sangradouro. Reserva da Petrobras","NY02681757_01","Rio de Janeiro","Duque de Caxias","-43.266667","-22.55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1018151","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","S. de V. A. Pessôa","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249472' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018151","1995","09","14","839","Magnoliophyta","Malpighiales","Mart.","Reserva Biológica de Poço das Antas, Encosta do morro do rio Preto.","NY01018151_01","Rio de Janeiro","Silva Jardim","-42.3917","-22.6508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02233726","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","J. M. Pires","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2787137' target='other'> <mi>dwc_moreinfo</mi></a>","NY02233726","1961","09",NA,"51930","Magnoliophyta","Malpighiales","Mart.","Vicinity of Belem","NY02233726_01","Pará",NA,"-48.48","-1.45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2233737","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","N. A. Rosa","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2396528' target='other'> <mi>dwc_moreinfo</mi></a>","NY02233737","1977","04","07","1754","Magnoliophyta","Malpighiales","Mart.","Embrapa, margem da estrada do 15.","NY02233737_01","Pará","Belém","-48.4447503","-1.4380977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","2233707","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","R. Spruce","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2396513' target='other'> <mi>dwc_moreinfo</mi></a>","NY02233707","1849","09",NA,"254","Magnoliophyta","Malpighiales","Mart.","Tanaii, ad Rio Acara","NY02233707_01","Pará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","390440","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","H. A. Weddell","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578237' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390440","1844",NA,NA,"761","Magnoliophyta","Malpighiales","Mart.","Serra d'Estrellas","NY00390440_01","Rio de Janeiro","Petrópolis","-43.1783","-22.505","H. O. Sleumer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","390447","PreservedSpecimen","Plantae","Lacistemataceae","Lacistema","pubescens","Lacistema pubescens","R. M. Harley","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=578246' target='other'> <mi>dwc_moreinfo</mi></a>","NY00390447","1977","01","23","18202","Magnoliophyta","Malpighiales","Mart.","20 km North along road from Una to Ilhéus,","NY00390447_01","Bahia",NA,"-39.03","-15.18","H. O. Sleumer","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
