"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","county","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00982199","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","A. Rapini","H. S. Irwin","20260","1968","02","16","South America","Brazil","Minas Gerais","Serra do Cipó, ca. km 132, (ca. 153km N. of Belo Horizonte).","-43.68","-18.57","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982199","NY00982199_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00982198","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","A. Rapini","W. R. Anderson","36111","1972","02","17","South America","Brazil","Minas Gerais","Serra do Espinhaço, Serra do Cipó","-43.565347","-19.391335","1200","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102401' target='other'> <mi>dwc_moreinfo</mi></a>","NY00982198","NY00982198_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:34:22-03","EAO","IAN","107725","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asclepiadaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","Rapini, A","Magalhães, MG","16947","1958","07",NA,"Southern America","Brasil","Minas Gerais","Nas pedras.",NA,NA,NA,NA,NA,"Trepadeira, flor alva, frutos.","IAN107725",NA,"2007","05","21","Serra do Cipó",NA,NA,NA,NA,NA,NA
"4","2021-03-30 12:34:22-03","EAO","IAN","107725","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asclepiadaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","Rapini, A","Magalhães, MG","16947","1958","07",NA,"Southern America","Brasil","Minas Gerais","Nas pedras.",NA,NA,NA,NA,NA,"Trepadeira, flor alva, frutos.","IAN107725",NA,"2007","05","21","Serra do Cipó",NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:34:22-03","EAO","IAN","107725","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asclepiadaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","Rapini, A","Magalhães, MG","16947","1958","07",NA,"Southern America","Brasil","Minas Gerais","Nas pedras.",NA,NA,NA,NA,NA,"Trepadeira, flor alva, frutos.","IAN107725",NA,"2007","05","21","Serra do Cipó",NA,NA,NA,NA,NA,NA
"6","2021-01-15 14:41:35-03","MN","R","129017","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","Rapini, A.","Vidal, J.","II - 6002","1953","02",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,"1300","1300",NA,NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-01-15 14:41:35-03","MN","R","129019","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","Rapini, A.","Vidal, J.","II - 6047","1953","02",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,"1300","1300",NA,NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:12:27-03","MBM","MBM","25101","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","Rapini, A.","Hatschbach, G.; et al.; et al.","31597","1973","02","14","Southern America","Brazil","Minas Gerais","Serra do Cipó, Fazenda Palácios","-43.7449989318848","-19.513599395752","1350","1350",NA,"Margens de córrego; Margens de córrego.","MBM025101","MBM025101","1999",NA,NA,"Jaboticatubas","HOLOTYPE","31264","auto",NA,NA,NA
"9","2020-12-21 16:12:27-03","MBM","MBM","20918","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","Rapini","Hatschbach, G.","28821","1972","01","18","Southern America","Brazil","Minas Gerais","Serra do Cipó, 25km N","-43.7449989318848","-19.513599395752",NA,NA,NA,"Volúvel, lacticífera, flor alvecente encostas rochosas de morro.","MBM020918","MBM020918","2009","01",NA,"Jaboticatubas",NA,"31264","auto",NA,NA,NA
"10","2020-12-11 11:31:45-03","UFMG","BHCB","75035","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis",NA,NA,"Mota, RC da; Viana, PL; Munhoz, ACD; Silva, CR","1600","2002","07","07","Southern America","Brasil","Minas Gerais","Parque Natural Municipal do Ribeirão do Campo.","-43.4249992370605","-19.0372009277344",NA,NA,NA,"Erva escandente, flores cremes.; Campo rupestre.",NA,NA,NA,NA,NA,"Conceição do Mato Dentro",NA,"60318","auto",NA,NA,NA
"11","2011-02-17 10:58:00-02","MO","MOBOT","2826270","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","A. Rapini","Howard S. Irwin|H. Maxwell|Dieter C. Wasshausen","Irwin 20260","1968","2","16","South America","Brazil",NA,"Serra do Cipo, minas Gerais, ca. km 132 (ca. 153km N. Of Belo Horizonte)",NA,NA,"1400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2009-10-21 07:13:00-02","MO","MOBOT","2826342","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","A. Rapini","William R. Anderson|M.T. Stieber|Joseph H. Kirkbride, Jr.","Anderson 36111","1972","2","17","South America","Brazil","Minas Gerais","Serra do Cipo, forest along stream, adjacent rocky and grassy hillsides, and grassy capo on top of hills; sandy soil with sandstone",NA,NA,"1200.00000000","1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-08-31 08:55:18-03","INPA","INPA","88367","S","Plantae","Dicotyledon Asterids","Gentianales","Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","Rapini, A","Hatschbach, GG","28821","1972","01","18","Southern America","Brasil","Minas Gerais","Serra do Cipó, 25 Km ao Norte","-43.7449989318848","-19.513599395752",NA,NA,NA,NA,"INPA0088367","INPA0088367 INPA0088367_e INPA0088367_e1","2009","04",NA,"Jaboticatubas",NA,"31264","auto",NA,NA,NA
"14","2020-08-31 08:55:18-03","INPA","INPA","66083","S","Plantae","Dicotyledon Asterids","Gentianales","Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","Rapini, A","Anderson, WR","36111","1972","02","17","Southern America","Brasil","Minas Gerais","Serra do Espinhaço. Serra do Cipó, forest along stream. adjacent rocky and grassy hillsides, and grassy campo on top of hills; sandy soil with sandstone.",NA,NA,"1200","1300",NA,NA,"INPA0066083","INPA0066083 INPA0066083_e INPA0066083_e1","2009","04",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 18:24:35-03","USP","SPF","128250","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","Rapini, A","Rapini, A","546","1998","03","02",NA,"Brasil","Minas Gerais","Serra da Carapina, (Serra Talhada). Norte da Serra do Cipó.","-43.716667","-18.883333","1200","1200",NA,"Trepadeira sobre árvores de uma pequena capoeirinha. Flores alvas.","SPF00128250","SPF00128250","1999",NA,NA,"Congonhas do Norte",NA,NA,NA,"-43.716667","-18.883333",NA
"16","2021-03-15 18:24:35-03","USP","SPF","144691","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","Rapini, A","Farinaccio, MA","436","2000","11","23",NA,"Brasil","Minas Gerais","Parque Nacional da Serra do Cipó, Bifurcação para o Morro do Pilar.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Planta volúvel, latescente em solo hidromórfico. Folhas discolores. Botões creme.","SPF00144691",NA,"2001","04",NA,"Santana do Riacho",NA,"26557","auto",NA,NA,NA
"17","2021-03-15 18:24:35-03","USP","SPF","135381","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Ditassa","cipoensis","Ditassa cipoensis","(Fontella) Rapini","Rapini, A","Rapini, A","827","1999","03","17",NA,"Brasil","Minas Gerais","Parque Nacional da Serra do Cipó, Cachoeira da Capivara.","-43.7144012451172","-19.1688995361328",NA,NA,NA,"Trepadeira. Flores alvo-esverdeadas.","SPF00135381",NA,"1999",NA,NA,"Santana do Riacho",NA,"26557","auto",NA,NA,NA
