"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","order","class","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2019-10-09 11:28:31-03","UFBA","ALCB","86742","PreservedSpecimen","Plantae","Monocotyledon","Orchidaceae","Brassia","arachnoidea","Brassia arachnoidea","Barb.Rodr.","Meneguzzo, TEC","2019","09","24","Ramos, C.H.A.; Santos, FC; Santos, CE; Ana Rita","286","2008","07","10","Southern America","Brasil","Bahia","Itacaré","Litoral Sul, Mata da antena.","-39.711111","-14.167222","-39.711111","-14.167222","Folhas longas de ca 15 cm. Flores amarelas pintalgadas de marrom.","ALCB009708","ALCB009708",NA,NA,NA,NA,NA,NA,NA
"2","2016-07-05 11:14:14-03","FFCLRP","LBMBP","50","S","Plantae",NA,"Orchidaceae","Brassia","arachnoidea","Brassia arachnoidea","Barb.Rodr.","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-08-31 09:19:26-03","INPA","INPA","286964","S","Plantae","Monocotyledon","Orchidaceae","Brassia","arachnoidea","Brassia arachnoidea","Barb.Rodr.","Klein, VP",NA,NA,NA,"Klein, VP","324","2019","07","04","Southern America","Brasil","Amazonas","Presidente Figueiredo","Trilha da Sussuarana, Campinarana Sussuarana","-2.455556","-2.455556","-2.455556","-2.455556",NA,"INPA0286964",NA,"Asparagales",NA,NA,NA,NA,NA,NA
"4","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","13759",NA,"Plantae",NA,"Orchidaceae","Brassia","arachnoidea","Brassia arachnoidea","Barb.Rodr.","L. Kollmann/19-10-2000",NA,NA,NA,"L. Kollmann; et al","3244","2000","10","19",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica de Santa Lúcia","-40.530278","-19.971389","40W31'49","19S58'17","Epífita, meia sombra, sépalas e pétalas verdes com manchas marrons na base, labelo verde com manchas marrons, calos amarelos com o ápice branco.","MBML013759","MBML013759",NA,NA,NA,NA,NA,NA,NA
"5","2020-07-10 09:48:11-03","MBML","MBML-HERBARIO","4287",NA,"Plantae",NA,"Orchidaceae","Brassia","arachnoidea","Brassia arachnoidea","Barb.Rodr.",NA,NA,NA,NA,"H. Q. Boudet Fernandes; et al",NA,"2000","02","04",NA,"Brasil","Espírito Santo","Santa Teresa","Museu de Biologia Mello Leitão, casa das Epífitas (orquidário)","-40.6","-19.936111","40W36'0","19S56'10","Doação do Sr. R.A.Kautsky, epífita cultivada em mata primária, culta in MBML.","MBML004287","MBML004287",NA,NA,NA,NA,NA,NA,NA
"6","2021-02-25 10:11:24-03","CVRD","CVRD","5021","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Brassia","arachnoidea","Brassia arachnoidea","Barb.Rodr.","Claudio Nicoletti Fraga","2002","01","24","Folli, D.A.","2384","1994","10","05","América do Sul","BRASIL","ES","Linhares","Erva epífita.","-40.0722007751465","-19.3910999298096",NA,NA,"<ll>dwc_commonname:</ll> Orquídea onça","CVRD005021",NA,"Asparagales","Liliopsida","48094","auto",NA,NA,NA
"7","2021-02-25 10:11:24-03","CVRD","CVRD","4728","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Brassia","arachnoidea","Brassia arachnoidea","Barb.Rodr.","Claudio Nicoletti Fraga","2002","01","24","Folli, D.A.","2111","1993","12","07","América do Sul","BRASIL","ES","Linhares","Erva epífita.","-40.0722007751465","-19.3910999298096",NA,NA,"<ll>dwc_commonname:</ll> Orquídea onça","CVRD004728","CVRD004728","Asparagales","Liliopsida","48094","auto",NA,NA,NA
"8","2020-07-23 12:17:08-03","CEPLAC","CEPEC","134120","PreservedSpecimen","Plantae",NA,"Orchidaceae","Brassia","arachnoidea","Brassia arachnoidea",NA,"Sem Informação",NA,NA,NA,"M.M. Coelho","404","2011","09","04",NA,"Brasil","Bahia","ALMADINA","Serra do Corcovado, acesso pela Estação da EMBASA. Nova trilha próximo ao sítio do seu Domingos.","-39.603889","-14.7025","39W36'14","14S42'9","(Unicata).",NA,NA,NA,NA,NA,NA,"533","533",NA
"9","2020-07-23 12:17:08-03","CEPLAC","CEPEC","68113","PreservedSpecimen","Plantae",NA,"Orchidaceae","Brassia","arachnoidea","Brassia arachnoidea",NA,"D. N. Carvalho",NA,NA,NA,"W. W. Thomas","11017","1995","11","15",NA,"Brasil","Bahia","URUÇUCA","Distrito de Serra Grande. 7.3Km ao N de Serra Grande Rod. para Itacaré, Faz. Lagoa do Conj. Sta. Cruz.","-39.060556","-14.423333","39W3'38","14S25'24",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/05/2014"
"10","2020-07-23 12:17:08-03","CEPLAC","CEPEC","7459","PreservedSpecimen","Plantae",NA,"Orchidaceae","Brassia","arachnoidea","Brassia arachnoidea",NA,"R. Perdiz",NA,NA,NA,"R. S. Pinheiro","1508","1971","07","24",NA,"Brasil","Bahia","ILHÉUS","Banco Central. Rod. Faz. Guanabara.16631","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,NA,"61245","auto",NA,NA,"30/12/2007"
