"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","barcode","decimalLongitude","decimalLatitude","imagecode","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","3074","S","Plantae","Magnoliophyta","Poales","Poaceae","Raddiella","esenbeckii","Raddiella esenbeckii","(Steud.) C.E.Calderón & Soderstr.","Carlos A. Ferreira Jr.","2011","03","20","Carlos Alberto F. Jr.; Fernando Araújo e Willian Millikem","caf243","2011","03","20","Brasil","Minas Gerais","Santana do Pirapama","trilha da cachoeira do quartel","43°46.513'","18°58.515'","661","661","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:39:41-03","E","E","312556","PreservedSpecimen","Plantae",NA,NA,"Gramineae","Raddiella","esenbeckii","Raddiella esenbeckii",NA,NA,NA,NA,NA,"Stannard, B.; Ganev, W.; Queiroz, R.F.","51640","1992","02","27","BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00312556 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E. Tropical South America","herbarium specimen of unspecif","BGBASE:313518","E00312556",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","773376","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddiella","esenbeckii","Raddiella esenbeckii","(Steud.) C.E.Calderón & Soderstr.","G. Davidse",NA,NA,NA,"O. Huber","10710","1985","07",NA,"Brazil","Amazonas","Barcelos","Campina en la región alta del Río Jauarí (afluente del Río Aracá, llamado Río Cuieiras en los mapas RADAM), aprox. 15 Km al NW de la punta SW de la Serra Aracá",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132811' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY00773376","-63.33","0.82",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","866531","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddiella","esenbeckii","Raddiella esenbeckii","(Steud.) C.E.Calderón & Soderstr.","G. Davidse",NA,NA,NA,"L. Buscalioni","818","1899","08","24","Brazil","Pará",NA,"Rio Tocantins, nei Campos di Mocajuba.",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=967590' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY00866531",NA,NA,"NY00866531_01",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","773372","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddiella","esenbeckii","Raddiella esenbeckii","(Steud.) C.E.Calderón & Soderstr.","S. A. Renvoize",NA,NA,NA,"B. L. Stannard","H51640","1992","02","27","Brazil","Bahia","Abaíra","Barra",NA,NA,"1040","1040","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132815' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY00773372","-41.77","-13.3",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","773373","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddiella","esenbeckii","Raddiella esenbeckii","(Steud.) C.E.Calderón & Soderstr.",NA,NA,NA,NA,"R. M. Harley","15746","1974","01","31","Brazil","Bahia",NA,"16km. N. of Barra da Estiva on the Paraguacu road",NA,NA,"1150","1150","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132818' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY00773373","-41.33","-13.33",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02703316","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddiella","esenbeckii","Raddiella esenbeckii","(Steud.) C.E.Calderón & Soderstr.","R. P. de Oliveira",NA,NA,NA,"G. Pereira-Silva","15486","2010","06","24","Brazil","Rondônia","Porto Velho","Margem direita do rio Madeira.",NA,NA,"80",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3002143' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY02703316","-64.8469","-9.3889","NY02703316_01",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","773377","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddiella","esenbeckii","Raddiella esenbeckii","(Steud.) C.E.Calderón & Soderstr.","G. Davidse",NA,NA,NA,"E. L. Taylor","E1240","1983","04","14","Brazil","Maranhão","Carolina","Transamazonian Highway, BR230 and BR010; Pedra Caida, 35 km. N of Carolina. Edge of Rio Pedra Caida",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132817' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY00773377","-47.42","-7.13",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","773371","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddiella","esenbeckii","Raddiella esenbeckii","(Steud.) C.E.Calderón & Soderstr.","S. A. Renvoize",NA,NA,NA,"B. L. Stannard","H51640","1992","02","27","Brazil","Bahia","Abaíra","Barra",NA,NA,"1040","1040","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132814' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY00773371","-41.77","-13.3",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","773375","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Raddiella","esenbeckii","Raddiella esenbeckii","(Steud.) C.E.Calderón & Soderstr.","T. R. Soderstrom",NA,NA,NA,"M. A. Chase","10290","1929","12","23","Brazil","Minas Gerais",NA,"Metallurgica, Serra de Ouro Branco",NA,NA,"1250","1600","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132816' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"NY00773375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
