"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","locality","coordinatePrecision","occurrenceRemarks","geoFlag","yearIdentified","monthIdentified","dayIdentified","continentOcean","minimumElevationInMeters","maximumElevationInMeters","imagecode","phylum","order","individualCount","fieldNumber"
"1","2019-09-10 21:43:52-03","UNEMAT","TANG","3038","S","Plantae","Orchidaceae","Trichocentrum","albococcineum","Trichocentrum albococcineum","Linden","Koch, AK","Silva, CA","568","2016","04","25","Brasil","Mato Grosso","Colider","-55.780833","-10.96","-55.780833","-10.96","TANG000003038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:19-03","MN","R","3124","PreservedSpecimen","Plantae","Orchidaceae","Trichocentrum","ionopthalmum","Trichocentrum ionopthalmum","Rchb. f.","Hoehne, F.C.","Hoehne, F.C.","1435","1909","03",NA,"Brasil","Mato Grosso","Barra do Bugres","-57.1810989379883","-15.0725002288818",NA,NA,NA,"Tapirapoan","173387","Comissão Rondon","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:38:53-03","MBM","MBM","417182","PreservedSpecimen","Plantae","Orchidaceae","Trichocentrum","albococcineum","Trichocentrum albococcineum","Linden","Engels, M.E.","Engels, M.E.; Silva, L.S.; Freitas, J.A.O.; Silva, L.S.; Freitas, J.A.O.","5134","2017","03","27","Brazil","Mato Grosso","Colíder","-55.602222","-10.961111","-55.602222","-10.961111","MBM417182","Resgate da Flora da UHE Colíder",NA,"Epífita. Folhas verdes, carnosas. Flore com pétalas acastanhadas, labelo com região basala até o centro arroxeadas, e região central até ápice alva. UNICATA.; Floresta do Planalto dos Percís, região de ecótono entre Floresta Amazônic",NA,"2017","03","27","Southern America","276","276","MBM417182",NA,NA,NA,NA
"4","2020-10-01 14:26:14-03","JBB","HEPH","18751","S","Plantae","Orchidaceae","Trichocentrum","albo-coccineum","Trichocentrum albo-coccineum","Linden","Batista, JAN","Salles, AEH","2658","2003","02","12","Brasil","Goiás","Catalão","-47.9463996887207","-18.1658000946045",NA,NA,NA,"Fazenda Barra a 3km de Davinopolis","94621",NA,"auto",NA,NA,NA,"Southern America",NA,NA,NA,"Monocotyledon","Asparagales",NA,NA
"5","2013-08-23 04:12:00-03","MO","MOBOT","100339928","PreservedSpecimen","Plantae","Orchidaceae","Trichocentrum","albococcineum","Trichocentrum albococcineum","Linden","R. Vásquez","Roberto Vásquez|L.R. Moreno|Darwin Ric","Vásquez C. 1480",NA,NA,NA,"Bolivia","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,"1",NA
"6","2009-07-13 12:30:00-03","MO","MOBOT","1966632","PreservedSpecimen","Plantae","Orchidaceae","Trichocentrum","albococcineum","Trichocentrum albococcineum","Linden",NA,"Felix Woytkowski","Woytkowski 5707","1960","4","19","Peru","Cajamarca",NA,NA,NA,NA,NA,NA,"Santa Rosa.",NA,NA,NA,NA,NA,NA,"South America","1200.00000000",NA,NA,NA,NA,NA,NA
"7","2009-07-17 07:31:00-03","MO","MOBOT","1995939","PreservedSpecimen","Plantae","Orchidaceae","Trichocentrum","albococcineum","Trichocentrum albococcineum","Linden",NA,"Paul C. Hutchison","Hutchison 1536","1957","10","2","Peru","Amazonas","Bagua",NA,NA,NA,NA,NA,"Between Campomiento Santa Rosa (km 247) and Quebrada Amajao (km 250), canyon of the Río Marañon, below Milagro on the Mesones-Muro Highway.",NA,NA,NA,NA,NA,NA,"South America","400.00000000",NA,NA,NA,NA,NA,"16"
"8","2020-08-31 09:19:51-03","INPA","INPA","6469","S","Plantae","Orchidaceae","Trichocentrum","albococcineum","Trichocentrum albococcineum","Linden","Braga, PIS","Ferreira, E","58-266","1958","04","21","Brasil","Amazonas","Codajás","-62.054167","-3.823056","-62.054167","-3.823056","INPA0006469","Laguinho, Laguinho, Codajás.",NA,NA,NA,"1981",NA,NA,"Southern America","21","21","INPA0006469 INPA0006469_e INPA0006469_e1","Monocotyledon","Asparagales",NA,NA
"9","2021-01-10 20:51:59-03","INPA","INPA","77749","S","Plantae","Orchidaceae","Trichocentrum","albococcineum","Trichocentrum albococcineum","Linden","Pabst, GFJ","Sem Coletor","INPA77749","1968","08","14","Brasil","Amazonas",NA,NA,NA,NA,NA,"INPA0077749","Sem informações, Material sem local exato de coleta.",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,"INPA0077749 INPA0077749_e","Monocotyledon","Asparagales",NA,NA
"10","2019-11-01 15:15:33-03","UnB","UB","200374","PreservedSpecimen","Plantae","Orchidaceae","Trichocentrum","albo-coccineum","Trichocentrum albo-coccineum","Linden",NA,"Lima, JH","55","2014","02","04","Brasil","Distrito Federal","Planaltina","-47.654722","-15.5875","-47.654722","-15.5875","UB0019880","Estação Ecológica de Águas Emendadas",NA,"Epífita vegetando 1,5m do solo sobre Cordiera macrophylla. Apenas uma touceira no local. Flores brancas com duas faixas laterais cocineas até metade do labelo. Odor suave.&nf;Floresceu em cultivo em 12/II/2014; Mata de galeria",NA,NA,NA,NA,"Southern America",NA,NA,"UB0019880","Monocotyledonae",NA,NA,NA
