"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","individualCount","class","typeStatus","relatedCatalogItem","infraspecificEpithet"
"1","2021-03-15 16:37:00-03","NY","NYBG","447875","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","bracteosa","Cupania bracteosa","Radlk.","G. T. Prance","R. P. Belém","1707","1965","09","08","South America","Brazil","Bahia","Canavieiras","Margem da Rodovia Camacan-Canavieiras, 32 km W de Canavieiras.","-39.1821063","-15.5102013","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447875","NY00447875_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","447876","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","bracteosa","Cupania bracteosa","Radlk.","M. S. Ferrucci","J. G. Jardim","14","1993","01","07","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una.","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=221062' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447876","NY00447876_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-30 12:48:51-03","EAO","IAN","5306","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Cupania","bracteosa","Cupania bracteosa","Radlk.",NA,"Martins-da-Silva, RCV","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN005306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:24:32-03","UFBA","ALCB","02389","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","bracteosa","Cupania bracteosa","Radlk.","Perdiz, R","Torrend, Padre CSJ","s/n",NA,NA,NA,NA,"s/localidade",NA,NA,NA,NA,NA,NA,NA,"ALCB066640",NA,"2015","07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:24:32-03","UFBA","ALCB","026754","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","bracteosa","Cupania bracteosa","Radlk.","Ferrucci, MS; Perdiz, R","Guedes, ML","3655","1994","08","26","Southern America","Brasil","Bahia","Maurília",NA,NA,NA,NA,"ca. 4 m alt. Folhas com folíolos discolores. Inflorescência com tomentos ferrugíneos; flores com pétalas com o limbo ventral bipartido.","ALCB066687",NA,"2010","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:24:32-03","UFBA","ALCB","027520","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","bracteosa","Cupania bracteosa","Radlk.","Ferrucci, MS; Perdiz, R","Guedes, ML","s/n","1995","09","17","Southern America","Brasil","Bahia","São Sebastião do Passé","Recôncavo, Lamãrão do Passé, Faz. Nossa Senhora da Guia","-38.380833","-12.541111",NA,"ca. 3 m alt. Folhas discolores, coriáceas. Inflorescência em panícula com flores em botões marrons-esverdeado. Comum.","ALCB066685",NA,"2010","11","-38.380833","-12.541111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:24:32-03","UFBA","ALCB","133233","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","bracteosa","Cupania bracteosa","Radlk.","Gomes, FS","Gomes, FS","1708","2013","03","25","Southern America","Brasil","Bahia","Belmonte",NA,"-39.227778","-15.900833",NA,"Material Estéril. 187.3, parcela 04.","ALCB052836","ALCB052836","2013","12","-39.227778","-15.900833",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-25 16:51:33-03","UFBA","ALCB","98464","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","bracteosa","Cupania bracteosa","Radlk.","Perdiz, R","Guedes, ML; Silva, LB da; Oliveira, MAJ de; Silva, MS; Melo, IV de","17971","2011","02","08","Southern America","Brasil","Bahia","Elísio Medrado","Recôncavo Sul, Serra da Jibóia","-39.466667","-12.85",NA,"de ca 7 m de altura. Folíolos coriáceos, discolores. Frutos cápsulas, com indumento ferrugíneo.","ALCB066641",NA,"2015","07","-39.466667","-12.85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:24:32-03","UFBA","ALCB","029550","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","bracteosa","Cupania bracteosa","Radlk.","Ferrucci, MS; Perdiz, R","Guedes, ML; Santos, JA; Jesus, AM de; et al.","4590","1996","11","04","Southern America","Brasil","Bahia","Alagoinhas",NA,"-38.4192008972168","-12.1356000900269",NA,"Árvore: ca. de 5,0 m de altura. Frutos tementosos, imaturos de cor verde e maduros de cor laranja.","ALCB066688",NA,"2010",NA,NA,NA,"24621","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-10-09 11:24:32-03","UFBA","ALCB","048509","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","bracteosa","Cupania bracteosa","Radlk.","Ferrucci, MS; Perdiz, R","Fonseca, MR; Guedes, ML; Jesus, NG de; Nascimento, AFS; Ribeiro, T","1385","2000","05","09","Southern America","Brasil","Bahia","Esplanada",NA,"-37.9449996948242","-11.7960996627808",NA,"Arbusto 2,0m. Folíolos coriáceos, discolores. Frutos cápsulas imaturos vermelhos, maduros marrons.","ALCB066654",NA,"2010",NA,NA,NA,"51913","auto",NA,NA,NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:24:32-03","UFBA","ALCB","024634","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","bracteosa","Cupania bracteosa","Radlk.","Ferrucci, MS; Perdiz, R","Orlandi, RP","139","1978","02","15","Southern America","Brasil","Bahia","Esplanada",NA,"-37.9449996948242","-11.7960996627808",NA,"Arbusto de 1,50 a 2,0 m, frutos vermelhos, folhas coriáceas rugosas.",NA,NA,"2010",NA,NA,NA,"51913","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-09 11:24:32-03","UFBA","ALCB","19428","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Cupania","bracteosa","Cupania bracteosa","Radlk.","Ferrucci, MS; Perdiz, R","Gusmão, EF de","185","1975","08","31","Southern America","Brasil","Bahia","Itanagra",NA,"-38.0416984558105","-12.2630996704102",NA,NA,"ALCB066645",NA,"2010",NA,NA,NA,"20708","auto",NA,NA,NA,NA,NA,NA,NA,NA
