"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","year","month","continentOcean","country","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","recordNumber","day","stateProvince","county","coordinatePrecision","geoFlag","yearIdentified","infraspecificEpithet","class","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","228707","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","depauperata","Leandra depauperata","Cogn.","holotype","C. E. O. Kuntze","1892","12","South America","Brazil","Itatiaya","-44.581244","-22.382006","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=220397' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228707","NY00228707_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","478389","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","gardneriana","Leandra gardneriana","Cogn.",NA,"A. P. Duarte","1946","11","South America","Brazil","Km 416","-43.8064","-20.9536",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=29548' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478389","NY00478389_01","A. C. Brade","629","25","Minas Gerais","Carandaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","478390","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","gardneriana","Leandra gardneriana","Cogn.",NA,"G. F. J. Pabst","1958","12","South America","Brazil","Serra do Penitentes pr. Teresopolis, em borda de mata higrofila na Granja Comari","-42.9656","-22.4122",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=29549' target='other'> <mi>dwc_moreinfo</mi></a>","NY00478390","NY00478390_01","J. J. Wurdack","4644","07","Rio de Janeiro","Teresópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","228711","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","gardneriana","Leandra gardneriana","Cogn.","isosyntype","G. Gardner","1836",NA,"South America","Brazil","Brasilia",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=29550' target='other'> <mi>dwc_moreinfo</mi></a>","NY00228711","NY00228711_01",NA,"385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02098753","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","gardneriana","Leandra gardneriana","Cogn.",NA,"M. Reginato","2010","01","South America","Brazil","P. N. Serra dos Órgãos","-43.073169","-22.496706",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084715' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098753","NY02098753_01","M. Reginato","1108","18","Rio de Janeiro","Teresópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","558657","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","gardneriana","Leandra gardneriana","Cogn.",NA,"M. M. Arbo","1997","01","South America","Brazil","1 km W de Venda Nova do Imigrante, entrada a Alto Bananeiras, 5-7 km de la rodovia BR-262","-41.13","-20.3","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=537367' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558657","NY00558657_01","M. Reginato","7737","27","Espírito Santo","Conceiçao do Castelo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00908967","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","gardneriana","Leandra gardneriana","Cogn.",NA,"J. G. Kuhlmann","1934","11","South America","Brazil","ESA.","-42.860644","-20.766686",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=984035' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908967","NY00908967_01",NA,"1608","29","Minas Gerais","Viçosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02098770","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","gardneriana","Leandra gardneriana","Cogn.",NA,"M. Reginato","2010","01","South America","Brazil","Macaé de Cima, Estrada para o Sítio Sopronitis","-42.5311012268066","-22.2819004058838",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2084725' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098770","NY02098770_01","M. Reginato","1118","22","Rio de Janeiro","Nova Friburgo","33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","520828","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","xantholasia","Leandra xantholasia","(DC.) Cogn.",NA,"A. F. M. Glaziou",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244651' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520828","NY00520828_01",NA,"16838",NA,"Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","520827","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","xantholasia","Leandra xantholasia","(DC.) Cogn.",NA,"L. Riedel",NA,NA,"South America","Brazil","{From protologue: Ad Serra da Piedade]",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244650' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520827","NY00520827_01",NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
