"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","778051","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","hugellii","Begonia hugellii","A.DC.","E. de L. Jacques","I. Cordeiro","2268","2000","07","07","South America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Nucleo Caraguatatuba, Trilha dos Tucanos","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=152061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778051","NY00778051_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","778052","PreservedSpecimen","Plantae","Magnoliophyta","Cucurbitales","Begoniaceae","Begonia","hugellii","Begonia hugellii","A.DC.","E. de L. Jacques","I. Cordeiro","2268","2000","07","07","South America","Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar, Nucleo Caraguatatuba, Trilha dos Tucanos","-45.4097","-23.6203","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=152060' target='other'> <mi>dwc_moreinfo</mi></a>","NY00778052","NY00778052_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:29:25-03","UFRJ","RFA","24676","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.",NA,"F.Tatagiba; E.Gruzman,J.Soares e P.Rodin.","75","2000","09","07",NA,"Brasil","Rio de Janeiro","Nova Friburgo","Macaé de cima,beira de estrada de Macaé de Cima de 3 km do Hotel Garlip.","-42.5311012268066","-22.2819004058838",NA,"Erva ereta com ca. 1,0 metro de altura,folhas levemente descolores,pecíolos com escames marrons,folhas jovens com coloração avermelhadas na origem das nervuras principais.pedúnculo verde claro,flores brancas.","RFA34364",NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:19:07-03","UFRJ","RFA","25072","PreservedSpecimen","Plantae",NA,NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","(Klotzsch) A.DC.","E. de L. Jacques","A. Quinet","mai-28","2000","08","18",NA,"Brasil","Rio de Janeiro","Nova Friburgo","5º Distrito.","-42.284167","-22.39",NA,"Arbusto 2 m de altura. Flores alvas; Folhas verdes discoloes, comum no local","RFA33842",NA,NA,NA,"2001","05","11","42º17'3''W","22º23'24''S","600","600",NA,NA,NA,NA
"5","2021-04-08 17:37:18-03","EAO","IAN","34576","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Begoniaceae","Begonia","hugelii","Begonia hugelii","A.DC.",NA,"Berol, H","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,"IAN034576","IAN034576_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:59:05-03","NBC","NL-BOTANY","U.1144618","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.",NA,"Martinelli G; Simonis JE",NA,"1983","02","02","Southern America","Brazil",NA,NA,"Estado do Rio de Janeiro, Municipio de Teresópolis, Parque Nacional da Serra dos Orgaos, mata higrofila, Rio Beija-flor.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1144618 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1144618","NL-U1144618",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"7","2020-02-08 08:59:05-03","NBC","NL-BOTANY","U.1144619","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.",NA,"Altamiro; Walter T",NA,"1945","10","17","Southern America","Brazil",NA,NA,"Estado do Rio de Janeiro, Itatiaia Caminho do Rio Bonito.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1144619 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1144619","NL-U1144619",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"8","2020-02-08 08:59:05-03","NBC","NL-BOTANY","U.1144620","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.",NA,"Altamiro; Walter T",NA,"1945","10","17","Southern America","Brazil",NA,NA,"Estado do Rio de Janeiro, Itatiaia Caminho do Rio Bonito.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1144620 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1144620","NL-U1144620",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"9","2020-02-08 08:59:05-03","NBC","NL-BOTANY","U.1144621","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.",NA,"Altamiro; Walter T",NA,"1945","10","17","Southern America","Brazil",NA,NA,"Estado do Rio de Janeiro, Itatiaia Caminho do Rio Bonito.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1144621 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1144621","NL-U1144621",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"10","2020-02-08 08:59:05-03","NBC","NL-BOTANY","U.1144622","PreservedSpecimen","Plantae",NA,"Cucurbitales","Begoniaceae","Begonia","huegelii","Begonia huegelii","(Klotzsch) A.DC.",NA,"Pereira E",NA,"1944","05","01","Southern America","Brazil",NA,NA,"Estado do Rio de Janeiro, Serra dos Organos, Terezópolis.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1144622 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1144622","NL-U1144622",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
