"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","order","relatedCatalogItem"
"1","2021-03-01 16:27:13-03","UNICAMP","UEC","114978","S","Plantae","Magnoliopsida","Cactaceae","Micranthocereus","streckeri","Micranthocereus streckeri","Van Heek & Van Criek.","Aona, LYS","Aona, LYS; Belinello, R","741","2000","08","21","Brazil","Bahia","Seabra","BA 242, 21,5 km da cidade em direção a Ibotirama, afloramento rochoso.","-41.993333","-12.431111","-41.993333","-12.431111","1140","1190","1,2 m de altura, ramificado na base, aréola 5 -6 mm, cefálio aprofundado, espinhos dourados no cefálio, espinhos alongados na base, flor aberta às 10:00 h.","UEC041144","UEC041144",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-04 11:04:45-03","UFRB","HURB","16617","PreservedSpecimen","Plantae",NA,"Cactaceae","Micranthocereus","streckeri","Micranthocereus streckeri","Van Heek & Van Criek.",NA,"Mendes, D.B.","112","2016","12","22","Brasil","Bahia","Seabra",NA,"-41.994806","-12.427056","41º59'41,3W","12º25'37,4S","1200","1200",NA,"HURB000016617","HURB000016617",NA,NA,NA,NA,NA,NA,NA
"3","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13034","PreservedSpecimen","Plantae",NA,"Cactaceae","Micranthocereus","streckeri","Micranthocereus streckeri","Van Heek & Van Criek.","Sena, L.Y.S.","Eggli, U.","1289","1988","08","25","Brasil","Bahia","Seabra",NA,"-41.7703018188477","-12.4186000823975",NA,NA,"1150","1150","Locus classicus! Eintriebig oder häufiger von der Basis her verzweigt Büsche, gelblich oder mehr weisslich-creme bedornt, blüten leuchtend violett bis lila, früchte tönnchenförmig, schon lange vor der",NA,NA,"2007","06","57155","auto",NA,NA,NA
"4","2020-06-15 15:29:44-03","UNESP-RC","HRCB","12051","PreservedSpecimen","Plantae",NA,"Cactaceae","Micranthocereus","streckeri","Micranthocereus streckeri","Van Heek & Van Criek.","Sena, L.Y.S.","Zappi, D.C.","145","1989","07","18","Brasil","Bahia","Seabra",NA,"-41.7703018188477","-12.4186000823975",NA,NA,NA,NA,"Arbustos em touceiras, ramificados só na base, ramos procumbentes, espinhos amarelados. Flores lilás-claro, abertas a tarde, 18-22 x 3-4 mm, segm perianto eretos.",NA,NA,"2007","06","57155","auto",NA,NA,NA
"5","2020-06-15 15:29:44-03","UNESP-RC","HRCB","14177","PreservedSpecimen","Plantae",NA,"Cactaceae","Micranthocereus","streckeri","Micranthocereus streckeri","Van Heek & Van Criek.","Sena, L.Y.S.","Taylor, N. P.","1415","1991","01","14","Brasil","Bahia","Seabra",NA,"-41.7703018188477","-12.4186000823975",NA,NA,"1120","1120","It seems that Micranthocereus streckeri and M. (Austrocephalocereus) purpureus are intergrading at this locality, and most M. streckeri show intermediate characteristics, including the degree of sunke",NA,NA,"2007","06","57155","auto",NA,NA,NA
"6","2019-10-07 09:18:42-03","UEFS","HUEFS","107365","PreservedSpecimen","Plantae","Angiospermae","Cactaceae","Micranthocereus","streckeri","Micranthocereus streckeri","Van Heek & Van Criek.",NA,"Machado, M.","775","2006","02","04","Brasil","Bahia","Seabra","Morro com cruzeiro no topo em frente à vila de Palmeira dos Mendes, cerca de 28km a oeste de Seabra na rodovia BR 242","-41.995833","-12.427778","41W59'45''","12S25'40''","1250","1250",NA,"HUEFS0107365","HUEFS0107365",NA,NA,NA,NA,"Caryophyllanae","Caryophyllales",NA
"7","2020-07-23 12:01:19-03","CEPLAC","CEPEC","50954","PreservedSpecimen","Plantae",NA,"Cactaceae","Micranthocereus","streckeri","Micranthocereus streckeri",NA,"N. P. Taylor","N. P. Taylor","1415","1991","01","14","Brasil","Bahia","seabra","27.5 a 28Km a W da Rod. Seabra/Ibotirama.","-41.7703018188477","-12.4186000823975",NA,NA,NA,NA,NA,NA,NA,NA,NA,"57155","auto",NA,NA,"30/12/1991"
