"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1033124","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","rubra","Simira rubra","(Mart.) Steyerm.","L. F. Margalho","W. W. Thomas","6838","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest. Parcel: 1. Tree #13.","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211555' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033124","NY01033124_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","885782","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","rubra","Simira rubra","(Mart.) Steyerm.","L. F. Margalho","J. M. A. Braga","7382","2004","01","29","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Recreio dos Bandeirantes, Prainha, Área de Proteção Ambiental da Prainha, proximidades do topo do Morro da Boa Vista","-43.2075","-22.9031","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1008369' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885782","NY00885782_01","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","502839","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","rubra","Simira rubra","(Mart.) Steyerm.","B. M. Boom","S. A. Mori","13766","1981","04","27","South America","Brazil","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 14-C","-39.1202492","-15.1148921","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34466' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502839","NY00502839_01","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","502833","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","rubra","Simira rubra","(Mart.) Steyerm.","L. F. Margalho","S. A. Mori","11903","1979","06","09","South America","Brazil","Bahia","Ilhéus","Estrada que liga Fazenda Ponta Grossa com a Estrada Uruçuca/Serra Grande, cerca de 12 km a NE de Uruçuca","-39.0492","-14.7892","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502833","NY00502833_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","502832","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","rubra","Simira rubra","(Mart.) Steyerm.","L. F. Margalho","N. T. da Silva","58300","1964","07","09","South America","Brazil","Bahia","Itabuna","CEPLAC; low ground on cocoa plantation","-39.2803","-14.7858","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441195' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502832","NY00502832_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1033125","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","rubra","Simira rubra","(Mart.) Steyerm.","L. F. Margalho","W. W. Thomas","8598","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest. Parcel: 41. Tree #2067.","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211562' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033125","NY01033125_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","502838","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","rubra","Simira rubra","(Mart.) Steyerm.","B. M. Boom","S. A. Mori","13980","1981","05","13","South America","Brazil","Bahia","Una","Maruim, border of the Fazendas Maruim and Dois de Julho, 33 km SW of Olivença on the road from Olivença to Buerarema. Point 113-C","-39.1202492","-15.1148921","sheet","Voucher for ecological study of forest diversity <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34465' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502838","NY00502838_01","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1033123","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","rubra","Simira rubra","(Mart.) Steyerm.","L. F. Margalho","W. W. Thomas","6859","1991","07","01","South America","Brazil","Bahia","Uruçuca","7.3 km N of Serra Grande on rd to Itacaré. Fazenda Lagoa do Conjunto Fazenda Santa Cruz. Southern Bahian moist forest. Parcel: 1. Tree #36.","-39.0617","-14.4231","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1211543' target='other'> <mi>dwc_moreinfo</mi></a>","NY01033123","NY01033123_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","502831","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","rubra","Simira rubra","(Mart.) Steyerm.","L. F. Margalho","S. A. Mori","9554","1978","03","06","South America","Brazil","Bahia","Ubaitaba","Rodovia BR-330. Plantaçao de cacau próx. a Barragem do Funil (Rio de Contas), a 33 km SE de Ipiaú, trecho Ubata/Rod. BR-101","-39.3231","-14.3128","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=441214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00502831","NY00502831_01","100","100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02862410","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Simira","rubra","Simira rubra","(Mart.) Steyerm.","L. F. Margalho","R. Costa","844","1985","10","16","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Jardim Botânico do Rio de Janeiro Seção 33, Canteiro A, Placa 1.508, Piq. 6.","-43.2075004577637","-22.9027996063232","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3270598' target='other'> <mi>dwc_moreinfo</mi></a>","NY02862410","NY02862410_01",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
