"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","class","order","typeStatus","relatedCatalogItem","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","individualCount","monthIdentified","dayIdentified"
"1","2021-03-30 12:47:18-03","EAO","IAN","120649","PreservedSpecimen","Plantae","Dicotiledônea","Proteaceae","Euplassa","hoehnei","Euplassa hoehnei","Sleumer","Handro, O","982","1961","10","27","Southern America","Brasil","São Paulo","Natural do Jardim Botânico.","Árvore grande, de mata; flores amarelas.","IAN120649",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:21:14-03","NBC","NL-BOTANY","L 0039447","PreservedSpecimen","Plantae",NA,"Proteaceae","Euplassa","hoehnei","Euplassa hoehnei","Sleumer","Hoehne FC",NA,"1934","10","18","Southern America","Brazil","São Paulo","Brasil Estado de Sao Paulo Capital","<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200039447 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0039447","Magnoliopsidae","Proteales","isotype","958330210","NL-L0039447",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:17:50-03","ESALQ","ESA","3699","PreservedSpecimen","Plantae","Magnoliophyta","Proteaceae","Euplassa","hoehnei","Euplassa hoehnei",NA,"Robim, M.J. ; Carvalho, J.P.M.","8896.0","1985","02","28",NA,"Brasil","São Paulo",NA,NA,"ESA003699",NA,NA,NA,NA,"ESA003699","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:31:57-03","IAP","PACA-AGP","64784","PreservedSpecimen","Plantae","Magnoliophyta","Proteaceae","Euplassa","hoehnei","Euplassa hoehnei","Sleumer","Reitz & Klein","6481","1958","02","05",NA,"Brasil","SC","Morro do Iquererim","Arbusto, altit. 1.300 m, alt. 2 m, fruto maduro: amarelo. Habitat: Capão do campo","PACA064784","Magnoliatae","Proteales",NA,NA,NA,"Campo Alegre","-49.2655982971191","-26.1924991607666","37493","auto","H. Sleumer","1958","1300","1300",NA,NA,NA,NA,NA
"5","2021-03-01 16:38:38-03","UNICAMP","UEC","200651","S","Plantae","Magnoliopsida","Proteaceae","Euplassa","hoehnei","Euplassa hoehnei","Sleumer","Pereira, LS; Belinello, R; Gomes, JAMA","N762","2007","12",NA,NA,"Brazil","São Paulo","Parque Estadual da Serra do Mar","Parcela N - Projeto Biota-FAPESP. Árvore com 6 metros de altura. Frequência da espécie na parcela: n=1; Mata Atlântica","UEC158012",NA,NA,NA,NA,"UEC158012","São Luiz do Paraitinga","-45.183333","-23.4",NA,NA,"Tamashiro, JY","2008","990","1045","-45.183333","-23.4",NA,NA,NA
"6","2020-12-21 16:42:07-03","MBM","MBM","161757","PreservedSpecimen","Plantae",NA,"Proteaceae","Euplassa","hoehnei","Euplassa hoehnei","Sleumer","Robin, M.J.; et al.; et al.","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo","Parque Estadual",NA,"MBM161757",NA,NA,NA,NA,"MBM161757","Campos do Jordão","-45.5900001525879","-22.7299995422363","21048","auto","Pastore, J.A.",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:42:07-03","MBM","MBM","41838","PreservedSpecimen","Plantae",NA,"Proteaceae","Euplassa","hoehnei","Euplassa hoehnei","Sleumer","Hoehne, F.C.","s.n.","1934","10","18","Southern America","Brazil","São Paulo","Jardim Botânico","árvore da mata, flores amarelas.; Árvore, flores amarelas.; Mata.","MBM041838",NA,NA,"ISOTYPE",NA,"MBM041838","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:42:07-03","MBM","MBM","106909","PreservedSpecimen","Plantae",NA,"Proteaceae","Euplassa","hoehnei","Euplassa hoehnei","Sleumer","Hoehne, W.","s.n.",NA,NA,NA,"Southern America","Brazil","São Paulo","Parque do Estado",NA,"MBM106909",NA,NA,NA,NA,"MBM106909","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto","Hoehne, W.",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3294226","PreservedSpecimen","Plantae",NA,"Proteaceae","Euplassa","hoehnei","Euplassa hoehnei","Sleumer","W. Hoehne","s.n.","1951","10","5","South America - Neotropics","Brazil","São Paulo","Parque do Estado.",NA,"US01333301","Dicotyledonae","Proteales",NA,NA,"US01333301_01","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,"1",NA,NA
"10","2020-09-12 05:00:02-03","US","US","2427722","PreservedSpecimen","Plantae",NA,"Proteaceae","Euplassa","hoehnei","Euplassa hoehnei","Sleumer","O. Handro","982","1961","10","27","South America - Neotropics","Brazil","São Paulo","Nativa do Jardim Botânico",NA,"US01333302","Dicotyledonae","Proteales",NA,NA,"US01333302_01","São Paulo","-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,"1",NA,NA
