"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","infraspecificEpithet","typeStatus","continentOcean","preparationType","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","relatedCatalogItem"
"1","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","3783","S","Plantae","Magnoliophyta","Equisetopsida","Lamiales","Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W.Graham","LíviaAndradeEchternacht;LeandroLacerdaGiacomin","2006","09","JulianaOrdonesRego; AlbinaCarvalhodeOliveiraNogueira,MárciaBacelarFonseca,LeandroLacerdaGiacomin,CláudiaMárciaSilvadoCarmo","Ordones946","2006","08","08","Brasil","MinasGerais","Timóteo","Macuco","-42.644401550293","-19.5825004577637","19º45'a19º30'","42º38'a48º28'","16391","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:11:01-03","FZB-BH","CVJBFZB","1765","S","Plantae","Magnoliophyta","Equisetopsida","Lamiales","Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W.Graham","LíviaAndradeEchternacht;LeandroLacerdaGiacomin","2005","08","JulianaOrdonesRego; AlbinaCarvalhodeOliveiraNogueira,MárciaBacelarFonseca,LeandroLacerdaGiacomin,CláudiaMárciaSilvadoCarmo","Ordones945","2005","07","07","Brasil","MinasGerais","Timóteo","Macuco","-42.644401550293","-19.5825004577637","19º45'a19º30'","42º38'a48º28'","16391","2","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","278877","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Acanthaceae","Amphiscopia","pohliana","Amphiscopia pohliana angustifolia","Nees",NA,NA,NA,"L. Riedel","790","1832","07",NA,"Brazil",NA,NA,"Aldea das Pedras .. Rio Parabybá",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244563' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"angustifolia","syntype","South America","sheet","NY00278877","NY00278877_01",NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","278877","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Acanthaceae","Amphiscopia","pohliana","Amphiscopia pohliana angustifolia","Nees",NA,NA,NA,"L. Riedel","790","1832","07",NA,"Brazil",NA,NA,"Aldea das Pedras .. Rio Parabybá",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244563' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"angustifolia","syntype","South America","sheet","NY00278877","NY00278877_01",NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01059883","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W.Graham","R. de Castro",NA,NA,"R. de Castro","931","2004","02","23","Brazil","Minas Gerais","Governador Valadares",NA,"-41.9492","-18.8511",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1200415' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet","NY01059883","NY01059883_01",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","492181","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W.Graham","D. C. Wasshausen",NA,NA,"J. R. Pirani","2828","1993","05","12","Brazil","Espírito Santo","Venda Nova do Imigrante","A ca. 500 m da saída da cidade na rodovia para Domingos Martins (BR 262).","-41.1344","-20.3397",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356443' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet","NY00492181","NY00492181_01","40","40",NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","492180","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lamiales","Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W.Graham","D. C. Wasshausen",NA,NA,"W. W. Thomas","10267","1994","02","03","Brazil","Bahia","Itapetinga","Itapetinga, Parque da Matinha.","-40.2347","-15.2392",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=356442' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"South America","sheet","NY00492180","NY00492180_01","270","270",NA,NA
"8","2020-12-15 11:14:17-03","FUNED","FUNED-POL","2778","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri",NA,NA,NA,NA,"Sandra Matoso",NA,NA,NA,NA,"Brasil","MG",NA,"Mata do Paraiso-Viçosa-MG","-42.881667","-20.754167","42W 52' 54","20S 45' 15",NA,NA,NA,NA,NA,NA,NA,NA,"POL002778",NA,NA,NA,NA,NA
"9","2020-12-15 11:14:17-03","FUNED","FUNED-POL","2780","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri",NA,NA,NA,NA,"Sandra Matoso",NA,NA,NA,NA,"Brasil","MG",NA,"Mata do Paraiso-Viçosa-MG","-42.881667","-20.754167","42W 52' 54","20S 45' 15",NA,NA,NA,NA,NA,NA,NA,NA,"POL002780",NA,NA,NA,NA,NA
"10","2020-12-15 11:14:17-03","FUNED","FUNED-POL","2779","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri",NA,NA,NA,NA,"Sandra Matoso",NA,NA,NA,NA,"Brasil","MG",NA,"Mata do Paraiso-Viçosa-MG","-42.881667","-20.754167","42W 52' 54","20S 45' 15",NA,NA,NA,NA,NA,NA,NA,NA,"POL002779",NA,NA,NA,NA,NA
"11","2020-12-15 11:14:17-03","FUNED","FUNED-POL","2777","PreservedSpecimen","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri",NA,NA,NA,NA,"Sandra Matoso",NA,NA,NA,NA,"Brasil","MG",NA,"Mata do Paraiso-Viçosa-MG","-42.881667","-20.754167","42W 52' 54","20S 45' 15",NA,NA,NA,NA,NA,NA,NA,NA,"POL002777","POL002777_p01 POL002777_p02 POL002777_p03 POL002777_p04 POL002777_p05 POL002777_p06",NA,NA,NA,NA
"12","2020-11-04 10:58:34-03","ESALQ","ESA","48453","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri",NA,"Lombardi, J.A. & Gonçalves, M.",NA,NA,"Stehmann, J.R. ; Arantes, A.A.",NA,"1992","10","31","Brasil","Minas Gerais","Marliéria",NA,"-42.7322006225586","-19.7122001647949",NA,NA,"28215",NA,NA,"auto",NA,NA,NA,NA,"ESA048453","ESA048453",NA,NA,NA,NA
"13","2020-11-04 10:58:34-03","ESALQ","ESA","48454","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri",NA,"Lombardi, J.A. & Gonçalves, M.",NA,NA,"Tolêdo, F. et al.",NA,"1991","10","23","Brasil","Minas Gerais","Caratinga",NA,"-42.1391983032227","-19.7896995544434",NA,NA,"49886",NA,NA,"auto",NA,NA,NA,NA,"ESA048454","ESA048454",NA,NA,NA,NA
"14","2020-11-04 10:58:34-03","ESALQ","ESA","51334","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri",NA,"Santos, F.B.",NA,NA,"Santos, F.B.",NA,"2004","11","15","Brasil","São Paulo","Araraquara",NA,"-48.1699981689453","-21.7900009155273",NA,NA,"29178",NA,NA,"auto",NA,NA,NA,NA,"ESA051334","ESA051334",NA,NA,NA,NA
"15","2015-07-02 14:13:21-03","JBP","HPL","109","S","Plantae",NA,NA,NA,"Acanthaceae","Justicia","scheidweileri","Justicia scheidweileri","V.A.W. Graham","C. Kameyama","1995","05","H. Lorenzi","1987","1995","02","15","Brasil","SP","Campinas","Flora Novaes.","-47.06","-22.9",NA,NA,"23900",NA,"Região: CULTIVADO; Cor da flor: lilases","auto",NA,NA,NA,NA,NA,NA,NA,NA,"09",NA
