"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","monthIdentified","dayIdentified","typeStatus","relatedCatalogItem","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","527539","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Podostemaceae","Podostemum","ovatum","Podostemum ovatum","C.T.Philbrick & Novelo","C. T. Philbrick","A. F. M. Glaziou","12193","1883","03","24","South America","Brazil","Rio de Janeiro","Magé","Haut dú Rio Soberbo, par du Sitio","-43.0406","-22.6531","sheet","Donné par Mme Simard, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=766900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527539","NY00527539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0442906","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","ovatum","Podostemum ovatum","C.T.Philbrick & Novelo","Philbrick CT","Glaziou AFM",NA,"1880","03","23","Southern America","Brazil","Rio de Janeiro",NA,"Brasilie. Rio de Janeiro. Rio Soberbo, presde fronte de la Barriere des Orgnes, dans les grandes rapides",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200442906 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0442906","NL-L0442906","Magnoliopsidae","2004","01","01","isolectotype","96238883",NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0442907","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","ovatum","Podostemum ovatum","C.T.Philbrick & Novelo","Philbrick CT","Glaziou AFM",NA,"1880","03","23","Southern America","Brazil","Rio de Janeiro",NA,"Brasilie. Rio de Janeiro. Rio Soberbo, presde fronte de la Barriere des Orgnes, dans les grandes rapides",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200442907 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0442907","NL-L0442907","Magnoliopsidae","2004","01","01","isolectotype","96238830",NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L 0442908","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","ovatum","Podostemum ovatum","C.T.Philbrick & Novelo","Philbrick CT","Glaziou AFM",NA,"1880","03","23","Southern America","Brazil","Rio de Janeiro",NA,"Brasilie. Rio de Janeiro. Rio Soberbo, presde fronte de la Barriere des Orgnes, dans les grandes rapides",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200442908 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0442908","NL-L0442908","Magnoliopsidae","2004","01","01","isolectotype","96238838",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857964","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","ovatum","Podostemum ovatum","C.T.Philbrick & Novelo","Philbrick CT","Glaziou AFM",NA,"1880","03","24","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857964 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857964","NL-L1857964","Magnoliopsidae","2004","01","01",NA,"L 0442910",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:56:43-03","NBC","NL-BOTANY","L.1857965","PreservedSpecimen","Plantae",NA,"Malpighiales","Podostemaceae","Podostemum","ovatum","Podostemum ovatum","C.T.Philbrick & Novelo","Philbrick CT","Glaziou AFM",NA,"1881","07","28","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1857965 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1857965","NL-L1857965","Magnoliopsidae","2004","01","01",NA,"L 0442909",NA,NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:33:12-03","MN","R","214908","PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Podostemum","ovatum","Podostemum ovatum","C.T. Philbrick & Novelo",NA,"Bove, C.P.","894","2001","10","14",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Álcool 70%","Coleção líquida Podostemaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-01-14 15:33:12-03","MN","R","214916","PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Podostemum","ovatum","Podostemum ovatum","C.T. Philbrick & Novelo",NA,"Bove, C.P.","1062","2002","07","18",NA,"Brasil","Espírito Santo","Santa Leopoldina",NA,"-40.5297012329102","-20.1005992889404","Álcool 70%","Coleção líquida Podostemaceae",NA,NA,NA,NA,NA,NA,NA,NA,"23799","auto",NA,NA,NA,NA,NA
"9","2021-01-14 15:33:12-03","MN","R","217617","PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Podostemum","ovatum","Podostemum ovatum","C.T. Philbrick & Novelo","Bove, C.P.","Silva, I.C.","78","2013","09","03",NA,"Brasil","Rio de Janeiro","Cachoeiras de Macacu",NA,"-42.6530990600586","-22.4624996185303","Álcool 70%","Coleção líquida Podostemaceae",NA,NA,NA,"2013","09",NA,NA,NA,"32671","auto","200","200",NA,NA,NA
"10","2021-01-14 15:33:12-03","MN","R","214911","PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Podostemum","ovatum","Podostemum ovatum","C.T. Philbrick & Novelo",NA,"Bove, C.P.; Moreira, A. & Occhi, R.","1019","2002","01","19",NA,"Brasil","Rio de Janeiro","Guapimirim",NA,"-42.9818992614746","-22.5372009277344","Álcool 70%","Coleção líquida Podostemaceae",NA,NA,NA,NA,NA,NA,NA,NA,"21463","auto",NA,NA,NA,NA,NA
