"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","typeStatus","locality","imagecode","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","individualCount","monthIdentified","dayIdentified","infraspecificEpithet"
"1","2020-09-23 10:36:19-03","E","E","267806","PreservedSpecimen","Plantae","Araliaceae","Schefflera","gardneri","Schefflera gardneri","Harley, Raymond M.","22765","1980","05","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:278489","<a href=http://data.rbge.org.uk/herb/E00267806 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00267806",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","236632","PreservedSpecimen","Plantae","Araliaceae","Didymopanax","gardneri","Didymopanax gardneri","G. Gardner","4708","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=337600' target='other'> <mi>dwc_moreinfo</mi></a>","NY00236632","Magnoliophyta","Apiales","Seem.","E. K. Schofield","isotype","Brasilia","NY00236632_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01112712","PreservedSpecimen","Plantae","Araliaceae","Schefflera","gardneri","Schefflera gardneri","J. R. Pirani","5306","2004","01","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1261006' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112712","Magnoliophyta","Apiales","(Seem.) Frodin & Fiaschi","J. R. Pirani",NA,"Serra do Cabral, estrada para Várzea da Palma, ca. 16.5 km da ponte do Córrego da Onça, alto da serra.","NY01112712_01","Minas Gerais","Joaquim Felício","-44.2708","-17.6992","1146","1146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00956419","PreservedSpecimen","Plantae","Araliaceae","Schefflera","gardneri","Schefflera gardneri","P. Fiaschi","3090","2006","07","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1060603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956419","Magnoliophyta","Apiales","(Seem.) Frodin & Fiaschi","P. Fiaschi",NA,"Rodovia de Juramento para Itacambira, km. 2.","NY00956419_01","Minas Gerais","Juramento","-43.311","-17.08161","1320","1320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1145637","PreservedSpecimen","Plantae","Araliaceae","Schefflera","gardneri","Schefflera gardneri","T. B. Cavalcanti","8073","1985","08","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320808' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145637","Magnoliophyta","Apiales","(Seem.) Frodin & Fiaschi","P. Fiaschi",NA,"Serra do Cabral.","NY01145637_01","Minas Gerais","Joaquim Felício","-44.1719","-17.7575",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1145639","PreservedSpecimen","Plantae","Araliaceae","Schefflera","gardneri","Schefflera gardneri","J. R. Pirani","CFCR12790","1989","12","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320816' target='other'> <mi>dwc_moreinfo</mi></a>","NY01145639","Magnoliophyta","Apiales","(Seem.) Frodin & Fiaschi","P. Fiaschi",NA,"A ca. 2 km de cidade na estrada para Juramento.","NY01145639_01","Minas Gerais","Itacambira","-43.83","-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:09:22-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Araliaceae","Schefflera","gardneri","Schefflera gardneri","Hatschbach, G; Hatschbach, M; Silva, JM","73594","2002","08","19","Southern America","Brasil",NA,NA,"2,50 m.; afloramento rochoso.",NA,"Dicotyledon",NA,"(Sm.) Frondin","Fiaschi, P",NA,"Ligação da Rod. BR-135 a Curimataí, entre km 25-30",NA,"Minas Gerais","Buenópolis","-44.1800003051758","-17.8733005523682",NA,NA,"2006","42854","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:43:37-03","NBC","NL-BOTANY","U.1094627","PreservedSpecimen","Plantae","Araliaceae","Schefflera","gardneri","Schefflera gardneri","Harley RM",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1094627 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1094627",NA,"Apiales",NA,NA,NA,NA,"NL-U1094627","Bahia",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0020089",NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:00:29-03","ESALQ","ESA","73896","PreservedSpecimen","Plantae","Araliaceae","Schefflera","gardneri","Schefflera gardneri","Souza, V.C.; Souza, J.P.; Romão, G.O.; Araújo, A.O.","25645.0","2001","07","10",NA,"Brasil",NA,NA,"Subarbusto, ca. 1 m alt.; folhas acinzentadas; flores creme; frutos imaturos verdes. Entre rochas. Foto: Souza, J.P.","ESA073896","Magnoliophyta",NA,NA,"Fiaschi, P.",NA,"Serra do Cabral. Estrada Joaquim Felício - Várzea da Palma, ca. 24 km de Joaquim Felício. Afloramento rochoso com campo arenoso adjacente.",NA,"Minas Gerais","Joaquim Felício","-442.961","-177.022","1030","1030",NA,NA,NA,NA,NA,"-442,961","-177,022",NA,NA,NA,NA
"10","2020-11-04 11:00:29-03","ESALQ","ESA","89307","PreservedSpecimen","Plantae","Araliaceae","Schefflera","gardneri","Schefflera gardneri","Souza, V.C.","30134.0","2004","12","26",NA,"Brasil",NA,NA,"Arbusto, ca. 2 m alt.; botões creme. Entre rochas.","ESA089307","Magnoliophyta",NA,NA,"Fiaschi, P.",NA,"Serra do Cabral. Campo arenoso alagável, com afloramento rochoso adjacente.","ESA089307","Minas Gerais","Joaquim Felício","-44.1721992492676","-17.7574996948242","1200","1200",NA,"37503","auto",NA,NA,"-44,270,556","-17,698,889",NA,NA,NA,NA
