"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","locality","imagecode","stateProvince","minimumElevationInMeters","maximumElevationInMeters","county","decimalLongitude","decimalLatitude","identifiedBy","verbatimLongitude","verbatimLatitude","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","class","typeStatus","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:37:50-03","E","E","287580","PreservedSpecimen","Plantae","Compositae","Lepidaploa","aurea","Lepidaploa aurea","Hatschbach, G.; Hatschbach, M.; Barbosa, E.","66350","1997","03","16","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:299562","<a href=http://data.rbge.org.uk/herb/E00287580 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00287580",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","802791","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","aurea","Lepidaploa aurea","Pohl","2175",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799704' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802791","Magnoliophyta","Asterales","(Mart. ex DC.) H.Rob.","Cavalcante.","NY00802791_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","802781","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","aurea","Lepidaploa aurea","H. S. Irwin","14595","1966","04","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799646' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802781","Magnoliophyta","Asterales","(Mart. ex DC.) H.Rob.","Rio Piau, ca. 225 km. S.W. of Barreiras on road to Posse, Goiás.","NY00802781_01","Bahia","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","802792","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","aurea","Lepidaploa aurea","G. J. Shepherd","3689","1976","11","28","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799708' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802792","Magnoliophyta","Asterales","(Mart. ex DC.) H.Rob.","Estrada Alto Paraiso a Campo Belo, Km. 8.","NY00802792_01","Goiás",NA,NA,"Alto Paraíso de Goiás","-47.5097","-14.1325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","859503","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","aurea","Lepidaploa aurea","A. P. Duarte","7423","1962","11","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859503","Magnoliophyta","Asterales","(Mart. ex DC.) H.Rob.","Faz. Mãe d' Água. N. de Minas Gerais.","NY00859503_01","Minas Gerais","70","70","Várzea da Palma","-44.749531","-17.411382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","859494","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","aurea","Lepidaploa aurea","G. L. Smith","879","1979","12","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859494","Magnoliophyta","Asterales","(Mart. ex DC.) H.Rob.","5 mi E of Cristalina.","NY00859494_01","Goiás","1200","1200","Cristalina","-47.6133","-16.7686",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","517997","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","aurea","Lepidaploa aurea","A. M. Amorim","2858","1999","04","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=594599' target='other'> <mi>dwc_moreinfo</mi></a>","NY00517997","Magnoliophyta","Asterales","(Mart. ex DC.) H.Rob.","Estrada Oliveira dos Brejinhos-Agua Quente, ca. 6 km a partir de Oliveira dos Brejinhos","NY00517997_01","Bahia",NA,NA,"Oliveira dos Brejinhos","-42.8958","-12.3169","H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","859485","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","aurea","Lepidaploa aurea","A. P. Duarte","7750","1963","04","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958417' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859485","Magnoliophyta","Asterales","(Mart. ex DC.) H.Rob.","Fazenda Mãe d'água.","NY00859485_01","Minas Gerais",NA,NA,"Várzea da Palma","-44.749531","-17.411382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","859492","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","aurea","Lepidaploa aurea","H. S. Irwin","9864","1965","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=958825' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859492","Magnoliophyta","Asterales","(Mart. ex DC.) H.Rob.","Serra dos Cristais. 12 km S. of Cristalina","NY00859492_01","Goiás","1150","1150","Cristalina","-47.6","-16.85843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","802789","PreservedSpecimen","Plantae","Asteraceae","Lepidaploa","aurea","Lepidaploa aurea","S. B. d. Silva","355","1984","05","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=799690' target='other'> <mi>dwc_moreinfo</mi></a>","NY00802789","Magnoliophyta","Asterales","(Mart. ex DC.) H.Rob.","Folha SD.23-V-B. Ponto 10.","NY00802789_01","Bahia","1220","1220","Barreiras","-45.83","-12.27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
