"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","typeStatus","continentOcean","locality","coordinatePrecision","occurrenceRemarks","geoFlag","individualCount"
"1","2020-10-14 10:03:57-03","FURB","FURB","35100","PreservedSpecimen","Plantae","Orchidaceae","Barbosella","trilobata","Barbosella trilobata","Pabst","Bolson, M.","2016","11","19","Schmitt, J.L.","3191","2011","05","12","Brasil","Santa Catarina","Corupá","-49.3505556","-26.4183334","-49.3505556","-26.4183334","292","292","FURB08215","FURB08215",NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:38:16-03","MBM","MBM","49105","PreservedSpecimen","Plantae","Orchidaceae","Barbosella","trilobata","Barbosella trilobata","Pabst","Pabst, G.F.J.","1953",NA,NA,"Hatschbach, G.","2732","1952","09","21","Brazil","Paraná","Tijucas do Sul","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"MBM049105","MBM049105","ISOTYPE","Southern America","Saltinho","25228","Epífita. Flor creme, nervura bordeau.; Mata de Araucaria.","auto",NA
"3","2020-12-21 16:38:16-03","MBM","MBM","19427","PreservedSpecimen","Plantae","Orchidaceae","Barbosella","trilobata","Barbosella trilobata","Pabst","Bolson, M.","2016","11","19","Hatschbach, G.","27578","1971","10","25","Brazil","Paraná","Tijucas do Sul","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"MBM019427",NA,NA,"Southern America","Saltinho","25228","Epífita, flor creme; Matinha da base de salto","auto",NA
"4","2021-02-11 17:20:53-03","UFPR","UPCB","93547","PreservedSpecimen","Plantae","Orchidaceae","Barbosella","trilobata","Barbosella trilobata","Pabst","M. Bolson","2016","09","14","Santos, T.F.","178","2016","09","10","Brasil","Paraná","Tijucas do Sul","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"UPCB0042859","UPCB0042859",NA,NA,"Parque do Saltinho","25228","Floresta Ombrófila Mista. Floresceu em cultivo na Casa de Vegetação do Depto de Botânica da UFPR, Curitiba/ PR. Epifita em árvore próxima ao rio. Cobrindo a árvore inteira. Labelo roxo escuro. nervuras roxas nas sépalas e pétalas, s","auto",NA
"5","2021-02-11 17:20:53-03","UFPR","UPCB","93546","PreservedSpecimen","Plantae","Orchidaceae","Barbosella","trilobata","Barbosella trilobata","Pabst","E.C. Smidt",NA,NA,NA,"Klingelfus, M.L.","155",NA,NA,NA,"Brasil","Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"UPCB0042858",NA,NA,NA,"s.loc.","46557","Floresceu em cultivo no Orquidário Marcos Klingelfus, Pinhais/ PR. Amostra toda em álcool. Amostra de DNA. (Obs: = E.C. Smidt 1052).","auto",NA
"6","2017-07-31 11:21:00-03","MO","MOBOT","2041645","PreservedSpecimen","Plantae","Orchidaceae","Barbosella","trilobata","Barbosella trilobata","Pabst","M.Bolson (UPCB/HRCB)",NA,NA,NA,"Gert G. Hatschbach","Hatschbach 2732","1952","9","21","Brazil","Paraná","São José dos Pinhais","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,NA,NA,"Holotype","South America","Saltinho.","45291",NA,"auto","1"
"7","2017-07-31 11:22:00-03","MO","MOBOT","2041654","PreservedSpecimen","Plantae","Orchidaceae","Barbosella","trilobata","Barbosella trilobata","Pabst","M.Bolson (UPCB/HRCB)",NA,NA,NA,"Carl A. Luer","Luer 14740","1990","5","5","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Imported from Brazil without collection data. Flowered in cultivation at J & L Orchids, Easton, CT.",NA,NA,NA,"1"
"8","2017-07-31 11:22:00-03","MO","MOBOT","2041660","PreservedSpecimen","Plantae","Orchidaceae","Barbosella","trilobata","Barbosella trilobata","Pabst","M.Bolson (UPCB/HRCB)",NA,NA,NA,"Carl A. Luer","Luer 14498","1989","11","30","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"1000.00000000",NA,NA,NA,NA,"South America","Near Petropolis, cultivated Orquideario Binot by Jorge and Marcel Verboonen.",NA,NA,NA,"1"
"9","2021-03-25 13:53:02-03","UNIVILLE","JOI","15321","PreservedSpecimen","Plantae","Orchidaceae","Barbosella","trilobata","Barbosella trilobata","Pabst","Mancinelli, W. S.","2010","09","30","Mancinelli, W.S.","1295","2010","09","30","Brasil","Santa Catarina","Joinville","-48.8456001281738","-26.3043994903564",NA,NA,"1300","1300","JOI015321",NA,NA,NA,"Serra Queimada.","37150","; HABITAT: mata de araucária; HABITO: Epífita","auto",NA
"10","2019-11-21 10:12:52-03","IBt","SP","138175","S","Plantae","Orchidaceae","Barbosella","trilobata","Barbosella trilobata","Pabst","Bolson, M","2016","04","11","Pabst, GFJ","972","1971","10","25","Brasil","Paraná","Tijucas do Sul","-49.1988983154297","-25.9281005859375",NA,NA,NA,NA,"SP032416","SP032416",NA,NA,"Saltinho","25228",NA,"auto",NA
