"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","coordinatePrecision","geoFlag","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","00932760","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","bombycina","Mimosa bombycina","Barneby","R. C. Barneby","A. P. Duarte","7629","1963","01","21","South America","Brazil","Minas Gerais","Serra do Cipó, Chapeo de Sol","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006948' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932760","NY00932760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00932759","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","bombycina","Mimosa bombycina","Barneby","R. C. Barneby","J. R. Pirani","CFSC12033","1991","03","25","South America","Brazil","Minas Gerais","caminho da base do IBAMA do rio Cipó para o capão dos Palmitos. Parque National da Serra do Cipó","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1006946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00932759","NY00932759_01","Santana do Riacho","-43.7142","-19.1692","800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2700","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","bombycina","Mimosa bombycina","Barneby",NA,"H. S. Irwin","20349","1968","02","17","South America","Brazil","Minas Gerais","Serra do Espinhaço. Serra do Cipó, ca km 105 (ca 130 km N of Belo Horizonte). Alt. 150 m.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17270' target='other'> <mi>dwc_moreinfo</mi></a>","NY00002700","NY00002700_01",NA,"-43.4","-19",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01345076","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Mimosa","bombycina","Mimosa bombycina pluriceps","Barneby","R. C. Barneby","A. F. M. Glaziou","19131",NA,NA,NA,"South America","Brazil","Minas Gerais","Biribiry pres Diamantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1599199' target='other'> <mi>dwc_moreinfo</mi></a>","NY01345076","NY01345076_01",NA,NA,NA,NA,NA,"isotype","pluriceps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:17:36-03","UFV","VIC","30654","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina bombycina","Barneby","Dutra, V.F.","Ferreira, V.F.","s.n.","1981","10","03",NA,"Brasil","Minas Gerais","Serra do Cipó",NA,"Arbusto heliófilo; flores róseas.","VIC030654","VIC030654",NA,NA,NA,NA,NA,NA,"bombycina","2006","09","20",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:17:36-03","UFV","VIC","30674","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina bombycina","Barneby","Dutra, V.F.","Duarte, A.P.","7629","1963","01","21",NA,"Brasil","Minas Gerais","Serra do Cipó - Chapéu de Sol - Km 110, Solo pedregoso.",NA,"Planta de campo em solo.","VIC030674","VIC030674",NA,NA,NA,NA,NA,NA,"bombycina","2008","08","10",NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:30:58-03","UNICAMP","UEC","201512","S","Plantae","Magnoliopsida",NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina","Barneby",NA,"Purgato, NCS; Carli, BF; Guillen, ACM; Silva, BGR; Vergilio, R; Carvalho, ABF","25","2017","04","30",NA,"Brazil","Minas Gerais","Parque Nacional da Serra do Cipó, trilha do Capão",NA,"Arbusto, Botão creme; Transição entre cerrado e campo rupestre","UEC183927","UEC183927","Jaboticatubas","-43.637222","-19.348833",NA,NA,NA,NA,NA,NA,NA,"-43.637222","-19.348833",NA,NA,NA,NA,NA
"8","2019-11-06 09:55:35-03","UFOP","OUPR","20013","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina bombycina","Barnaby","Dutra, V.F.","Badini, J.; Mello-Barreto, H.L.","s.n.","1938",NA,NA,NA,"Brasil","Minas Gerais","Serra do Cipó",NA,"Arbusto. Campo.",NA,NA,NA,NA,NA,NA,NA,NA,"bombycina","2006","08","17",NA,NA,NA,NA,NA,NA,NA
"9","2019-09-27 18:04:53-03","UFES","VIES","11586","S","Plantae",NA,NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina bombycina","Barneby","Dutra, V.F.","Dutra, V.F.",NA,"2009","11","29",NA,"Brasil","Minas Gerais","Trilha próximo à Pousada Chapéu do Sol",NA,NA,"VIES011586","VIES011586","Serra do Cipó",NA,NA,"1000","1000",NA,"bombycina","2009","11","29",NA,NA,NA,NA,NA,NA,NA
"10","2019-06-13 14:29:25-03","MNHN","RECOLNAT_MNHN_P","P00705168","PreservedSpecimen",NA,NA,NA,"Fabaceae","Mimosa","bombycina","Mimosa bombycina","Barneby","Barneby","Irwin, H.S.|Maxwell, H.|Wasshausen, D.C.",NA,"1968","2","17",NA,"Brésil",NA,"Serra do Cipo, Minas Geraes, ca. km 105 (ca. 130km N. of Belo Horizonte)","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00705168' target='other'> <mi>dwc_moreinfo</mi></a>","P00705168","P00705168_01",NA,NA,NA,"1150",NA,"isotype",NA,NA,NA,NA,NA,NA,"20349",NA,NA,NA,NA
