"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","recordNumber","coordinatePrecision","geoFlag","phylum","order","typeStatus","continentOcean","preparationType","class","relatedCatalogItem","relationshipType","previousCatalogNumber","fieldNumber","individualCount","eventTime","sex"
"1","2021-04-05 14:26:07-03","UNESC","CRI","8851","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI007322","CRI007322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:07-03","UNESC","CRI","8787","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI007321","CRI007321","Vanilde C. Zanette","2000","10","27","Andressa; Maristela Giasse & Vanilde Citadini Zanette","2000","10","27","Bairro Santo André.","46","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:11-03","UNESC","CRI","11722","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Turvo","-49.681944","-28.928056","49º40'55''W","28º55'41''S","CRI007326","CRI007326","Marciel Fernandes","2009","04","10","Marciel Fernandes","2009","04","01",NA,"30","30","Habito: árvore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:11-03","UNESC","CRI","5301","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Rio Grande do Sul","Morrinhos do Sul","-49.933889","-29.365","49º56'2''W","29º21'54''S","CRI007324","CRI007324","J. A. Jarenkow",NA,NA,NA,"J. A. Jarenkow; Daniel B. Falkenberg","1993","01","29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:11-03","UNESC","CRI","1734","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S","CRI007314","CRI007314","Marcos Sobral",NA,NA,NA,"Vanilde C. Zanette; A. J. de Aguiar & R. dos Santos","1992","12","18","Rio Novo.",NA,NA,NA,"1713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:07-03","UNESC","CRI","3379","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Orleans","-49.298889","-28.285278","49º17'56''W","28º17'7''S","CRI007313","CRI007313",NA,NA,NA,NA,"Vanilde Citadini-Zanette","1993","01","06","Rio Novo.","300","300",NA,"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:34:11-03","UNESC","CRI","1673","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Orleans","-49.291667","-28.359444","49º17'30''W","28º21'34''S","CRI007316","CRI007316","Vanilde C. Zanette","1993","03","02","Vanilde C. Zanette; C. M. Martinello & C. E. Dário","1993","03","02","Rio Novo.","110","110",NA,"1573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:11-03","UNESC","CRI","8357","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Criciúma","-49.431944","-28.69","49º25'55''W","28º41'24''S","CRI007318","CRI007318","Vanilde C. Zanette",NA,NA,NA,"Aline Costa Brum Figueiró Leandro; Rosimar Tertuliano da Silva","2006","01","01","Parque Ecológico Municipal José Milanese.","58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:11-03","UNESC","CRI","8371","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","CRI007323","CRI007323","Vanilde Citadini-Zanette","2007",NA,NA,"Aline Costa Brum Figueiro Leandro","2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:11-03","UNESC","CRI","11899","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Turvo","-49.685","-28.915556","49º41'6''W","28º54'56''S","CRI007325","CRI007325","Rafael Martins","2009","11","29","Marciel Bonfi Fernandes","2009","11","29",NA,"36","36","Habito: árvore","34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-04-05 14:34:11-03","UNESC","CRI","8480","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","CRI007319","CRI007319","Vanilde C. Zanette",NA,NA,NA,"Kleber Haileê Emerich","2008","05","29",NA,"30","30","Habitat: mata ciliar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:34:11-03","UNESC","CRI","8444","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Rio Grande do Sul","Torres","-49.727222","-29.335833","49º43'38''W","29º20'9''S","CRI007320","CRI007320","Vanilde C. Zanette",NA,NA,NA,"Régis Cardoso da Silva","2009","01","01","Parque Estadual Itapeva.","36","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:34:11-03","UNESC","CRI","7665","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Turvo","-49.679444","-28.926667","49º40'46''W","28º55'36''S","CRI007317","CRI007317","Vanilde C. Zanette","2008","04","28","Jean Gabriel Cemin","2007","10","31",NA,"30","30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:34:11-03","UNESC","CRI","7582","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S","CRI007315","CRI007315","Vanilde C. Zanette","2007","06","10","Marcelo Romagna Pasetto","2007","06","10","Jordão/São Pedro.","111","111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:26:07-03","UNESC","CRI","14021","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","Morro Grande","-49.7207984924316","-28.8006000518799",NA,NA,"CRI012671",NA,"Marcos Sobral","1999","01","12","Vanilde Citadini-Zanette","1997","01","08","Pingador",NA,NA,"Habitat: Terrestre Habito: Arbórea",NA,"22172","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:26:07-03","UNESC","CRI","11379","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brasil","Santa Catarina","São Francisco do Sul","-48.6380996704102","-26.2432994842529",NA,NA,"CRI010820",NA,"Renato Colares","2017","09","14","Cynthia H. Rinnert","2003","02","04","Vila da Glória",NA,NA,"Doação Herbário Joinville (8154)",NA,"23627","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","273418","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","dusenii","Chrysophyllum dusenii","Cronquist","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00273418","NY00273418_01",NA,NA,NA,NA,"P. K. H. Dusén","1914","01","04","Marretes opp. Facenda Marumby",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=451468' target='other'> <mi>dwc_moreinfo</mi></a>","14284",NA,NA,"Magnoliophyta","Ericales","isotype","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","374876","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","São Paulo","Cananéia","-47.992538","-25.197304",NA,NA,"NY00374876","NY00374876_01","T. D. Pennington",NA,NA,NA,"H. de F. Leitão Filho","1979","12","11","Em beira de mata. Ilha do Cardoso",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257042' target='other'> <mi>dwc_moreinfo</mi></a>","10752",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","374801","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Paraná","Guaraqueçaba","-48.32","-25.27",NA,NA,"NY00374801","NY00374801_01",NA,NA,NA,NA,"A. C. Cervi","1997","12","04","Salto Morato",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257053' target='other'> <mi>dwc_moreinfo</mi></a>","6471",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","374873","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Paraná","Morretes","-48.8342","-25.4769",NA,NA,"NY00374873","NY00374873_01","T. D. Pennington",NA,NA,NA,"G. G. Hatschbach",NA,NA,NA,"Plain of Prainhas, near Morretes",NA,NA,"[unsure of who's collection number this is]; d.d. 4-1 1966 [unclear whether collection date or detdate] <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257049' target='other'> <mi>dwc_moreinfo</mi></a>","Ha.13408",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","1016100","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Paraná","Paranaguá","-48.5092","-25.5203",NA,NA,"NY01016100","NY01016100_01","G. G. Hatschbach",NA,NA,NA,"G. G. Hatschbach","1968","02","14","Picadão Cambará - Col. Limeira. Margens de Rio Encachoeirado.","50","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1141397' target='other'> <mi>dwc_moreinfo</mi></a>","18602",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","374880","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Santa Catarina","Garopaba","-48.6131","-28.0233",NA,NA,"NY00374880","NY00374880_01","S. F. Smith",NA,NA,NA,"R. A. Wasum","1999","01","20","Ilha do Coral; próximo a Garopaba; em beira do caminho, interior da mata","60","60","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257043' target='other'> <mi>dwc_moreinfo</mi></a>","12872",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","374802","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"NY00374802","NY00374802_01",NA,NA,NA,NA,"M. Sobral","1985","02","01","Itati, Osório",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257046' target='other'> <mi>dwc_moreinfo</mi></a>","3747",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","375036","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Santa Catarina","Jaraguá do Sul","-49.0667","-26.4861",NA,NA,"NY00375036","NY00375036_01",NA,NA,NA,NA,"R. Reitz","1958","01","14","Corupá, Jaraguá do Sul","50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257051' target='other'> <mi>dwc_moreinfo</mi></a>","6188",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","374878","PreservedSpecimen","Plantae","Sapotaceae","Chrysophyllum","inornatum","Chrysophyllum inornatum","Mart.","Brazil","Paraná","Morretes","-48.9","-25.6",NA,NA,"NY00374878","NY00374878_01","G. G. Hatschbach",NA,NA,NA,"F. Chagas e Silva","1984","11","30","Parque estadual do Marumbi",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=257045' target='other'> <mi>dwc_moreinfo</mi></a>","s.n.",NA,NA,"Magnoliophyta","Ericales",NA,"South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
