"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","occurrenceRemarks","phylum","continentOcean","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","dayIdentified","fieldNumber","preparationType","imagecode","class","order"
"1","2021-03-31 13:41:09-03","MN","R","221659","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb. f.","Menini Neto, L.","2003","10","Menini Neto, L.; Forzza, R.C.; Garcia, M.C.M.; Dias-Melo, R. & Monteiro, R.F.","38","2003","10","19","Brasil","Minas Gerais","Universidade Federal de Juiz de Fora/Herbário CESJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-31 13:41:09-03","MN","R","221660","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb. f.","Menini Neto, L.","2004","10","Menini Neto, L.; Forzza, R.C.; Silva, B.R.; Monteiro, R.F.; Dias-Melo, R.; Capilé, B. & Domingues, R.","168","2004","10","26","Brasil","Minas Gerais","Universidade Federal de Juiz de Fora/Herbário CESJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-07-02 18:55:42-03","UFJF","CESJ","40859","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb. f. ex Wawra","L. Menini Neto","2003","11","L. Menini Neto; R.C. Forzza; M.C.M. Garcia; R.Dias-Melo; R.F.Monteiro","38","2003","10","19","Brasil","Minas Gerais","Erva epífita, em mata de candeia, em local seco e ensolarado. Ramicaule verde, folha carnosa, verde, bainhas estramíneas, flores com sépalas e pétalas amarelas, translúcidas, longitudinalmente estriadas de vináceo, labelo amarelo com mácula central vinác","Angiosperma","América do Sul","Lima Duarte","Parque Estadual do Ibitipoca, Entre a Administração e a Ponte de Pedra.","-43.793098449707","-21.8425006866455","30417","CESJ040859","auto",NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:40:53-03","UFJF","CESJ","60307","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb. f. ex Wawra","L. Menini Neto; S.G. Furtado","2012","08","S.G. Furtado; L. Menini Neto","92","2012","08","17","Brasil","MInas Gerais","Epífita, entre 1-3m alt. Flores amarelas estriadas de vináceo. Fruto imaturo verde.","Angiosperma","América do Sul","Baependi","Parque Estadual da Serra do Papagaio, Capão de mata próximo ao Rio Santo Agostinho","-44.8899993896484","-21.9589004516602","29865","CESJ060307","auto","17",NA,NA,NA,NA,NA
"5","2019-11-21 14:40:53-03","UFJF","CESJ","53258","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb. f. ex Wawra","L. Menini Neto","2009","09","S.A. Roman; F.S. Souza; J..H.C. Ribeiro; J. Miloski; J.A. Oliveira","78","2009","04","04","Brasil","Minas Gerais","Erva epífita em candeia mo campo rupestre. Flores amarelas com máculas vináceas.","Angiosperma","América do Sul","Lima Duarte","Serra Negra, RPPN Fazenda Serra Negra; Areial próximo a Cachoeira da Borboleta Azul","-43.793098449707","-21.8425006866455","30417","CESJ053258","auto",NA,NA,NA,NA,NA,NA
"6","2020-07-02 18:55:42-03","UFJF","CESJ","59775","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb. f. ex Wawra","L. Menini Neto","2012","04","L. Menini Neto; E.T. Amorim; C.R.Fonseca; J.H.C. Ribeiro","1026","2012","04","01","Brasil","Minas Gerais","Erva epífita, em transição de floresta ombrófila densa com o campo rupestre arbustivo (arbustal ou escrube), em ambiente ensolarado. Apenas uma pequena população observada. Flores com sépalas amarelas, irregularmente estriadas de vináceo, labelo amarelo,","Angiosperma","América do Sul","Rio Preto","Serra Negra, Trilha para o Ninho da Égua, 21°59'12S, 43°53'19W, 1098 m.s.m.","-43.8278007507324","-22.0891990661621","20815","CESJ059775","auto","01",NA,NA,NA,NA,NA
"7","2019-11-21 14:40:53-03","UFJF","CESJ","61998","PreservedSpecimen","Plantae","Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb. f. ex Wawra",NA,NA,NA,"S.G. Furtado; L. Menini Neto; A. Cabral; M. Lima","229","2013","02","12","Brasil","MInas Gerais","Epífita em capão de floresta ombrófila mista. Sépalas e pétalas amarelas com estrias vináceas, labelo amarelo com mácula vinácea.","Angiosperma","América do Sul","Baependi","Parque Estadual da Serra do Papagaio","-44.8899993896484","-21.9589004516602","29865","CESJ061998","auto",NA,NA,NA,NA,NA,NA
"8","2016-02-18 13:43:19-02","MNHN","RECOLNAT_MNHN_P","P00485340","PreservedSpecimen",NA,"Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f. ex Wawra",NA,NA,NA,"Glaziou, A.",NA,"1871","11","7","Brésil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485340' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Pic de la Tijuca",NA,NA,NA,"P00485340",NA,NA,"5503","hb","P00485340_01",NA,NA
"9","2016-02-18 13:43:19-02","MNHN","RECOLNAT_MNHN_P","P00485341","PreservedSpecimen",NA,"Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f. ex Wawra",NA,NA,NA,"Moura, J.T. de",NA,"1887","6",NA,"Brésil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485341' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Prov. Rio de Janeiro : plaines de Therezopolis",NA,NA,NA,"P00485341",NA,NA,"19","hb","P00485341_01",NA,NA
"10","2016-02-18 13:43:19-02","MNHN","RECOLNAT_MNHN_P","P00485342","PreservedSpecimen",NA,"Orchidaceae","Octomeria","wawrae","Octomeria wawrae","Rchb.f. ex Wawra",NA,NA,NA,"Regnell, A.",NA,NA,NA,NA,"Brésil",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00485342' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,"Brésil",NA,NA,NA,"P00485342",NA,NA,"III 2041","hb","P00485342_01",NA,NA
