"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","order","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","imagecode","typeStatus"
"1","2020-06-30 18:33:01-03","UFJF","CESJ","54556","PreservedSpecimen","Plantae","Hepática","Jungermanniaceae","Jungermannia","amoena","Jungermannia amoena","Lindenb. & Gottsche","H.C.S. Gomes; A.P. Luizi-Ponzo","2009","11","H.C.S. Gomes; T.S. Siviero; K.B.L. Baldini","227","2009","09","30","América do Sul","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Escada para Gruta dos Viajantes","-43.793098449707","-21.8425006866455","30417","Sobre paredão rochoso","CESJ054556","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-16 17:55:54-03","UCS","HUCS","29248","PreservedSpecimen","Plantae","Bryophyta","Jungermanniaceae","Jungermannia","amoena","Jungermannia amoena","Lindenb. & Gottsche","Yano, O.","2008","07","Pasini, E.","75","2006","06","10",NA,"Brasil","Rio Grande do Sul","Pantano Grande",NA,"-52.3736000061035","-30.1914005279541","34187","sobre barrancos",NA,"auto","Jungermanniales","25","300","300",NA,NA,NA,NA,NA
"3","2020-12-21 16:30:00-03","MBM","MBM","348755","PreservedSpecimen","Plantae",NA,"Jungermaniaceae","Jungermannia","amoena","Jungermannia amoena","Lindenb. & Gottsche","Yano, O.","2008","07","Pasini, E.","75","2006","06","10","Southern America","Brazil","Rio Grande do Sul","Pântano Grande",NA,"-52.3736000061035","-30.1914005279541","34187","Sobre barrancos","MBM348755","auto",NA,"25","300","300",NA,NA,NA,NA,NA
"4","2019-05-02 10:53:47-03","IBt","SP-BRYOPHYTA","132883","S","Plantae",NA,"Jungermanniaceae","Jungermannia","amoena","Jungermannia amoena","Lindb. & Gottsche","Vohna, J.N.",NA,NA,"Vital, D.M.","7778","1977","07","20","Southern America","BRASIL","Rio de Janeiro","Parati","Along road Parati - Cunha","-44.713056","-23.217778",NA,"on humid banks, on top of serra do mar","SP069519",NA,NA,NA,"1360","1360","-44.713056","-23.217778",NA,NA,NA
"5","2019-05-02 10:53:47-03","IBt","SP-BRYOPHYTA","410710","S","Plantae",NA,"Jungermanniaceae","Jungermannia","amoena","Jungermannia amoena","Lindb. & Gottsche",NA,NA,NA,"Yano, O.","31365","2008","11","30","Southern America","BRASIL","São Paulo","Ibiúna","Bairro Sorocabuçu, sítio Sky, 8 km da rod. SP-125","-47.2200012207031","-23.6499996185303","43112","No barranco úmido da estrada",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-04-23 15:06:23-03","MN","R-BRYOPHYTA","236287","PreservedSpecimen","Plantae","Marchantiophyta","Jungermanniaceae","Jungermannia","amoena","Jungermannia amoena","Lindenb. & Gottsche","Gaspar, E.P.","2019",NA,"Gaspar, E.P.","131",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344","38539","Pro part Cheilolejeunea oncophylla (Aongström) Grolle & E.Reiner.","R000236287","auto","Jungermanniales",NA,"2180","2180",NA,NA,"Jungermanniopsida","R000236287_001",NA
"7","2019-11-01 15:12:21-03","UnB","UB","126173","PreservedSpecimen","Plantae","Marchantiophyta","Jungermanniaceae","Jungermannia","amoena","Jungermannia amoena","Lindenb. & Gottsche","Costa, DP","2011","02","Vital, DM","0017229","1985","11","26","Southern America","Brasil","Distrito Federal",NA,"Próximo a um riachinho tributário do córrego Tortinho - PNB.",NA,NA,NA,"Associado a Riccardia e Symphyogyna; No solo úmido, ca 15m dos Buritis, mas já na faixa de transição entre cerrado e brejo.",NA,NA,NA,"01",NA,NA,NA,NA,NA,NA,NA
"8","2019-11-01 15:12:21-03","UnB","UB","144165","PreservedSpecimen","Plantae","Marchantiophyta","Jungermanniaceae","Jungermannia","amoena","Jungermannia amoena","Lindenb. & Gottsche","Zartman, C","2011","04","Faria, ALA","230","2010","12","05","Southern America","Brasil","Ilha da Trindade",NA,"Ilha da Trindade - POIT","-29.318333","-20.626389",NA,"Solo",NA,NA,NA,NA,"520","520","-29.318333","-20.626389",NA,NA,NA
"9","2019-11-01 15:12:21-03","UnB","UB","144164","PreservedSpecimen","Plantae","Marchantiophyta","Jungermanniaceae","Jungermannia","amoena","Jungermannia amoena","Lindenb. & Gottsche",NA,NA,NA,"Faria, ALA","229","2010","12","05","Southern America","Brasil","Ilha da Trindade",NA,"Ilha da Trindade - POIT","-29.318333","-20.626389",NA,"Solo",NA,NA,NA,NA,"520","520","-29.318333","-20.626389",NA,NA,NA
"10","2019-11-01 15:12:21-03","UnB","UB","144147","PreservedSpecimen","Plantae","Marchantiophyta","Jungermanniaceae","Jungermannia","amoena","Jungermannia amoena","Lindenb. & Gottsche","Costa, DP; Faria, ALA",NA,NA,"Faria, ALA","211","2010","12","05","Southern America","Brasil","Ilha da Trindade",NA,"Ilha da Trindade - POIT","-29.318333","-20.626389",NA,"Solo",NA,NA,NA,NA,"520","520","-29.318333","-20.626389",NA,NA,NA
"11","2014-09-23 10:58:00-03","G","G","G00067684","S","Plantae",NA,"Jungermanniaceae","Jungermannia","papulosa","Jungermannia papulosa","Steph.","?",NA,NA,"Martins, C. F.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,"Coordinate uncertainty: Precision at the level of country Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=132519&base=img&lang=en","G00067684",NA,NA,NA,NA,NA,"-53.08972222","-10.77305556",NA,"G00067684","HOLOTYPUS of Jungermannia papulosa Steph."
"12","2014-09-23 10:58:00-03","G","G","G00112138","S","Plantae",NA,"Jungermanniaceae","Jungermannia","papulosa","Jungermannia papulosa","Steph.","?",NA,NA,"Lindman, C. A. M.",NA,NA,NA,NA,"AMERIQUE DU SUD","Brazil","Minas Gerais",NA,NA,"-45.44222222","-18.78777778",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=134966&base=img&lang=en","G00112138",NA,NA,NA,NA,NA,"-45.44222222","-18.78777778",NA,"G00112138","HOLOTYPUS of Jungermannia papulosa Steph."
