"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","locality","minimumElevationInMeters","maximumElevationInMeters","imagecode","recordNumber","infraspecificEpithet","coordinatePrecision","geoFlag","phylum","order","continentOcean","preparationType","class","previousCatalogNumber","typeStatus","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"1","2021-04-05 14:26:09-03","UNESC","CRI","14169","PreservedSpecimen","Plantae","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","Robson dos Santos & Vanilde Citadini","2001","11","01","Robson dos Santos & Vanilde Citadini","2001","11","01","Brasil","Santa Catarina","Praia Grande","-49.950278","-29.198611","49º57'1''W","29º11'55''S","Habitat: Terrestre Habito: Arbórea","CRI012821",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:09-03","UNESC","CRI","3388","PreservedSpecimen","Plantae","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","L. A. Mentz",NA,NA,NA,"Maria Costa Rebelo","1993","11","18","Brasil","Santa Catarina","Forquilhinha","-49.466667","-28.733333","49º28'W","28º44'S",NA,"CRI007674","Parque Ecológico de Forquilhinha.","42","42","CRI007674",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:13-03","UNESC","CRI","7588","PreservedSpecimen","Plantae","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","Marcelo Romagna Pasetto","2008","02","13","Marcelo Romagna Pasetto; Vanilde Citadini-Zanette","2008","02","13","Brasil","Santa Catarina","Siderópolis","-49.424722","-28.598333","49º25'29''W","28º35'54''S",NA,"CRI007494",NA,NA,NA,"CRI007494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:34:13-03","UNESC","CRI","1491","PreservedSpecimen","Plantae","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","L. A. Mentz","1997","06","28","R. Negrelle","1993","01","21","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S",NA,"CRI007671",NA,NA,NA,"CRI007671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:34:13-03","UNESC","CRI","1490","PreservedSpecimen","Plantae","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","G. Vendruscolo","2006","08","03","R. Negrelle; L. A. Mentz","1992","11","16","Brasil","Santa Catarina","Itapoá","-48.616389","-26.1175","48º36'59''W","26º7'3''S",NA,"CRI007673",NA,NA,NA,"CRI007673","577",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:34:13-03","UNESC","CRI","8255","PreservedSpecimen","Plantae","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","Vanilde Citadini-Zanette","2006",NA,NA,"Tanise Boeira Pelegrine Bertolin","2006",NA,NA,"Brasil","Santa Catarina","Criciúma","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,"CRI007498",NA,NA,NA,"CRI007498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:26:09-03","UNESC","CRI","3072","PreservedSpecimen","Plantae","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina inaequale",NA,"L. A. Mentz",NA,NA,NA,"Robson dos Santos; Sebastião Aleques Macedo Waltrick","1994","05","13","Brasil","Santa Catarina","Içara","-49.3","-28.7","49º18'W","28º42'S",NA,"CRI007657","Esplanada.","5","5","CRI007657","24","inaequale",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:26:09-03","UNESC","CRI","12172","PreservedSpecimen","Plantae","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","Stehmann, JR","2010","09","02","Stival-Santos, A.; Legal, E. & Silveira, S.","2010","02","05","Brasil","Santa Catarina","Antônio Carlos","-48.870278","-27.539444","48º52'13''W","27º32'22''S","Florística IFFSC 350 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio médio de regeneração; interior do fragmento Habito: arbórea; Fruto verde;","CRI010350","Santa Maria.","220","220","CRI010350","2066",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:26:09-03","UNESC","CRI","13997","PreservedSpecimen","Plantae","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","Renato Colares","2018","10","18","Valdemar Boff & Vanilde Citadini","1998","11","20","Brasil","Santa Catarina","Criciúma","-49.370278","-28.678333","49º22'13''W","28º40'42''S","Habitat: Terrestre Habito: Arbórea","CRI012640","São Simão",NA,NA,"CRI012640",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:13-03","UNESC","CRI","6467","PreservedSpecimen","Plantae","Solanaceae","Solanum","pseudoquina","Solanum pseudoquina","A.St.-Hil.","L. A. Mentz","1999","01","12","J. A. Jarenkow","1998","07","26","Brasil","Rio Grande do Sul","Marcelino Ramos","-51.907778","-27.465278","51º54'28''W","27º27'55''S",NA,"CRI007503",NA,"460","460","CRI007503","3858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
