"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1034328","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.","R. Spichiger","A. C. Cervi","CA7295","1994","12","14","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada","-36.42","-9.25","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1250798' target='other'> <mi>dwc_moreinfo</mi></a>","NY01034328","NY01034328_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01198290","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.","R. Riina","W. W. Thomas","13720","2004","01","31","South America","Brazil","Minas Gerais","Salto da Divisa","Estação Repetidora de Salto da Divisa, 1.9 km S of road from Salto da Divisa to Itajimirim, 7.1 km E of Salto da Divisa.","-39.9214","-16.0286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796942' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198290","NY01198290_01","495","495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","262907","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"A. F. Regnell","402",NA,NA,NA,"South America","Brazil","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=294777' target='other'> <mi>dwc_moreinfo</mi></a>","NY00262907","NY00262907_01",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:38:21-03","EAO","IAN","5252","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"sc","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN005252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-30 12:38:10-03","EAO","IAN","94411","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Glaziou, AFM","16341",NA,NA,NA,"Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"IAN094411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-10-09 11:14:16-03","UFBA","ALCB","11600","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus genuinus","Müll.Arg.",NA,"s.col.","s/n",NA,NA,NA,"Southern America","Brasil",NA,NA,"Comum em Minas, Rio",NA,NA,NA,NA,"ALCB015702","ALCB015702",NA,NA,NA,"genuinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:14:16-03","UFBA","ALCB","11600","PreservedSpecimen","Plantae","Dicotyledon",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus genuinus","Müll.Arg.",NA,"s.col.","s/n",NA,NA,NA,"Southern America","Brasil",NA,NA,"Comum em Minas, Rio",NA,NA,NA,NA,"ALCB015702","ALCB015702",NA,NA,NA,"genuinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:47:59-03","NBC","NL-BOTANY","U.1267636","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Mexia YEJ",NA,"1930","04","04","Southern America","Brazil",NA,NA,"Plants of Brazil, State of minas Geraes, Viçosa, Road to são Miquel just beyond km 4.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1267636 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1267636","NL-U1267636",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:47:59-03","NBC","NL-BOTANY","U.1267637","PreservedSpecimen","Plantae",NA,"Malpighiales","Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll.Arg.",NA,"Mexia YEJ",NA,"1930","10","29","Southern America","Brazil",NA,NA,"Plants of Brazil, State of Minas Geraes, Viçosa, Road to São Miquel;on slope near km 5 at border of forest.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1267637 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1267637","NL-U1267637",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-04 11:07:28-03","ESALQ","ESA","27152","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Euphorbiaceae","Croton","hemiargyreus","Croton hemiargyreus","Müll. Arg.","Caruzo, M.B.R.","Cardoso-Leite, E. ; Oliveira, A.","56.0","1993","07","21",NA,"Brasil","São Paulo","São Roque",NA,"-47.1300010681152","-23.5200004577637",NA,NA,"ESA027152","ESA027152",NA,NA,NA,NA,NA,"15567","auto",NA,NA,NA,NA,NA,NA,NA,NA
