"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","typeStatus","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","00924519","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","asperatum","Dimerostemma asperatum","S.F.Blake","H. S. Irwin","8037","1965","09","07","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, ca. 25 km NE of Brasília","-47.75172","-15.62355","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004125' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","168190","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","asperatum","Dimerostemma asperatum","S.F.Blake","C. E. O. Kuntze","s.n.","1892","07",NA,"South America","Bolivia",NA,NA,"Ost Velasco",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93161' target='other'> <mi>dwc_moreinfo</mi></a>","NY00168190","isotype","NY00168190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02702072","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","asperatum","Dimerostemma asperatum","S.F.Blake","M. F. Simon","2092","2014","03","19","South America","Brazil","Mato Grosso","Vila Bela da Santíssima Trindade","Serra de São Vicente, 38 Km N do entroncammento com a BR- 174, em estrada vicinal, em direção à mina São Francisco.","-59.6069","-14.8706","720",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2994343' target='other'> <mi>dwc_moreinfo</mi></a>","NY02702072",NA,"NY02702072_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00941493","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","lippioides","Dimerostemma lippioides","(Baker) S.F.Blake","H. S. Irwin","13556","1966","03","05","South America","Brazil","Goiás","Cristalina","Serra dos Cristais, ca. 10 km W. of Cristalina","-47.69379","-16.75","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015870' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941493",NA,"NY00941493_01","H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00941498","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","lippioides","Dimerostemma lippioides","(Baker) S.F.Blake","G. G. Hatschbach","36035","1975","02","11","South America","Brazil","Mato Grosso","Cuiabá","BR 364, km 113.","-56.0967","-15.5961",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015900' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941498",NA,"NY00941498_01","J. F. Pruski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00941492","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","lippioides","Dimerostemma lippioides","(Baker) S.F.Blake","H. S. Irwin","13950","1966","03","14","South America","Brazil","Distrito Federal","Brasília","North end of Lagôa Paranoá","-47.87","-15.72","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015861' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941492",NA,"NY00941492_01","H. E. Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00941491","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","lippioides","Dimerostemma lippioides","(Baker) S.F.Blake","J. H. Kirkbride Jr.","3891a","1981","02","19","South America","Brazil","Distrito Federal","Brasília","Na região de Barra Alta, este do Córrego São Gonçalo.","-47.52","-15.8","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015856' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941491",NA,"NY00941491_01","M. Dias de Moraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00941496","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","lippioides","Dimerostemma lippioides","(Baker) S.F.Blake","G. G. Hatschbach","53794","1990","02","11","South America","Brazil","Distrito Federal","Brasília","Planaltina, Rod. DF-345, km 5-10.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941496",NA,"NY00941496_01","M. Dias de Moraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00941495","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","lippioides","Dimerostemma lippioides","(Baker) S.F.Blake","H. S. Irwin","10720","1965","11","27","South America","Brazil","Distrito Federal","Brasília","Immediately west of Setor Industrial, Brasilia","-47.9296989440918","-15.7797002792358","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015880' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941495",NA,"NY00941495_01",NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00941490","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","lippioides","Dimerostemma lippioides","(Baker) S.F.Blake","J. R. Pirani","2113","1988","02","10","South America","Brazil","Distrito Federal","Brasília","Chapada da Contagem, Rodovia para Brasilândia, ca. 1 km do trevo com BR 060.","-47.95","-15.58",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015815' target='other'> <mi>dwc_moreinfo</mi></a>","NY00941490",NA,"NY00941490_01","M. Dias de Moraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
