"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","stateProvince","county","decimalLongitude","decimalLatitude","imagecode","locality","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","typeStatus","fieldNumber","individualCount","sex"
"1","2020-09-23 10:42:02-03","E","E","104498","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","spectabilis","Ouratea spectabilis","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","08","02","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113724","<a href=http://data.rbge.org.uk/herb/E00104498 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:42:02-03","E","E","104497","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","spectabilis","Ouratea spectabilis","Ratter, J.A., Bridgewater, S. & dos Santos, J. Batista","1998","07","24","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:113725","<a href=http://data.rbge.org.uk/herb/E00104497 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00104497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:42:02-03","E","E","100462","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","spectabilis","Ouratea spectabilis","Bridgewater, S., Ratter, J.A., Filho, J.F. & Dias, T.","1999","08","19","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109856","<a href=http://data.rbge.org.uk/herb/E00100462 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100462",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","823432","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","spectabilis","Ouratea spectabilis","A. S. Grotta","1964","09","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=949829' target='other'> <mi>dwc_moreinfo</mi></a>","NY00823432","Magnoliophyta","Malpighiales","(Mart. ex Engl.) Engl.","K. Yamamoto","303","São Paulo","Araraquara","-48.1697","-21.7903","NY00823432_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","642182","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","spectabilis","Ouratea spectabilis","A. C. Cervi","1993","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52437' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642182","Magnoliophyta","Malpighiales","(Mart. ex Engl.) Engl.","A. C. Cervi","4175","Paraná","Tibagi","-50.3","-24.5","NY00642182_01","Parque Estadual de Guartelá",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1128016","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","spectabilis","Ouratea spectabilis","G. Eiten","1960","09","23","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1274347' target='other'> <mi>dwc_moreinfo</mi></a>","NY01128016","Magnoliophyta","Malpighiales","(Mart. ex Engl.) Engl.","K. Yamamoto","2401","São Paulo","Moji-Mirim",NA,NA,"NY01128016_01","1 km. west of Moji Mirim.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 23:03:00-03","NY","NYBG","00972562","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","spectabilis","Ouratea spectabilis","R. C. de Mendonça","1980","07","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102978' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972562","Magnoliophyta","Malpighiales",NA,"R. C. de Mendonça","136","Distrito Federal","Brasília","-48.03","-15.55","NY00972562_01",NA,"1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","642187","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","spectabilis","Ouratea spectabilis","I. Silberbauer-Gottsberger","1970","08","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=52438' target='other'> <mi>dwc_moreinfo</mi></a>","NY00642187","Magnoliophyta","Malpighiales","(Mart. ex Engl.) Engl.","I. Silberbauer-Gottsberger","290","São Paulo","Botucatu","-48.42","-22.75","NY00642187_01","18 km north of Botucatu, (14 km east of Sao Manuel). Along the Sao Manuel-Piracicaba highway. Near ex-RR station, <<13 de Maio>>","550","550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-30 01:03:00-03","NY","NYBG","1127968","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","spectabilis","Ouratea spectabilis","A. Macedo","1949","08","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1272463' target='other'> <mi>dwc_moreinfo</mi></a>","NY01127968","Magnoliophyta","Malpighiales",NA,"K. Yamamoto","1901","Goiás","Jataí","-51.7142","-17.8817","NY01127968_01","Queixada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00972561","PreservedSpecimen","Plantae","Ochnaceae","Ouratea","spectabilis","Ouratea spectabilis","G. G. Hatschbach","1970","08","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1102962' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972561","Magnoliophyta","Malpighiales","(Mart. ex Engl.) Engl.","K. Yamamoto","24538","Mato Grosso do Sul","Rio Brilhante","-54.5464","-21.8019","NY00972561_01","Casa Branca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
