"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","country","stateProvince","individualCount","occurrenceRemarks","year","month","day","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","infraspecificEpithet","recordNumber","continentOcean","preparationType","barcode","imagecode","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","typeStatus","fieldNumber","sex"
"1","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","714","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","pyramidalis","Billbergia pyramidalis","(Sims) Lindl.","Elton. C. M. Leme","2011","08","Celso Perez;","Brasil","São Paulo","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","625","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","pyramidalis","Billbergia pyramidalis","(Sims) Lindl.","Elton. C. M. Leme","2011","08","Elton M. C. Leme;","Brasil","Rio de Janeiro","1","254","2002","07","19","Angra dos Reis","Fazenda do Frade, Mata Atlântica","-44.3180999755859","-23.0067005157471","32988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","188","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","pyramidalis","Billbergia pyramidalis","(Sims) Lindl.","Elton. C. M. Leme","2011","08","Antônio Toscano de Brito;","Brasil","Rio de Janeiro","1","254",NA,NA,NA,"Nova Friburgo","Macaé de Cima (localidade/APP)","-42.5311012268066","-22.2819004058838","33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","760","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","pyramidalis","Billbergia pyramidalis kioto","(Sims) Lindl.","Elton. C. M. Leme","2009","05",NA,NA,NA,"1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,"kioto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","758","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","pyramidalis","Billbergia pyramidalis var. concolor","(Sims) Lindl.","Elton. C. M. Leme","2011","08","Elton M. C. Leme;","Brasil","Rio de Janeiro","1","254","1980",NA,NA,"Silva Jardim","Gaviões (localidade rural). Fazenda Nossa Senhora da Conceição","-42.3917007446289","-22.6508007049561","29995","auto","var. concolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","759","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","pyramidalis","Billbergia pyramidalis var. lutea","(Sims) Lindl.","Elton. C. M. Leme","2011","08","Elton M. C. Leme;","Brasil","Rio de Janeiro","1","254","1978","01",NA,NA,NA,NA,NA,NA,NA,"var. lutea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","576","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","pyramidalis","Billbergia pyramidalis var. lutea","(Sims) Lindl.","Elton. C. M. Leme","2009","05","Bruno Rezende Silva; Angelo S. Garcia","Brasil","Rio de Janeiro","2","254",NA,NA,NA,"Rio Bonito",NA,"-42.6096992492676","-22.7085990905762","20195","auto","var. lutea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","1206","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","pyramidalis","Billbergia pyramidalis var. variegata","(Sims) Lindl.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","1","254",NA,NA,NA,"Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232","57442","auto","var. variegata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","758","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","pyramidalis","Billbergia pyramidalis var. concolor","(Sims) Lindl.","Elton. C. M. Leme","2011","08","Elton M. C. Leme;","Brasil","Rio de Janeiro","1","254","1980",NA,NA,"Silva Jardim","Gaviões (localidade rural). Fazenda Nossa Senhora da Conceição","-42.3917007446289","-22.6508007049561","29995","auto","var. concolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:41-03","FZB-BH","CVJBFZB","759","S","Plantae","Magnoliophyta","Poales","Bromeliaceae","Billbergia","pyramidalis","Billbergia pyramidalis var. lutea","(Sims) Lindl.","Elton. C. M. Leme","2011","08","Elton M. C. Leme;","Brasil","Rio de Janeiro","1","254","1978","01",NA,NA,NA,NA,NA,NA,NA,"var. lutea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
