"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","class","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","557704","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","G. G. Hatschbach","24717","1970","09","18","South America","Brazil","Paraná","Balsa Nova","Serra Sao Luis","-49.6356","-25.5842","1100","1100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=426058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00557704","NY00557704_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:35-03","UFRJ","RFA","8226","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","bacillaris","Pleurothallis bacillaris","Pabst","G.G. Hatschbach","14818","1966","10","10",NA,"Brasil","Paraná","São José dos Pinhais","Col. Roseira","-49.2064018249512","-25.5347003936768",NA,NA,NA,"Epífita, flor interior bordeau, exterior verde-azeitona","RFA31837",NA,"G.G. Hatschbach","45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:38-03","PUCPR","HUCP","24850","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Koene, F M","s.n.","2015",NA,NA,NA,"Brasil","Santa Catarina","Garuva","Proveniente de orquidário e cultivada na UFPR","-48.8549995422363","-26.0266990661621",NA,NA,NA,NA,"HUCP00024850","HUCP00024850",NA,"22441","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-12-04 15:26:38-03","PUCPR","HUCP","17806","S","Plantae","Monocotiledonea",NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Kersten, RA","943","2004","08","27",NA,"Brasil","Paraná","Balsa Nova","Ponte dos Arcos","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"HUCP00003080","HUCP00003080","Singer, R","27346","auto","2006","02",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-03-01 12:47:40-03","UTFPR","HCF","30697","S","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","V. Ariati","1663","2019","07","01",NA,"Brasil","PR","Tibagi","UHE Tibagi Montante","-50.4136009216309","-24.5093994140625",NA,NA,NA,"epífita, flor marrom com listras verdes externamente e de cor vinho internamente. Floresta Ombrófila Mista.",NA,NA,"V. Ariati","56988","auto","2019","06",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:38:42-03","MBM","MBM","415369","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Roher, D.; Sendin, V.; Sendin, V.","316","2018","08","29","Southern America","Brazil","Paraná","Tibagi","UHE Tibagi Montante, margem direita","-50.406111","-24.534722","715","715",NA,"Epifitismo a cerca de 7m de altura em Copaifera langsdorffi, flores cor de vinho.; Floresta Ombrófila Mista, borda de mata.","MBM415369",NA,"Roher, D.",NA,NA,"2018","12","07","-50.406111","-24.534722",NA,NA,NA,NA,NA
"7","2020-12-21 16:38:42-03","MBM","MBM","424091","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Ariati, V.; Roher, D.; Bittencourt, L.S.; Roher, D.; Bittencourt, L.S.","1627","2019","06","26","Southern America","Brazil","Paraná","Tibagi","UHE Tibagi Montante","-50.4136009216309","-24.5093994140625",NA,NA,NA,"Epífita, flor marrom com listras verdes externamente e de cor vinho internamente.; Floresta Ombrófila Mista.","MBM424091",NA,NA,"56988","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:38:42-03","MBM","MBM","424127","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Ariati, V.; Roher, D.; Bittencourt, L.S.; Roher, D.; Bittencourt, L.S.","1663","2019","07","01","Southern America","Brazil","Paraná","Tibagi","UHE Tibagi Montante","-50.4136009216309","-24.5093994140625",NA,NA,NA,"Epífita, flor marrom com listras verdes externamente e de cor vinho internamente.; Floresta Ombrófila Mista.","MBM424127",NA,"Ariati, V.","56988","auto","2019","06",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:38:42-03","MBM","MBM","424267","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pabstiella","bacillaris","Pabstiella bacillaris","(Pabst) Luer","Bonin Junior, P.; Bittencourt, L.S.; Bittencourt, L.S.","659","2019","07","21","Southern America","Brazil","Paraná","Tibagi","UHE Tibagi Montante, Ilha do cortado","-50.4136009216309","-24.5093994140625",NA,NA,NA,"Epífita. Flor de cor roxo escuro.","MBM424267",NA,"Bonin Junior, P.","56988","auto","2019",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:38:44-03","MBM","MBM","16594","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Pleurothallis","bacillaris","Pleurothallis bacillaris","Pabst","Hatschbach, G.","24717","1970","09","18","Southern America","Brazil","Paraná","Balsa Nova","Serra São Luís","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"MBM016594","MBM016594","Hatschbach, G.","27346","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
