"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","relationshipType","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:26:00-03","UNESC","CRI","2845","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","L. B. Smith","R. M. Klein","1963","11","01","Brasil","Santa Catarina","Lages","Vacas Gordas.","-50.326389","-27.816389","50º19'35''W","27º48'59''S","800","800","CRI009127","CRI009127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","502142","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Ehrend.","P. G. Delprete","J. E. Leite","1942","11",NA,"Brazil","Rio Grande do Sul","Sao Leopoldo","Sao Leopoldo","-51.143791","-29.75136",NA,NA,NA,NA,"NY00502142","NY00502142_01","Magnoliophyta","Gentianales","3109","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260595' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02447198","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Ehrend.","F. Ehrendorfer","G. G. Hatschbach","1970","11","17","Brazil","Paraná","Piraí do Sul","Tijuco Preto","-49.9483","-24.5261",NA,NA,NA,NA,"NY02447198","NY02447198_01","Magnoliophyta","Gentianales","25407","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2618411' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","502140","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Ehrend.","P. G. Delprete","R. Reitz","1962","10","27","Brazil","Santa Catarina","Pôrto Uniao",NA,"-51.0781","-26.2383",NA,NA,"750","750","NY00502140","NY00502140_01","Magnoliophyta","Gentianales","13675","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260594' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","502141","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Ehrend.","P. G. Delprete","R. Kummrow","1985","01",NA,"Brazil","Paraná","Piraquara","Rio Iraí","-49.0631","-25.4419",NA,NA,NA,NA,"NY00502141","NY00502141_01","Magnoliophyta","Gentianales","2513","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=260593' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:24:06-03","NBC","NL-BOTANY","U.1562489","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","Delprete PG","Lindeman JC; Irgang BE","1971","10","16","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1562489","NL-U1562489",NA,"Gentianales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1562489 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","U 0100050",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:24:06-03","NBC","NL-BOTANY","U.1562490","PreservedSpecimen","Plantae","Rubiaceae","Galium","equisetoides","Galium equisetoides","(Cham. & Schltdl.) Standl.","Delprete PG","Hatschbach GG; Lindeman JC; Haas JH de","1966","02","10","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"NL-U1562490","NL-U1562490",NA,"Gentianales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1562490 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae","U 0100051",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:27:41-03","NBC","NL-BOTANY","L.2955952","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.",NA,"Klein RM","1963","10","31","Brazil",NA,NA,"Santa Catarina. São José do Cerrito, Banhado.",NA,NA,NA,NA,NA,NA,"NL-L2955952","NL-L2955952",NA,"Gentianales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2955952 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:27:41-03","NBC","NL-BOTANY","L.2955953","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.",NA,"Hatschbach GG","1959","09","17","Brazil",NA,NA,"Est: Parana (BRASIL), Mun: Tijucas do Sul, Tabatinga.",NA,NA,NA,NA,NA,NA,"NL-L2955953","NL-L2955953",NA,"Gentianales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2955953 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:27:41-03","NBC","NL-BOTANY","WAG.1401321","PreservedSpecimen","Plantae","Rubiaceae","Relbunium","equisetoides","Relbunium equisetoides","(Cham. & Schltdl.) Ehrend.",NA,"Kummrow R","1976","10","13","Brazil",NA,NA,"Rio Iguaçu (mun. Araucaria) Paraná.",NA,NA,NA,NA,NA,NA,"NL-WAG1401321","NL-WAG1401321",NA,"Gentianales",NA,"Southern America",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1401321 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
