"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus","class","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","454396","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","pachysandra","Mollinedia pachysandra","Perkins","A. F. M. Glaziou","7830","1874","08","04","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Tijuca","-43.274528","-22.95583","sheet","donné par Mme SIMARD, sa fille, en 1907 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651604' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454396","NY00454396_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","454397","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","pachysandra","Mollinedia pachysandra","Perkins","B. Maguire","44554","1959","12","06","South America","Brazil","São Paulo","Sao Paulo","Biological station (Sao Paulo) at Paranapiacaba","-46.3","-23.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651603' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454397","NY00454397_01","R. E. Schönfelder","792","853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","454395","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Monimiaceae","Mollinedia","pachysandra","Mollinedia pachysandra","Perkins","B. Maguire","44554","1959","12","06","South America","Brazil","São Paulo","Sao Paulo","Biological station (Sao Paulo) at Paranapiacaba","-46.3","-23.75","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=651602' target='other'> <mi>dwc_moreinfo</mi></a>","NY00454395","NY00454395_01","R. E. Schönfelder","792","853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:14:07-03","ESALQ","ESA","69242","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Monimiaceae","Mollinedia","pachysandra","Mollinedia pachysandra","Perkins","Oliveira, A.A.; Mendes, J.C.T.; Ferraz, K.M.B.; Ferraz, S.F.B.; Silva, E.V.; Valente, R.; Rocha, E.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.","3638.0","2000","04","21",NA,"Brasil","São Paulo","São Sebastião","Parque Estadual da Serra do Mar, Cachoeira do Sítio Urucurana. Trilha do escorrega, às margens do Rio Una. Floresta Ombrófila densa de Encosta. Interior de mata.",NA,"-234.243",NA,"Árvore com 3m de altura, frutos imaturos verdes.","ESA069242","ESA069242","Franco, G.A.D.C.","130","130","-4,542,292","-234,243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:14:07-03","ESALQ","ESA","12630","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Monimiaceae","Mollinedia","pachysandra","Mollinedia pachysandra","Perkins","Campos, M.T.V.A. et al.","158.0","1991","04","20",NA,"Brasil","São Paulo","Ilhabela",NA,"-45.3499984741211","-23.7700004577637",NA,NA,"ESA012630","ESA012630","Peixoto, A.L.",NA,NA,NA,NA,"1998","01","01","23719","auto",NA,NA,NA,NA,NA
"6","2021-03-01 16:35:45-03","UNICAMP","UEC","166837","S","Plantae","Magnoliopsida",NA,"Monimiaceae","Mollinedia","pachysandra","Mollinedia pachysandra","Perkins","Padgurschi, MCG; Tamashiro, JY; Belinello, R","914","2008",NA,NA,NA,"Brazil","São Paulo","São Luiz do Paraitinga","Núcleo Santa Virgínia, Parcela K.","-45.068056","-23.325278",NA,"K1029 Árvore, ca. 9,5 m, com frutos; espécie abudnante na área.; Floresta Ombrófila Densa Montana.","UEC039833","UEC039833",NA,"1054","1093","-45.068056","-23.325278","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-01 16:35:45-03","UNICAMP","UEC","116398","S","Plantae","Magnoliopsida",NA,"Monimiaceae","Mollinedia","pachysandra","Mollinedia pachysandra","Perkins","Oliveira, AA; Mendes, JCT; Ferraz, KMB; Ferraz, SFB; Silva, EV; Valente, R; et al.","s.n.","2000","04","21",NA,"Brazil","São Paulo","São Sebastião","Parque Estadual da Serra do Mar, Cachoeira do Sítio Urucurana. Trilha o escorrega, ás margens do Rio Una. Florest ombrófila densa de encosta.","-45.708111","-23.712",NA,"Árvore com 3m de altura, frutos imaturos verdes. interior da mata.",NA,NA,"Franco, G","130","130","-45.708111","-23.712","2000","04",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:35:45-03","UNICAMP","UEC","166905","S","Plantae","Magnoliopsida",NA,"Monimiaceae","Mollinedia","pachysandra","Mollinedia pachysandra","Perkins","Stefani, EJF; Belinello, R; Galvão, JC","85","2010","05","30",NA,"Brazil","São Paulo","Caraguatatuba","Parque Estadual da Serra do Mar","-45.503889","-23.624444",NA,"Árvore com 11 m.; Mata Atlântica.","UEC098723","UEC098723","Stefani, EJF","50","90","-45.503889","-23.624444","2010","12",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:35:45-03","UNICAMP","UEC","167062","S","Plantae","Magnoliopsida",NA,"Monimiaceae","Mollinedia","pachysandra","Mollinedia pachysandra","Perkins","Stefani, EJF; Belinello, R; Galvão, JC","303","2011","07","01",NA,"Brazil","São Paulo","Paraibuna","Parque Estadual da Serra do Mar.","-45.534444","-23.601667",NA,"Árvore com 16 m.; Mata atlântica.","UEC018051","UEC018051","Stefani, EJF","800","900","-45.534444","-23.601667","2011","11",NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:35:45-03","UNICAMP","UEC","160411","S","Plantae","Magnoliopsida",NA,"Monimiaceae","Mollinedia","pachysandra","Mollinedia pachysandra","Perkins","Marchiori, NM; Toledo, W; Munhoz, I; Cano, GB; Santos, FC","470","2011","03","13",NA,"Brazil","São Paulo","São Luiz do Paraitinga","Parque Estadual da Serra do Mar","-45.945278","-23.330333",NA,"Material vegetativo. Cerca de 11 m de altura e 5 indivíduos distribuídos em 1 ha.; Floresta Ombrófila Densa Montana.","UEC009949","UEC009949","Lirio, EJ","999","999","-45.945278","-23.330333","2016",NA,NA,NA,NA,NA,NA,NA,NA,NA
