"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","barcode","typeStatus","imagecode","continentOcean","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","geoFlag","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-08-27 13:33:47-03","IAP","PACA-AGP","116004","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Umbellales","Umbelliferae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","Diober Lucas","2015","11","25","A. Sehnem","7763","1961","01","17","Brasil","RS","Aparados da Serra","Serra da Rocinha","Habitat: Ad declivium.","PACA116004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:33:47-03","IAP","PACA-AGP","32470","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Umbellales","Umbelliferae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","B. Irgang","1973",NA,NA,"Rambo, B.",NA,"1946","02","28","Brasil","RS","Serra da Rocinha",NA,"VULNERÁVEL&nf;fl. Habitat: in saxosis turfosis Fenofase: flor","PACA032470","Paratipo","PACA032470 PACA032470_A",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-08-27 13:33:47-03","IAP","PACA-AGP","35252","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Umbellales","Umbelliferae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","B. Irgang","1973",NA,NA,"Rambo, B.",NA,"1947","02","14","Brasil","RS","Serra da Rocinha",NA,"VULNERÁVEL&nf;fl. Habitat: in rupestribus parce humosis Fenofase: flor","PACA035252","Paratipo","PACA035252",NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-27 13:33:47-03","IAP","PACA-AGP","45368","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Umbellales","Umbelliferae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","B. Irgang","1973",NA,NA,"Rambo, B.",NA,"1950","01","18","Brasil","RJ","Serra da Rocinha",NA,"fl Habitat: in turfosis graminosis Fenofase: flor","PACA045368","Paratipo","PACA045368 PACA045368_A",NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-08-27 13:33:47-03","IAP","PACA-AGP","50417","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Umbellales","Umbelliferae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","B. Irgang","1973",NA,NA,"Sehnem, A.","4258","1950","01","19","Brasil","RS","Serra da Rocinha",NA,"VULNERÁVEL&nf;fl. Habitat: in rupestribus humosis Fenofase: flor","PACA050417","Paratipo","PACA050417 PACA050417_A",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-08-27 13:33:47-03","IAP","PACA-AGP","53856","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Umbellales","Umbelliferae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","B. Irgang","1973",NA,NA,"Rambo, B.",NA,"1953","02","03","Brasil","RS","Serra da Rocinha",NA,"VULNERÁVEL&nf;fl. Habitat: in saxosis humidis graminosis Fenofase: flor","PACA053856","Holotipo","PACA053856_A PACA053856_B PACA053856_C PACA053856_D",NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-08-27 13:33:47-03","IAP","PACA-AGP","8599","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Umbellales","Umbelliferae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","Emrich-Rambo","1954","09","25","Rambo, B.",NA,"1942","01","14","Brasil","RS","Serra da Rocinha",NA,"VULNERÁVEL&nf;fl. Habitat: in rupestribus parce humosis Fenofase: flor","PACA008599","Paratipo","PACA008599",NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-01-17 11:23:54-02","PUCRS","MPUC","8622","S","Plantae",NA,"Magnoliopsida","Apiales","Apiaceae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","N.I. Matzenbacher","1998","01","01",NA,NA,"1995","01","27","Brasil","RS","São José dos Ausentes",".","Coleta em turfeira",NA,NA,NA,"South America","-50.0657997131348","-28.7483005523682","42598","1","auto",NA,NA
"9","2019-01-17 11:23:54-02","PUCRS","MPUC","16136","S","Plantae",NA,"Magnoliopsida","Apiales","Apiaceae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","N.I. Matzenbacher","1976","01","01",NA,NA,"1976","01","30","Brasil","RS","Bom Jesus","Serra da Rocinha",NA,NA,NA,NA,"South America","-50.4166984558105","-28.6678009033203","55856","1","auto",NA,NA
"10","2020-03-11 09:00:10-03","URCA","HCDAL","12733","PreservedSpecimen","Plantae",NA,NA,NA,"Apiaceae","Eryngium","falcifolium","Eryngium falcifolium","Irgang.","Linhares, K. .V.","2017","06","12","Silva, I. .V.","s.n.","2016","11","22","Brasil","Ceará","Barbalha","Sitio Boa Vista, Chapada do Araripe","Herbáceo ca. 20cm; flor de cor amarela.",NA,NA,NA,NA,"-39.30419921875","-7.31111001968384","22868",NA,"auto",NA,NA
"11","2021-02-08 12:31:54-03","UFRGS","ICN","106350","S","Plantae","Dicotyledon",NA,NA,"Apiaceae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","Matzenbacher, NI",NA,NA,NA,"Matzenbacher, NI","s.n.","1995","01","27","Brasil","RS","Rocinha",NA,"Espécie ameaçada de extinção (Vulnerável).; Em turfeiras.",NA,NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA
"12","2021-02-08 12:31:54-03","UFRGS","ICN","029173","S","Plantae","Dicotyledon",NA,NA,"Apiaceae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","Hagelund, K",NA,NA,NA,"Hagelund, K","8972 dupl.A","1975","01","21","Brasil","RS","Bom Jesus",NA,"Espécie ameaçada de extinção (Vulnerável).; Entre gramínea.",NA,NA,NA,"América do Sul","-50.4166984558105","-28.6678009033203","55856",NA,"auto","1250","1250"
"13","2021-02-08 12:31:54-03","UFRGS","ICN","193546","S","Plantae","Dicotyledon",NA,NA,"Apiaceae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","Diober, L","2017","02","01","Hagelund, K","8972","1975","01","21","Brasil","RS","Bom Jesus",NA,"Entre gramínea",NA,NA,NA,"América do Sul","-50.4166984558105","-28.6678009033203","55856",NA,"auto",NA,NA
"14","2021-02-08 12:31:54-03","UFRGS","ICN","185571","S","Plantae","Dicotyledon",NA,NA,"Apiaceae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","Lucas, D","2016","03","20","Rabuske, C","CRS12","2016","03","18","Brasil","RS","São José dos Ausentes","Serra da Rocinha","Espécie ameaçada de extinção (EN-Em Perigo) no Brasil.; Erva de folhas serrilhadas, flores azuladas. Populações esparsas no campo.; Beira da BR 285 próximo ao mirante na divisa Timbé-Ausentes, no campo.",NA,NA,NA,"América do Sul","-50.0657997131348","-28.7483005523682","42598",NA,"auto",NA,NA
"15","2021-02-08 12:31:54-03","UFRGS","ICN","147988","S","Plantae","Dicotyledon",NA,NA,"Apiaceae","Eryngium","falcifolium","Eryngium falcifolium","Irgang","Lucas, DB","2016","02","22","Matzenbacher, NI","s.n.","1994","12","09","Brasil","SC","Bom Jardim da Serra","Serra do Rio do Rastro",NA,NA,NA,NA,"América do Sul","-49.624698638916","-28.3369007110596","32577",NA,"auto",NA,NA
